Country	$ billions	$ per capita
Afghanistan	88.6	2,33
Albania	40.9	14,35
Algeria	496.3	11,53
American Samoa	..	..
Andorra	..	..
Angola	203.2	6,39
Antigua and Barbuda	2.1	21,5
Argentina	991.4	22,06
Armenia	42.8	14,46
Aruba	3.8	36,3
Australia	1,307.7	51,56
Austria	524.3	59,06
Azerbaijan	143.9	14,36
Bahamas, The	13.9	35,76
Bahrain	72.4	44,14
Bangladesh	845.4	5,19
Barbados	4.5	15,73
Belarus	183.1	19,34
Belgium	628.5	54,73
Belize	2.6	6,63
Benin	40.0	3,39
Bermuda	..	..
Bhutan	8.0	10,57
Bolivia	102.6	8,91
Bosnia and Herzegovina	52.0	15,77
Botswana	39.4	17,11
Brazil	3,135.0	14,85
Brunei Darussalam	28.8	66,41
Bulgaria	166.6	23,88
Burkina Faso	45.1	2,22
Burundi	9.0	780
Cambodia	68.9	4,18
Cameroon	96.5	3,73
Canada	1,910.0	50,81
Cabo Verde	4.0	7,31
Cayman Islands	2.6	41,64
Central African Republic	5.0	1,06
Chad	25.8	1,62
Channel Islands	..	..
Chile	457.6	24,14
China	23,403.2	16,74
Hong Kong SAR, China	492.5	65,6
Macao SAR, China	77.9	123,29
Colombia	762.4	15,15
Comoros	2.7	3,22
Congo, Dem. Rep.	96.2	1,11
Congo, Rep.	16.5	3,06
Costa Rica	97.2	19,25
Cote d'Ivoire	136.0	5,29
Croatia	120.1	29,52
Cuba	..	..
Curacao	4.1	25,86
Cyprus	35.1	39,83
Czech Republic	433.9	40,66
Denmark	357.3	61,41
Djibouti	5.8	5,98
Dominica	0.9	12,46
Dominican Republic	196.3	18,28
Ecuador	199.9	11,5
Egypt, Arab Rep.	1,185.1	11,81
El Salvador	56.1	8,7
Equatorial Guinea	19.8	14,6
Eritrea	..	..
Estonia	50.4	38,01
Eswatini	9.1	7,94
Ethiopia	257.8	2,3
Faroe Islands	..	..
Fiji	11.8	13,26
Finland	282.7	51,21
France	3,379.2	50,39
French Polynesia	..	..
Gabon	31.3	14,42
Gambia, The	5.3	2,26
Georgia	55.9	15,02
Germany	4,795.7	57,69
Ghana	167.7	5,51
Greece	336.0	31,35
Greenland	..	..
Grenada	1.8	16,25
Guam	..	..
Guatemala	146.9	8,85
Guinea	32.2	2,52
Guinea-Bissau	4.3	2,22
Guyana	7.7	9,9
Haiti	20.2	1,79
Honduras	53.7	5,51
Hungary	320.0	32,75
Iceland	22.1	61,17
India	9,507.2	6,96
Indonesia	3,229.6	11,93
Iran, Islamic Rep.	1,174.8	14,56
Iraq	443.3	11,28
Ireland	336.3	68,05
