Country	Underweight, male	Underweight, female	Stunting, male	Stunting, female	Wasting, male	Wasting, female	Severe wasting, male	Severe wasting, female
Afghanistan	19.5	18.7	38.3	38.1	6.1	4.1	1.7	1.4
Albania	1.8	1.2	11.6	11	1.2	2	0.4	0.7
Algeria	3.1	3	12.6	10.7	4.4	3.8	1.7	1
American Samoa	..	..	..	..	..	..	..	..
Andorra	..	..	..	..	..	..	..	..
Angola	21	17.1	41	34.1	5.6	4.3	1.3	0.9
Antigua and Barbuda	..	..	..	..	..	..	..	..
Argentina	..	..	..	..	..	..	..	..
Armenia	3.2	2	10.9	7.8	4	5	1.6	1.9
Aruba	..	..	..	..	..	..	..	..
Australia	..	..	..	..	..	..	..	..
Austria	..	..	..	..	..	..	..	..
Azerbaijan	4.9	4.9	18	17.5	4	2.1	1.4	0.7
Bahamas, The	..	..	..	..	..	..	..	..
Bahrain	..	..	..	..	..	..	..	..
Bangladesh	32.3	33.4	36.8	35.5	15.1	13.6	3.9	2.5
Barbados	2.5	4.7	8.9	6.4	8.3	5	2.2	1.7
Belarus	..	..	..	..	..	..	..	..
Belgium	..	..	..	..	..	..	..	..
Belize	5	4.1	16.2	13.7	2.1	1.4	0.6	0.4
Benin	17.8	15.8	35.1	29.1	5.6	4.3	1.3	0.8
Bermuda	..	..	..	..	..	..	..	..
Bhutan	..	..	..	..	..	..	..	..
Bolivia	3.9	2.9	16.1	16.1	2.5	1.4	1.1	0.7
Bosnia and Herzegovina	1.8	1.3	8.9	8.9	2.3	2.4	1.8	1.4
Botswana	..	..	..	..	..	..	..	..
Brazil	..	..	..	..	..	..	..	..
Brunei Darussalam	..	..	..	..	..	..	..	..
Bulgaria	..	..	..	..	..	..	..	..
Burkina Faso	19.6	15.7	27.7	22	9.4	7.3	2.1	1.2
Burundi	30.4	28.2	59.4	52.4	5.6	4.6	1.2	0.6
Cabo Verde	..	..	..	..	..	..	..	..
Cambodia	23.3	25	33	31.9	10	9.5	2.7	2.2
Cameroon	15.3	14.2	33.5	29.8	5.6	4.8	1.5	1.1
Canada	..	..	..	..	..	..	..	..
Cayman Islands	..	..	..	..	..	..	..	..
Central African Republic	26.1	22.9	41.8	37.6	8.7	6.1	2	1.1
Chad	31	27.8	40.9	38.6	14.7	11.8	5.3	3.5
Channel Islands	..	..	..	..	..	..	..	..
Chile	..	..	..	..	..	..	..	..
China	..	..	..	..	..	..	..	..
Hong Kong SAR, China	..	..	..	..	..	..	..	..
Macao SAR, China	..	..	..	..	..	..	..	..
Colombia	3.9	3.5	14.4	11	1.7	1.6	0.3	0.5
Comoros	17.2	16.6	33.1	29.2	11.5	10.9	4.2	4.7
Congo, Dem. Rep.	25.7	21	45.1	40.3	9.3	6.9	3.3	2.4
Congo, Rep.	13.3	11.2	22.4	20	8.7	7.6	3.1	2.2
Costa Rica	..	..	..	..	..	..	..	..
Cote d'Ivoire	14	11.6	23.3	19.9	6.6	5.5	1.5	1
Croatia	..	..	..	..	..	..	..	..
Cuba	..	..	..	..	..	..	..	..
Curacao	..	..	..	..	..	..	..	..
Cyprus	..	..	..	..	..	..	..	..
Czech Republic	..	..	..	..	..	..	..	..
Denmark	..	..	..	..	..	..	..	..
Djibouti	31.1	28.7	33.7	33.3	22.6	20.3	10.4	7.9
Dominica	..	..	..	..	..	..	..	..
Dominican Republic	3.9	4.1	8.1	6.1	2.8	2	1.3	0.4
Ecuador	5.7	4.4	25.9	21.8	1.8	1.4	0.6	0.5
Egypt, Arab Rep.	7.7	6.2	23.6	20.8	9.4	9.5	4.8	4.7
El Salvador	5.4	4.5	15.3	12	2.6	1.7	0.5	0.2
Equatorial Guinea	..	..	..	..	..	..	..	..
Eritrea	..	..	..	..	..	..	..	..
Estonia	..	..	..	..	..	..	..	..
Ethiopia	25.2	21.9	41.4	35.2	10.2	9.8	3	3
Faroe Islands	..	..	..	..	..	..	..	..
Fiji	..	..	..	..	..	..	..	..
Finland	..	..	..	..	..	..	..	..
France	..	..	..	..	..	..	..	..
French Polynesia	..	..	..	..	..	..	..	..
Gabon	8	4.6	19.2	14.7	3.7	3.2	1.5	1.1
Gambia, The	11.8	8.6	14.5	12.6	6.4	5.6	1.5	1.1
Georgia	..	..	..	..	..	..	..	..
Germany	..	..	..	..	..	..	..	..
Ghana	10.7	11.7	20.4	17	4.3	5.1	0.8	0.6
Greece	..	..	..	..	..	..	..	..
Greenland	..	..	..	..	..	..	..	..
Grenada	..	..	..	..	..	..	..	..
Guam	..	..	..	..	..	..	..	..
Guatemala	12.6	12.1	47.3	46.1	1	0.4	0.2	0.1
Guinea	17.7	14.9	33.8	26.8	9.3	9.1	3.7	3.5
Guinea-Bissau	17.9	16.1	29.1	26.1	6.3	5.6	1.6	1.2
Guyana	9.3	7	12.5	9.9	6.7	6.2	1.7	1.7
Haiti	10.7	8.3	24	19.9	4.2	3.3	1.1	0.5
Honduras	7.7	6.5	24.3	20.8	1.8	0.9	0.4	0.2
Hungary	..	..	..	..	..	..	..	..
Iceland	..	..	..	..	..	..	..	..
India	36.9	35.6	38.3	37.5	21.7	19.8	8.2	7.1
Indonesia	..	..	..	..	..	..	..	..
Iran, Islamic Rep.	..	..	..	..	..	..	..	..
Iraq	3.9	4	12.3	13	3.3	2.8	1.1	0.7
Ireland	..	..	..	..	..	..	..	..
Isle of Man	..	..	..	..	..	..	..	..
Israel	..	..	..	..	..	..	..	..
Italy	..	..	..	..	..	..	..	..
