Country	exports (2010)	exports (2019)
Afghanistan	10.8	17.1
Albania	2.4	0.3
Algeria	0	0.1
American Samoa	..	..
Andorra	1.7	1.6
Angola	0	0.3
Antigua and Barbuda	0	0
Argentina	1.2	0.9
Armenia	1.1	0.4
Aruba	0.2	0.1
Australia	2.2	2.3
Austria	1.8	1.6
Azerbaijan	0.1	0.7
Bahamas, The	0.5	..
Bahrain	0	0.1
Bangladesh	1.9	..
Barbados	0.5	0.2
Belarus	2	2.5
Belgium	1.4	1.3
Belize	1.4	1
Benin	26.7	56.6
Bermuda	0	0
Bhutan	0.2	..
Bolivia	1.1	0.5
Bosnia and Herzegovina	5.9	4.6
Botswana	0.2	0.1
Brazil	3.9	5.5
Brunei Darussalam	0	0
Bulgaria	1.4	1.3
Burkina Faso	55.9	28.6
Burundi	4.9	0.1
Cabo Verde	0	0
Cambodia	2.3	1.9
Cameroon	14.8	21.3
Canada	4.3	3.9
Cayman Islands	..	..
Central African Republic	36.4	12.5
Chad	..	..
Channel Islands	..	..
Chile	5	5.9
China	0.5	0.4
Hong Kong SAR, China	2.7	0.1
Macao SAR, China	0	2.9
Colombia	3.5	3.9
Comoros	0.5	0
Congo, Dem. Rep.	..	..
Congo, Rep.	1.3	5.8
Costa Rica	2.7	1.9
Cote d'Ivoire	9.6	11.7
Croatia	3.6	4.4
Cuba	..	..
Curacao	..	..
Cyprus	1.7	1.1
Czech Republic	1.4	1.3
Denmark	2.9	2.5
Djibouti	0	..
Dominica	0	..
Dominican Republic	1	0.9
Ecuador	4.2	4.8
Egypt, Arab Rep.	3	1.8
El Salvador	0.7	0.8
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	5.1	5.4
Eswatini	2.2	5.1
Ethiopia	3	2
Faroe Islands	1.7	..
Fiji	4.4	1.4
Finland	5.9	7.9
France	0.9	0.9
French Polynesia	2.1	..
Gabon	8.9	..
Gambia, The	0	3.1
Georgia	1.1	0.8
Germany	0.9	0.8
Ghana	6.9	2.1
Greece	2.5	2.1
Greenland	0	0
Grenada	0.2	..
Guam	..	..
Guatemala	4.2	2.8
Guinea	4.9	..
Guinea-Bissau	..	..
Guyana	5.3	2.8
Haiti	..	..
Honduras	1.3	1.3
Hungary	0.7	0.7
Iceland	0.6	0.5
India	2	1
Indonesia	6.5	4.7
Iran, Islamic Rep.	0.3	0.3
Iraq	0	..
Ireland	0.5	0.4
Isle of Man	..	..
Israel	0.8	0.6
Italy	0.7	0.7
Jamaica	0.2	0.1
Japan	0.7	0.6
Jordan	0.2	0.3
Kazakhstan	0.2	0.3
Kenya	10.9	13.3
Kiribati	1.3	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	0.9	0.9
Kosovo	..	..
Kuwait	0.1	0
Kyrgyz Republic	5.3	3.7
Lao PDR	2.1	8.2
Latvia	12.2	10.6
Lebanon	0.7	0.5
Lesotho	5.3	6.4
