Country	Gender equality	Equity of public resource use	Building human resources	Social protection and labor	Policies and institutions for environmental sustainability	Average
Afghanistan	1.5	3.5	3.5	2.5	2.5	2.7
Bangladesh	3	3.5	4	3	3	3.3
Benin	3.5	3.5	4	3	3.5	3.5
Bhutan	4	4.5	4.5	3	4	4
Burkina Faso	3.5	4	3.5	3	4	3.6
Burundi	4	3.5	4	3	3	3.5
Cabo Verde	4	3.5	4.5	4	3.5	3.9
Cambodia	4	3.5	4.5	2.5	3	3.5
Cameroon	3	3	3.5	3	3.5	3.2
Central African Republic	2.5	2	2.5	2	2.5	2.3
Chad	2.5	3	3.5	3	3	3
Comoros	3	2.5	3	2	3	2.7
Congo, Dem. Rep.	3	3.5	3.5	2.5	3	3.1
Congo, Rep.	3	3	3	2.5	2.5	2.8
Cote d'Ivoire	3	3.5	4	3	4	3.5
Djibouti	3	3.5	4	3	2.5	3.2
Dominica	3	3	4.5	3	3.5	3.4
Eritrea	3	2.5	3.5	2	2	2.6
Ethiopia	3.5	4	4.5	3.5	3.5	3.8
Gambia, The	3.5	3	4.5	2.5	3.5	3.4
Ghana	4	3	4	3.5	4	3.7
Grenada	3.5	3	4.5	4	4	3.8
Guinea	3	3.5	3.5	2.5	4	3.3
Guinea-Bissau	2	2	2.5	2.5	2.5	2.3
Guyana	3	3	4	3	3	3.2
Haiti	2.5	2.5	3.5	2	2.5	2.6
Honduras	3.5	4	3.5	3.5	3.5	3.6
Kenya	3.5	4	4	3.5	3.5	3.7
Kiribati	3	3.5	3	3	3	3.1
Kosovo	3.5	3	3.5	3.5	3.5	3.4
Kyrgyz Republic	4.5	4	4	3.5	3	3.8
Lao PDR	4	3.5	3.5	2.5	3.5	3.4
Lesotho	4	3	3.5	3	3.5	3.4
Liberia	3	3.5	3	3	3	3.1
Madagascar	4	3	3.5	3	3	3.3
Malawi	3.5	4	3.5	3.5	3.5	3.6
Maldives	3.5	3	4.5	3.5	4	3.7
Mali	2.5	4	3	3	3.5	3.2
Marshall Islands	3	2	3	2	3	2.6
Mauritania	3.5	4	4	3	3	3.5
Micronesia, Fed. Sts.	3	2.5	3	2	2.5	2.6
Moldova	4.5	3.5	4	3.5	4	3.9
Mongolia	4	4	4	3.5	3.5	3.8
Mozambique	3.5	3	3.5	3	3.5	3.3
Myanmar	3	2.5	3	2	2.5	2.6
Nepal	3.5	4	4.5	3	3.5	3.7
Nicaragua	4	4	3.5	3.5	3	3.6
Niger	2.5	4	3.5	3	3.5	3.3
Nigeria	3	3.5	3.5	4	3.5	3.5
Pakistan	2.5	3.5	3.5	3.5	3	3.2
Papua New Guinea	2.5	3.5	2.5	2.5	2	2.6
Rwanda	4.5	4	4	4	4.5	4.2
Samoa	4	4.5	4	3.5	3.5	3.9
Sao Tome and Principe	3	3	3.5	2.5	3.5	3.1
Senegal	3.5	4	4.5	3	3.5	3.7
Sierra Leone	3	3.5	3	3	3	3.1
Solomon Islands	3	2.5	3	2.5	2.5	2.7
Somalia	2	3	2.5	2.5	2	2.4
South Sudan	1.5	2	2	1	1	1.5
St. Lucia	4	4	4.5	3.5	3.5	3.9
St. Vincent and the Grenadines	3.5	3.5	4.5	3.5	3.5	3.7
Sudan	2.5	2.5	3	2.5	2	2.5
Tajikistan	4	3.5	3.5	3	3	3.4
Tanzania	3	4	4	4	3	3.6
Timor-Leste	3.5	3.5	3	2.5	2	2.9
Togo	3.5	4	3.5	3	4	3.6
Tonga	3	4.5	3	3	3	3.3
Tuvalu	3	3	3	2.5	3	2.9
Uganda	3	4	3.5	3.5	3.5	3.5
Uzbekistan	4	4	4	3.5	3.5	3.8
Vanuatu	3.5	3	3	2.5	3.5	3.1
Yemen, Rep.	1.5	2.5	2	3	2.5	2.3
Zambia	3	3	3.5	2.5	3.5	3.1
Zimbabwe	4	3.5	4	3	4	3.7
