Country	Cost to export	Cost to import
Afghanistan	344	900
Albania	10	10
Algeria	374	400
American Samoa	..	..
Andorra	..	..
Angola	240	460
Antigua and Barbuda	121	100
Argentina	60	120
Armenia	150	100
Aruba	..	..
Australia	264	100
Austria	0	0
Azerbaijan	250	200
Bahamas, The	550	550
Bahrain	100	130
Bangladesh	225	370
Barbados	109	146
Belarus	60	0
Belgium	0	0
Belize	28	75
Benin	80	110
Bermuda	..	..
Bhutan	50	50
Bolivia	25	30
Bosnia and Herzegovina	92	97
Botswana	179	67
Brazil	226.4	106.9
Brunei Darussalam	90	50
Bulgaria	52	0
Burkina Faso	86	197
Burundi	150	1025
Cabo Verde	125	125
Cambodia	100	120
Cameroon	306	849
Canada	156	163
Cayman Islands	..	..
Central African Republic	60	500
Chad	188	500
Channel Islands	..	..
Chile	50	50
China	84.6	170.9
Hong Kong SAR, China	12	57
Macao SAR, China	..	..
Colombia	90	50
Comoros	124	93
Congo, Dem. Rep.	500	765
Congo, Rep.	165	310
Costa Rica	80	75
Cote d'Ivoire	136	267
Croatia	0	0
Cuba	..	..
Curacao	..	..
Cyprus	50	50
Czech Republic	0	0
Denmark	0	0
Djibouti	95	100
Dominica	50	50
Dominican Republic	15	40
Ecuador	140	75
Egypt, Arab Rep.	100	1000
El Salvador	50	67
Equatorial Guinea	85	70
Eritrea	..	..
Estonia	0	0
Ethiopia	175	750
Faroe Islands	..	..
Fiji	76	58
Finland	70	0
France	0	0
French Polynesia	..	..
Gabon	200	170
Gambia, The	133	152
Georgia	0	189
Germany	45	0
Ghana	155	474
Greece	30	0
Greenland	..	..
Grenada	40	50
Guam	..	..
Guatemala	105	37
Guinea	128	180
Guinea-Bissau	160	205
Guyana	78	63
Haiti	48	150
Honduras	80	70
Hungary	0	0
Iceland	40	0
India	91.9	134.8
Indonesia	138.8	164.4
Iran, Islamic Rep.	125	197
Iraq	1800	500
Ireland	75	75
Isle of Man	..	..
Israel	73	70
Italy	0	0
Jamaica	90	90
Japan	54	107
Jordan	100	190
Kazakhstan	200	0
Kenya	191	115
Kiribati	310	120
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	11	27
Kosovo	127	42
Kuwait	191	332
Kyrgyz Republic	145	200
Lao PDR	235	115
Latvia	35	0
Lebanon	100	135
Lesotho	90	90
Liberia	155	230
Libya	50	60
Liechtenstein	..	..
Lithuania	28	0
Luxembourg	0	0
North Macedonia	45	50
Madagascar	117	150
Malawi	342	162
Malaysia	35	60
Maldives	300	180
Mali	33	90
Malta	25	0
Marshall Islands	20	43
Mauritania	92	400
Mauritius	128	166
Mexico	60	100
Micronesia, Fed. Sts.	60	80
Moldova	44	41
Monaco	..	..
Mongolia	64	83
Montenegro	67	100
Morocco	107	116
Mozambique	160	60
Myanmar	140	210
Namibia	348	63
Nepal	110	80
Netherlands	0	0
New Caledonia	..	..
New Zealand	67	80
Nicaragua	47	86
Niger	39	282
Nigeria	250	564.3
Northern Mariana Islands	..	..
Norway	0	0
Oman	107	124
Pakistan	118	250
Palau	100	100
Panama	60	50
Papua New Guinea	75	85
Paraguay	120	135
Peru	50	80
Philippines	53	50
Poland	0	0
Portugal	0	0
Puerto Rico	75	75
Qatar	150	290
Romania	0	0
Russian Federation	92	152.5
Rwanda	110	121
Samoa	180	230
San Marino	0	100
Sao Tome and Principe	194	75
Saudi Arabia	105	390
Senegal	96	545
Serbia	35	35
Seychelles	115	93
Sierra Leone	227	387
Singapore	37	40
Sint Maarten (Dutch part)	..	..
Slovak Republic	0	0
Slovenia	0	0
Solomon Islands	257	215
Somalia	350	300
South Africa	55	73
South Sudan	194	350
Spain	0	0
Sri Lanka	58	283
St. Kitts and Nevis	100	90
St. Lucia	63	98
St. Martin (French part)	..	..
St. Vincent and the Grenadines	80	90
Sudan	428	420
Suriname	40	40
Eswatini	76	76
Sweden	40	0
Switzerland	75	75
Syrian Arab Republic	725	742
Tajikistan	330	260
Tanzania	275	375
Thailand	97	43
Timor-Leste	100	115
Togo	25	252
Tonga	70	148
Trinidad and Tobago	250	250
Tunisia	200	144
Turkey	55	80
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	102	296
Ukraine	192	212
United Arab Emirates	178	283
United Kingdom	25	0
United States	60	100
Uruguay	231	285
Uzbekistan	292	292
Vanuatu	190	183
Venezuela, RB	375	400
Vietnam	139	183
Virgin Islands (U.S.)	..	..
West Bank and Gaza	80	85
Yemen, Rep.	..	..
Zambia	200	175
Zimbabwe	170	150
World	126.1	161.5
East Asia & Pacific	108.4	107
Europe & Central Asia	56.1	48.2
Latin America & Caribbean	108.7	114.4
Middle East & North Africa	239.3	264.4
North America	108	131.5
South Asia	162.1	281
Sub-Saharan Africa	168.9	283.6
Low income	204.2	362.5
Lower middle income	143.4	216.5
Upper middle income	135.9	104.9
High income	69.4	77.7
