Country	Primary	Secondary
Afghanistan	49	34
Albania	18	11
Algeria	24	..
American Samoa	..	..
Andorra	10	8
Angola	..	27
Antigua and Barbuda	12	9
Argentina	..	..
Armenia	15	8
Aruba	..	..
Australia	..	..
Austria	10	9
Azerbaijan	15	8
Bahamas, The	19	12
Bahrain	12	10
Bangladesh	30	35
Barbados	14	18
Belarus	19	9
Belgium	11	9
Belize	20	17
Benin	39	11
Bermuda	..	..
Bhutan	35	11
Bolivia	18	18
Bosnia and Herzegovina	17	9
Botswana	..	..
Brazil	20	17
Brunei Darussalam	10	8
Bulgaria	15	13
Burkina Faso	40	23
Burundi	43	27
Cabo Verde	21	15
Cambodia	42	..
Cameroon	45	19
Canada	..	..
Cayman Islands	16	11
Central African Republic	83	32
Chad	57	27
Channel Islands	..	..
Chile	18	18
China	16	13
Hong Kong SAR, China	13	11
Macao SAR, China	13	10
Colombia	23	26
Comoros	28	8
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	12	12
Cote d'Ivoire	42	27
Croatia	14	7
Cuba	9	10
Curacao	..	..
Cyprus	12	8
Czech Republic	..	..
Denmark	..	..
Djibouti	29	25
Dominica	13	..
Dominican Republic	19	19
Ecuador	24	21
Egypt, Arab Rep.	24	15
El Salvador	27	28
Equatorial Guinea	..	..
Eritrea	39	35
Estonia	11	9
Eswatini	27	16
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	14	14
France	..	..
French Polynesia	..	..
Gabon	..	..
Gambia, The	36	..
Georgia	9	8
Germany	12	12
Ghana	27	16
Greece	9	9
Greenland	..	..
Grenada	16	13
Guam	..	..
Guatemala	20	10
Guinea	47	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	26	17
Hungary	11	10
Iceland	..	..
India	33	29
Indonesia	17	15
Iran, Islamic Rep.	29	19
Iraq	..	..
Ireland	..	..
Isle of Man	..	..
Israel	12	..
Italy	11	10
Jamaica	25	17
Japan	16	11
Jordan	19	12
Kazakhstan	20	7
Kenya	..	..
Kiribati	25	..
Korea, Dem. Peopleâ€™s Rep.	20	..
Korea, Rep.	16	13
Kosovo	..	..
Kuwait	9	..
Kyrgyz Republic	25	11
Lao PDR	22	18
Latvia	12	8
Lebanon	12	8
Lesotho	33	25
Liberia	22	..
Libya	..	..
Liechtenstein	8	10
Lithuania	14	8
Luxembourg	8	9
Madagascar	40	19
Malawi	59	72
Malaysia	12	11
Maldives	10	..
Mali	38	17
Malta	13	7
Marshall Islands	..	..
Mauritania	34	26
Mauritius	16	11
Mexico	27	17
Micronesia, Fed. Sts.	..	..
Moldova	18	10
Monaco	11	9
Mongolia	30	..
Montenegro	..	..
Morocco	27	19
Mozambique	55	37
Myanmar	24	27
Namibia	25	..
Nepal	20	28
Netherlands	12	15
New Caledonia	..	..
New Zealand	15	14
Nicaragua	..	..
Niger	36	30
Nigeria	..	..
North Macedonia	15	9
Northern Mariana Islands	..	..
Norway	9	9
Oman	10	10
Pakistan	44	20
Palau	..	..
Panama	22	14
Papua New Guinea	36	34
Paraguay	..	..
Peru	17	14
Philippines	29	24
Poland	10	9
Portugal	12	10
Puerto Rico	14	17
Qatar	12	11
Romania	19	12
Russian Federation	21	..
Rwanda	60	28
Samoa	..	..
San Marino	7	6
Sao Tome and Principe	31	25
Saudi Arabia	14	12
Senegal	36	19
Serbia	14	8
Seychelles	14	11
Sierra Leone	28	22
Singapore	15	11
Sint Maarten (Dutch part)	..	..
Slovak Republic	16	11
Slovenia	14	10
Solomon Islands	25	..
Somalia	..	..
South Africa	..	28
South Sudan	..	..
Spain	13	12
Sri Lanka	22	18
St. Kitts and Nevis	14	8
St. Lucia	15	11
St. Martin (French part)	..	..
St. Vincent and the Grenadines	14	14
Sudan	..	..
Suriname	13	..
Sweden	12	13
Switzerland	10	10
Syrian Arab Republic	..	..
Tajikistan	22	..
Tanzania	51	21
Thailand	17	26
Timor-Leste	27	27
Togo	40	..
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	17	..
Turkey	17	17
Turkmenistan	..	..
Turks and Caicos Islands	18	10
Tuvalu	16	9
Uganda	43	..
Ukraine	13	7
United Arab Emirates	25	10
United Kingdom	15	17
United States	14	15
Uruguay	11	..
Uzbekistan	22	10
Vanuatu	..	..
Venezuela, RB	..	..
Vietnam	20	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	24	17
Yemen, Rep.	27	..
Zambia	42	..
Zimbabwe	..	..
World	23	17
East Asia & Pacific	18	15
Europe & Central Asia	15	11
Latin America & Caribbean	21	16
Middle East & North Africa	21	15
North America	14	15
South Asia	33	27
Sub-Saharan Africa	37	22
Low income	40	22
Lower middle income	29	22
Upper middle income	18	14
High income	14	13
