Country	Coal	Natural gas	Oil	Hydropower	Renewable sources	Nuclear power
Afghanistan	..	..	..	..	..	..
Albania	0	0	0	100	0	0
Algeria	0	98.4	1.3	0.2	0.1	0
American Samoa	..	..	..	..	..	..
Andorra	..	..	..	..	..	..
Angola	0	0	46.8	53.2	0	0
Antigua and Barbuda	..	..	..	..	..	..
Argentina	2	49.5	15.4	26.2	1.9	4.2
Armenia	0	35.9	0	28.3	0.1	31.8
Aruba	..	..	..	..	..	..
Australia	62.9	20.8	2.7	5.3	8.3	0
Austria	8.2	12.6	1.4	60	16.5	0
Azerbaijan	0	86.1	6.5	6.6	0.4	0
Bahamas, The	..	..	..	..	..	..
Bahrain	0	100	0	0	0	0
Bangladesh	1.7	80.7	16.4	1	0.3	0
Barbados	..	..	..	..	..	..
Belarus	0	97.9	1.1	0.3	0.5	0
Belgium	6.1	32.8	0.3	0.5	20.3	37.5
Belize	..	..	..	..	..	..
Benin	0	0	94.4	4.1	1.5	0
Bermuda	..	..	..	..	..	..
Bhutan	..	..	..	..	..	..
Bolivia	0	66.3	2.3	28.9	2.5	0
Bosnia and Herzegovina	64	0.2	0.3	35.5	0	0
Botswana	96.4	0	3.6	0	0	0
Brazil	4.7	13.7	5	61.8	12.1	2.6
Brunei Darussalam	0	99	1	0	0	0
Bulgaria	46.2	3.8	0.4	11.6	6.4	33.8
Burkina Faso	..	..	..	..	..	..
Burundi	..	..	..	..	..	..
Cambodia	48.4	0	5.2	45.5	0.9	0
Cameroon	0	6	17.9	75	1.1	0
Canada	9.8	10	1.2	56.7	6.3	15.5
Cabo Verde	..	..	..	..	..	..
Cayman Islands	..	..	..	..	..	..
Central African Republic	..	..	..	..	..	..
Chad	..	..	..	..	..	..
Channel Islands	..	..	..	..	..	..
Chile	37.1	15.1	4.2	31.7	11.9	0
China	70.3	2.5	0.2	19.1	4.9	2.3
Hong Kong SAR, China	65.4	33.8	0.5	0	0.3	0
Macao SAR, China	..	..	..	..	..	..
Colombia	11.9	19.3	0.6	65	3.3	0
Comoros	..	..	..	..	..	..
Congo, Dem. Rep.	0	0	0.1	99.7	0.1	0
Congo, Rep.	0	46.7	0	53.3	0	0
Costa Rica	0	0	1	74.6	24.4	0
Cote d'Ivoire	0	78.1	5.2	15.5	1.2	0
Croatia	20.6	10.7	2	56.9	10	0
Cuba	0	14.5	46	0.2	3.7	0
Curacao	..	..	..	..	..	..
Cyprus	0	0	91.2	0	8.8	0
Czech Republic	53.1	2.7	0.1	2.2	9.2	32.5
Denmark	24.5	6.3	1.1	0.1	65.4	0
Djibouti	..	..	..	..	..	..
Dominica	..	..	..	..	..	..
Dominican Republic	12.9	22	53.5	6.4	5.3	0
Ecuador	0	12.7	34.5	50.7	2.1	0
Egypt, Arab Rep.	0	70.7	21	7.4	0.9	0
El Salvador	0	0	42.2	22.6	35.2	0
Equatorial Guinea	..	..	..	..	..	..
Eritrea	0	0	99.5	0	0.5	0
Estonia	5.3	0.6	1.2	0.3	14.2	0
Eswatini	..	..	..	..	..	..
Ethiopia	0	0	0	92.7	7.3	0
Faroe Islands	..	..	..	..	..	..
Fiji	..	..	..	..	..	..
Finland	8.3	7.6	0.3	24.4	20.1	33.9
France	2.2	3.5	0.4	9.7	6.2	77.6
French Polynesia	..	..	..	..	..	..
Gabon	0	46	10.2	43.2	0.6	0
Gambia, The	..	..	..	..	..	..
Georgia	0	22	0	78	0	0
Germany	44.3	9.8	1	3	26.3	14.3
Ghana	0	38.8	0	50.9	0	0
Greece	42.7	17.5	10.9	11.8	16.9	0
Greenland	..	..	..	..	..	..
Grenada	..	..	..	..	..	..
Guam	..	..	..	..	..	..
Guatemala	21.4	0	18.2	35	25.3	0
Guinea	..	..	..	..	..	..
Guinea-Bissau	..	..	..	..	..	..
Guyana	..	..	..	..	..	..
Haiti	0	0	92	8	0	0
Honduras	1	0	56.7	26.1	16.2	0
Hungary	19.5	16.8	0.3	0.8	9.8	52.2
