Country	Rents %
Afghanistan	0.6
Albania	1
Algeria	12.3
American Samoa	0
Andorra	0
Angola	10.7
Antigua and Barbuda	0
Argentina	1.1
Armenia	4.4
Aruba	0
Australia	6.1
Austria	0.1
Azerbaijan	15.4
Bahamas, The	0
Bahrain	3.2
Bangladesh	0.6
Barbados	0.1
Belarus	1.3
Belgium	0
Belize	0.9
Benin	6
Bermuda	0
Bhutan	4.4
Bolivia	5.2
Bosnia and Herzegovina	1.2
Botswana	1.1
Brazil	3
Brunei Darussalam	14.7
Bulgaria	1.3
Burkina Faso	21.1
Burundi	17
Cambodia	1.9
Cameroon	5.9
Canada	1.2
Cabo Verde	0.8
Cayman Islands	..
Central African Republic	14.1
Chad	13.2
Channel Islands	..
Chile	10.3
China	1.3
Hong Kong SAR, China	0
Macao SAR, China	0
Colombia	3.4
Comoros	2.4
Congo, Dem. Rep.	29
Congo, Rep.	20.9
Costa Rica	1.2
Cote d'Ivoire	5.6
Croatia	0.6
Cuba	0.5
Curacao	..
Cyprus	0
Czech Republic	0.3
Denmark	0.4
Djibouti	0.7
Dominica	0.1
Dominican Republic	2.2
Ecuador	3.7
Egypt, Arab Rep.	3.1
El Salvador	1
Equatorial Guinea	16.2
Eritrea	..
Estonia	1.1
Eswatini	2.9
Ethiopia	11.4
Faroe Islands	0
Fiji	1.7
Finland	0.6
France	0
French Polynesia	..
Gabon	12.2
Gambia, The	5.9
Georgia	1.1
Germany	0.1
Ghana	11.7
Greece	0.1
Greenland	0
Grenada	0
Guam	0
Guatemala	2
Guinea	21.1
Guinea-Bissau	18.2
Guyana	25.1
Haiti	1.3
Honduras	2.2
Hungary	0.3
Iceland	0
India	1.8
Indonesia	3.1
Iran, Islamic Rep.	13.5
Iraq	31.3
Ireland	0.1
Isle of Man	0
Israel	0.2
Italy	0
Jamaica	1.2
Japan	0
Jordan	1.2
Kazakhstan	12.4
Kenya	2.7
Kiribati	0.1
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	0
Kosovo	0.6
Kuwait	32.1
Kyrgyz Republic	8.5
Lao PDR	8.1
Latvia	1
Lebanon	0
Lesotho	6.3
Liberia	23.7
Libya	22.5
Liechtenstein	0
Lithuania	0.4
Luxembourg	0
North Macedonia	1.3
Madagascar	11.3
Malawi	11
Malaysia	5.5
Maldives	0
Mali	12.4
Malta	0
Marshall Islands	0
Mauritania	20.8
Mauritius	0
Mexico	2.3
Micronesia, Fed. Sts.	0
Moldova	0.3
Monaco	0
Mongolia	25.2
Montenegro	1
Morocco	2.2
Mozambique	17.6
Myanmar	6.8
Namibia	4.1
Nepal	1.3
Netherlands	0.3
New Caledonia	..
New Zealand	1
Nicaragua	3.6
Niger	13.4
Nigeria	4.9
Northern Mariana Islands	0
Norway	4.1
Oman	19.7
Pakistan	0.9
Palau	0
Panama	0.2
Papua New Guinea	22.4
Paraguay	1.7
Peru	7.3
Philippines	1.2
Poland	0.8
Portugal	0.3
Puerto Rico	0
Qatar	15.4
Romania	0.7
Russian Federation	8.8
Rwanda	6.3
Samoa	0.5
San Marino	0
Sao Tome and Principe	3.2
Saudi Arabia	20
Senegal	4.5
Serbia	1.2
Seychelles	0.1
Sierra Leone	12.4
Singapore	0
Sint Maarten (Dutch part)	..
Slovak Republic	0.3
Slovenia	0.3
Solomon Islands	18.7
Somalia	15.4
South Africa	5.1
South Sudan	42.4
Spain	0.1
Sri Lanka	0.1
St. Kitts and Nevis	0
St. Lucia	0
St. Martin (French part)	..
St. Vincent and the Grenadines	0
Sudan	4.7
Suriname	30.2
Sweden	0.4
Switzerland	0
Syrian Arab Republic	..
Tajikistan	4.3
Tanzania	6.8
Thailand	1.6
Timor-Leste	33.3
Togo	18.5
Tonga	0
Trinidad and Tobago	5
Tunisia	2.3
Turkey	0.3
Turkmenistan	12
Turks and Caicos Islands	..
Tuvalu	0
Uganda	14.6
Ukraine	3.6
United Arab Emirates	11.3
United Kingdom	0.3
United States	0.3
Uruguay	1.8
Uzbekistan	8.8
Vanuatu	0.8
Venezuela, RB	11.8
Vietnam	2.6
Virgin Islands (U.S.)	0
West Bank and Gaza	0
Yemen, Rep.	0.6
Zambia	15.3
Zimbabwe	6.7
World	1.7
East Asia & Pacific	1.3
Europe & Central Asia	1
Latin America & Caribbean	3
Middle East & North Africa	12.8
North America	0.4
South Asia	1.6
Sub-Saharan Africa	7.8
Low income	11.8
Lower middle income	3.3
Upper middle income	2.8
High income	1
