Country	Annual (%)
Afghanistan	2.1
Albania	-2.6
Algeria	-0.1
American Samoa	-0.1
Andorra	0.7
Angola	1.3
Antigua and Barbuda	1
Argentina	-0.5
Armenia	0.1
Aruba	0.2
Australia	0.8
Austria	0
Azerbaijan	0.1
Bahamas, The	0.4
Bahrain	4
Bangladesh	-0.2
Barbados	0.2
Belarus	-2.3
Belgium	-1.5
Belize	1.7
Benin	1.7
Bermuda	..
Bhutan	0
Bolivia	0.3
Bosnia and Herzegovina	-1.5
Botswana	-0.2
Brazil	-1.1
Brunei Darussalam	-0.4
Bulgaria	-2.1
Burkina Faso	2
Burundi	2.8
Cabo Verde	-0.2
Cambodia	1
Cameroon	1.3
Canada	1.1
Cayman Islands	..
Central African Republic	0.9
Chad	2.8
Channel Islands	1.1
Chile	0.8
China	-2.4
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	-0.2
Comoros	2
Congo, Dem. Rep.	2.2
Congo, Rep.	1.2
Costa Rica	-2.7
Cote d'Ivoire	1.6
Croatia	-1.5
Cuba	-0.3
Curacao	0.3
Cyprus	0.9
Czech Republic	-0.1
Denmark	-0.5
Djibouti	1
Dominica	-0.8
Dominican Republic	-3
Ecuador	1.3
Egypt, Arab Rep.	2
El Salvador	-2.1
Equatorial Guinea	1.9
Eritrea	..
Estonia	-0.2
Eswatini	0.8
Ethiopia	2
Faroe Islands	0.1
Fiji	-0.5
Finland	-0.3
France	-1.2
French Polynesia	0.4
Gabon	-1
Gambia, The	1.2
Georgia	-1
Germany	0.1
Ghana	0.7
Greece	-1.8
Greenland	-2.1
Grenada	0.4
Guam	-0.6
Guatemala	0.8
Guinea	2.3
Guinea-Bissau	1.8
Guyana	0.4
Haiti	-0.8
Honduras	0.2
Hungary	-1.1
Iceland	2
India	0.4
Indonesia	-0.3
Iran, Islamic Rep.	-0.6
Iraq	1.7
Ireland	0.6
Isle of Man	0.3
Israel	0.9
Italy	-1.2
Jamaica	-0.2
Japan	-1.2
Jordan	-0.7
Kazakhstan	1.1
Kenya	1.7
Kiribati	-0.2
Korea, Dem. Peopleâ€™s Rep.	-0.1
Korea, Rep.	0.7
Kosovo	..
Kuwait	..
Kyrgyz Republic	1.7
Lao PDR	0.6
Latvia	-1
Lebanon	-0.9
Lesotho	0.2
Liberia	1.5
Libya	0.1
Liechtenstein	0.3
Lithuania	-1.5
Luxembourg	-0.8
North Macedonia	-0.5
Madagascar	1.6
Malawi	2.4
Malaysia	-1.1
Maldives	3.1
Mali	1.7
Malta	2.3
Marshall Islands	-1.1
Mauritania	1
Mauritius	0.1
Mexico	-0.3
Micronesia, Fed. Sts.	0.9
Moldova	-1.9
Monaco	..
Mongolia	1.5
Montenegro	-1
Morocco	-0.2
Mozambique	2.1
Myanmar	0.2
Namibia	-0.2
Nepal	1.2
Netherlands	-4.2
New Caledonia	-0.1
New Zealand	0.4
Nicaragua	0.7
Niger	3.7
Nigeria	0.9
Northern Mariana Islands	-0.5
Norway	-1.4
Oman	-2.7
Pakistan	1.7
Palau	-2.2
Panama	0.6
Papua New Guinea	1.9
Paraguay	0.5
Peru	0.9
Philippines	1
Poland	0.1
Portugal	-1.8
Puerto Rico	-3.9
Qatar	-4.3
Romania	-0.7
Russian Federation	-0.6
Rwanda	2.5
Samoa	0.7
San Marino	-5.1
Sao Tome and Principe	-1.1
Saudi Arabia	0.4
Senegal	1.9
Serbia	-0.9
Seychelles	0
Sierra Leone	1.4
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	0.2
Slovenia	-0.2
Solomon Islands	2
Somalia	1.8
South Africa	-0.1
South Sudan	0.3
Spain	-0.8
Sri Lanka	0.9
St. Kitts and Nevis	0.8
St. Lucia	0.4
St. Martin (French part)	..
St. Vincent and the Grenadines	-0.5
Sudan	2
Suriname	0.9
Sweden	-1.1
Switzerland	0.6
Syrian Arab Republic	-2.4
Tajikistan	2.2
Tanzania	1.9
Thailand	-1.2
Timor-Leste	1.4
Togo	1.5
Tonga	1.2
Trinidad and Tobago	0.5
Tunisia	0.2
Turkey	-0.5
Turkmenistan	0.7
Turks and Caicos Islands	-2.5
Tuvalu	-1
Uganda	3
Ukraine	-0.8
United Arab Emirates	-0.5
United Kingdom	-0.9
United States	-0.6
Uruguay	-1.6
Uzbekistan	1.9
Vanuatu	2.3
Venezuela, RB	-2
Vietnam	-0.1
Virgin Islands (U.S.)	-3
West Bank and Gaza	1.4
Yemen, Rep.	1.4
Zambia	2
Zimbabwe	1.5
World	0.1
East Asia & Pacific	-1.5
Europe & Central Asia	-0.3
Latin America & Caribbean	-0.3
Middle East & North Africa	0.8
North America	-0.4
South Asia	0.5
Sub-Saharan Africa	1.8
Low income	2
Lower middle income	0.7
Upper middle income	-1.6
High income	-0.5
