Country	Total (1990)	Total (2018)	% Total (1990)	% Total (2018)
Afghanistan	2629	9477	21	25
Albania	1197	1729	36	60
Algeria	13417	30670	52	73
American Samoa	38	48	81	87
Andorra	52	68	95	88
Angola	4401	20185	37	66
Antigua and Barbuda	22	24	35	25
Argentina	28373	40877	87	92
Armenia	2385	1864	67	63
Aruba	31	46	50	43
Australia	14579	21488	85	86
Austria	4834	5154	63	58
Azerbaijan	3848	5534	54	56
Bahamas, The	205	320	80	83
Bahrain	437	1401	88	89
Bangladesh	20439	59108	20	37
Barbados	98	89	37	31
Belarus	6723	7454	66	79
Belgium	9606	11199	96	98
Belize	89	175	47	46
Benin	1717	5434	34	47
Bermuda	59	64	100	100
Bhutan	87	309	16	41
Bolivia	3815	7882	56	69
Bosnia and Herzegovina	1752	1604	39	48
Botswana	540	1565	42	69
Brazil	110146	181336	74	87
Brunei Darussalam	172	333	66	78
Bulgaria	5787	5269	66	75
Burkina Faso	1217	5799	14	29
Burundi	341	1456	6	13
Cabo Verde	149	357	44	66
Cambodia	1395	3801	16	23
Cameroon	4672	14215	40	56
Canada	21206	30169	77	81
Cayman Islands	25	64	100	100
Central African Republic	1034	1930	37	41
Chad	1241	3569	21	23
Channel Islands	44	53	31	31
Chile	11054	16400	83	88
China	300166	823828	26	59
Hong Kong SAR, China	5677	7451	100	100
Macao SAR, China	343	632	100	100
Colombia	23000	40105	69	81
Comoros	115	241	28	29
Congo, Dem. Rep.	10603	37377	31	44
Congo, Rep.	1280	3509	54	67
Costa Rica	1560	3967	50	79
Cote d'Ivoire	4692	12730	39	51
Croatia	2438	2328	51	57
Cuba	7774	8735	73	77
Curacao	123	142	85	89
Cyprus	512	795	67	67
Czech Republic	7773	7844	75	74
Denmark	4362	5091	85	88
Djibouti	448	746	76	78
Dominica	44	50	63	70
Dominican Republic	3940	8616	55	81
Ecuador	5636	10903	55	64
Egypt, Arab Rep.	24406	42031	43	43
El Salvador	2597	4624	49	72
Equatorial Guinea	146	944	35	72
Eritrea	427	..	19	..
Estonia	1118	911	71	69
Eswatini	166	270	20	24
Ethiopia	6044	22678	13	21
Faroe Islands	14	20	31	42
Fiji	303	497	42	56
Finland	3958	4709	79	85
France	43127	53870	74	80
French Polynesia	116	172	58	62
Gabon	657	1894	69	89
Gambia, The	366	1397	38	61
Georgia	2643	2185	55	59
Germany	58080	64096	73	77
Ghana	5384	16687	36	56
Greece	7287	8485	71	79
Greenland	44	49	80	87
Grenada	32	40	33	36
Guam	118	157	91	95
Guatemala	3800	8346	42	51
Guinea	1780	4487	28	36
Guinea-Bissau	301	813	31	43
Guyana	220	207	30	27
Haiti	2007	6149	29	55
Honduras	2005	5474	40	57
Hungary	6830	6975	66	71
Iceland	231	331	91	94
India	223096	460296	26	34
Indonesia	55483	148085	31	55
Iran, Islamic Rep.	31751	61267	56	75
Iraq	12142	27085	70	70
Ireland	2000	3075	57	63
Isle of Man	36	44	52	53
Israel	4211	8209	90	92
Italy	37846	42560	67	70
Jamaica	1196	1634	49	56
Japan	95542	115921	77	92
Jordan	2613	9058	73	91
Kazakhstan	9198	10496	56	57
Kenya	3973	13892	17	27
Kiribati	25	63	35	54
Korea, Dem. Peopleâ€™s Rep.	11848	15815	58	62
Korea, Rep.	31656	42038	74	81
Kosovo	..	..	..	..
Kuwait	2053	4137	98	100
Kyrgyz Republic	1659	2298	38	36
Lao PDR	657	2472	15	35
Latvia	1844	1313	69	68
Lebanon	2330	6068	83	89
Lesotho	238	594	14	28
Liberia	1151	2465	55	51
Libya	3360	5350	76	80
Liechtenstein	5	5	17	14
Lithuania	2499	1896	68	68
Luxembourg	309	553	81	91
North Macedonia	1154	1207	58	58
Madagascar	2733	9767	24	37
Malawi	1087	3073	12	17
Malaysia	8978	23973	50	76
Maldives	58	205	26	40
Mali	1971	8081	23	42
Malta	320	459	90	95
Marshall Islands	31	45	65	77
Mauritania	800	2363	39	54
Mauritius	465	516	44	41
Mexico	59951	101149	71	80
Micronesia, Fed. Sts.	25	26	26	23
Moldova	1388	1154	47	43
Monaco	29	39	100	100
Mongolia	1246	2170	57	68
Montenegro	291	416	48	67
Morocco	12005	22501	48	62
Mozambique	3247	10615	25	36
Myanmar	10434	16423	25	31
Namibia	396	1225	28	50
Nepal	1674	5545	9	20
Netherlands	10269	15765	69	91
New Caledonia	102	201	60	71
New Zealand	2822	4189	85	87
Nicaragua	2215	3784	53	59
Niger	1234	3686	15	16
Nigeria	28259	98611	30	50
Northern Mariana Islands	41	52	90	92
Norway	3052	4369	72	82
Oman	1198	4083	66	85
Pakistan	32914	77811	31	37
Palau	10	14	70	80
Panama	1332	2828	54	68
Papua New Guinea	692	1133	15	13
Paraguay	2057	4284	49	62
Peru	15207	24922	69	78
Philippines	29082	50027	47	47
Poland	23350	22807	61	60
Portugal	4783	6706	48	65
Puerto Rico	3287	2988	93	94
Qatar	442	2758	93	99
Romania	12347	10515	53	54
Russian Federation	108601	107539	73	74
Rwanda	395	2117	5	17
Samoa	35	36	21	18
San Marino	22	33	90	97
Sao Tome and Principe	52	154	44	73
Saudi Arabia	12432	28255	77	84
Senegal	2927	7482	39	47
Serbia	3823	3917	50	56
Seychelles	34	55	49	57
Sierra Leone	1436	3217	33	42
Singapore	3047	5639	100	100
Sint Maarten (Dutch part)	..	41	100	100
Slovak Republic	2994	2926	56	54
