Country	Male	Female
Afghanistan	70	40
Albania	93	100
Algeria	74	95
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	95	102
Argentina	86	94
Armenia	92	94
Aruba	..	..
Australia	..	..
Austria	98	97
Azerbaijan	86	84
Bahamas, The	..	..
Bahrain	89	100
Bangladesh	72	87
Barbados	..	..
Belarus	98	98
Belgium	92	95
Belize	64	71
Benin	51	40
Bermuda	..	..
Bhutan	75	91
Bolivia	82	84
Bosnia and Herzegovina	..	..
Botswana	..	..
Brazil	..	..
Brunei Darussalam	106	106
Bulgaria	51	42
Burkina Faso	41	45
Burundi	29	36
Cabo Verde	60	77
Cambodia	55	62
Cameroon	48	47
Canada	..	..
Cayman Islands	..	..
Central African Republic	12	8
Chad	21	8
Channel Islands	..	..
Chile	93	94
China	..	..
Hong Kong SAR, China	108	106
Macao SAR, China	96	100
Colombia	71	80
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	66	75
Cote d'Ivoire	56	43
Croatia	95	96
Cuba	91	95
Curacao	..	..
Cyprus	99	99
Czech Republic	94	97
Denmark	99	100
Djibouti	49	50
Dominica	90	91
Dominican Republic	88	91
Ecuador	95	99
Egypt, Arab Rep.	82	88
El Salvador	78	77
Equatorial Guinea	25	24
Eritrea	50	52
Estonia	105	104
Eswatini	66	69
Ethiopia	30	29
Faroe Islands	..	..
Fiji	99	106
Finland	99	100
France	100	100
French Polynesia	..	..
Gabon	..	..
Gambia, The	..	..
Georgia	101	102
Germany	..	..
Ghana	79	77
Greece	95	95
Greenland	..	..
Grenada	101	112
Guam	..	..
Guatemala	58	55
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	42	50
Hungary	93	95
Iceland	..	..
India	82	87
Indonesia	87	93
Iran, Islamic Rep.	92	89
Iraq	..	..
Ireland	99	101
Isle of Man	..	..
Israel	102	104
Italy	99	99
Jamaica	81	83
Japan	..	..
Jordan	59	59
Kazakhstan	113	114
Kenya	79	79
Kiribati	91	99
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	96	95
Kosovo	..	..
Kuwait	89	101
Kyrgyz Republic	95	95
Lao PDR	69	65
Latvia	98	99
Lebanon	..	..
Lesotho	39	56
Liberia	46	42
Libya	..	..
Liechtenstein	94	103
Lithuania	98	98
Luxembourg	96	95
Madagascar	36	38
Malawi	..	..
Malaysia	79	84
Maldives	105	112
Mali	33	27
Malta	105	110
Marshall Islands	..	..
Mauritania	40	44
Mauritius	81	93
Mexico	95	99
Micronesia, Fed. Sts.	..	..
Moldova	86	84
Monaco	..	..
Mongolia	105	105
Montenegro	94	96
Morocco	62	68
Mozambique	23	23
Myanmar	62	68
Namibia	73	81
Nepal	97	102
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	..	..
Niger	21	17
Nigeria	..	..
North Macedonia	86	85
Northern Mariana Islands	..	..
Norway	99	98
Oman	108	99
Pakistan	52	45
Palau	..	..
Panama	74	80
Papua New Guinea	69	54
Paraguay	..	..
Peru	99	97
Philippines	72	85
Poland	98	97
Portugal	..	..
Puerto Rico	81	91
Qatar	88	89
Romania	86	87
Russian Federation	94	98
Rwanda	34	39
Samoa	104	107
San Marino	98	110
Sao Tome and Principe	67	81
Saudi Arabia	105	104
Senegal	35	40
Serbia	98	98
Seychelles	105	112
Sierra Leone	52	50
Singapore	105	104
Sint Maarten (Dutch part)	..	..
Slovak Republic	87	86
Slovenia	97	99
Solomon Islands	70	73
Somalia	..	..
South Africa	78	84
South Sudan	..	..
Spain	93	98
Sri Lanka	96	96
St. Kitts and Nevis	109	113
St. Lucia	84	88
St. Martin (French part)	..	..
St. Vincent and the Grenadines	88	96
Sudan	58	57
Suriname	32	59
Sweden	114	105
Switzerland	95	98
Syrian Arab Republic	..	..
Tajikistan	98	94
Tanzania	29	30
Thailand	77	85
Timor-Leste	85	97
Togo	55	41
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	68	87
Turkey	89	86
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	53	70
Uganda	28	25
Ukraine	..	..
United Arab Emirates	..	..
United Kingdom	101	101
United States	107	103
Uruguay	..	..
Uzbekistan	97	95
Vanuatu	..	..
Venezuela, RB	71	80
Vietnam	95	101
Virgin Islands (U.S.)	..	..
West Bank and Gaza	85	94
Yemen, Rep.	61	45
Zambia	..	..
Zimbabwe	..	..
World	75	76
East Asia & Pacific	84	87
Europe & Central Asia	93	94
Latin America & Caribbean	78	83
Middle East & North Africa	75	76
North America	98	94
South Asia	78	82
Sub-Saharan Africa	47	42
Low income	44	37
Lower middle income	74	77
Upper middle income	84	85
High income	94	94
