Country	New	Entry density
Afghanistan	4274	0.21
Albania	2990	1.52
Algeria	9472	0.35
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	220	3.31
Argentina	5667	0.2
Armenia	6137	03.05
Aruba	..	..
Australia	235654	14.47
Austria	3830	0.65
Azerbaijan	11611	1.66
Bahamas, The	..	..
Bahrain	3823	3.11
Bangladesh	4473	0.04
Barbados	..	..
Belarus	8700	1.34
Belgium	24677	3.37
Belize	843	3.39
Benin	3341	0.54
Bermuda	..	..
Bhutan	47	0.09
Bolivia	3593	0.51
Bosnia and Herzegovina	2493	01.09
Botswana	26613	20.09
Brazil	189076	1.29
Brunei Darussalam	731	2.36
Bulgaria	45683	10.1
Burkina Faso	3416	0.33
Burundi	..	..
Cabo Verde	1444	3.99
Cambodia	7007	0.67
Cameroon	..	..
Canada	4065	0.16
Cayman Islands	..	..
Central African Republic	213	0.09
Chad	878	0.11
Channel Islands	..	..
Chile	132740	10.31
China	..	..
Hong Kong SAR, China	151739	28.59
Macao SAR, China	..	..
Colombia	68588	02.02
Comoros	78	0.16
Congo, Dem. Rep.	2102	0.05
Congo, Rep.	..	..
Costa Rica	8984	2.6
Cote d'Ivoire	10233	0.74
Croatia	15585	5.86
Cuba	..	..
Curacao	..	..
Cyprus	14526	17.58
Czech Republic	30336	4.39
Denmark	36982	10.01
Djibouti	..	..
Dominica	371	7.74
Dominican Republic	10204	1.48
Ecuador	..	..
Egypt, Arab Rep.	..	..
El Salvador	2347	0.57
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	19950	23.59
Ethiopia	31198	0.51
Faroe Islands	..	..
Fiji	..	..
Finland	14700	4.29
France	201087	4.84
French Polynesia	..	..
Gabon	1106	0.88
Gambia, The	..	..
Georgia	25241	10.35
Germany	72844	1.35
Ghana	13154	0.87
Greece	9793	1.42
Greenland	..	..
Grenada	188	2.52
Guam	..	..
Guatemala	5530	0.53
Guinea	2630	0.4
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	..	..
Hungary	24252	3.74
Iceland	2283	9.88
India	123942	0.14
Indonesia	58426	0.33
Iran, Islamic Rep.	23689	0.42
Iraq	2020	0.1
Ireland	22398	7.13
Isle of Man	..	..
Israel	17456	3.27
Italy	114360	2.96
Jamaica	3159	1.6
Japan	29243	0.39
Jordan	3289	0.53
Kazakhstan	23464	2
Kenya	44259	1.49
Kiribati	2	0.03
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	96155	2.56
Kosovo	5353	4
Kuwait	18535	5.9
Kyrgyz Republic	4936	1.27
Lao PDR	178	0.04
Latvia	9864	08.01
Lebanon	..	..
Lesotho	3725	2.83
Liberia	59	0.02
Libya	..	..
Liechtenstein	163	6.31
Lithuania	6072	3.33
Luxembourg	7309	17.2
North Macedonia	5282	3.63
Madagascar	1881	0.13
Malawi	..	..
Malaysia	51722	2.37
Maldives	..	..
Mali	3130	0.33
Malta	5527	17.48
Marshall Islands	..	..
Mauritania	959	0.38
Mauritius	8285	9.26
Mexico	83903	1
Micronesia, Fed. Sts.	25	0.35
Moldova	4801	1.86
Monaco	..	..
Mongolia	11507	5.54
Montenegro	4694	11.29
Morocco	45132	1.9
Mozambique	..	..
Myanmar	14051	0.39
Namibia	1613	1.15
Nepal	24088	1.34
Netherlands	71531	6.42
New Caledonia	..	..
New Zealand	56380	17.84
Nicaragua	..	..
Niger	931	0.09
Nigeria	86309	0.83
Northern Mariana Islands	..	..
Norway	29959	8.62
Oman	5085	1.4
Pakistan	13229	0.1
Palau	..	..
Panama	13068	4.83
Papua New Guinea	..	..
Paraguay	1018	0.23
Peru	79346	3.75
Philippines	19774	0.29
Poland	36879	1.44
Portugal	43114	6.49
Puerto Rico	..	..
Qatar	14824	6.26
Romania	94244	7.32
Russian Federation	317468	3.26
Rwanda	10635	1.51
Samoa	126	1.13
San Marino	..	..
Sao Tome and Principe	265	2.3
Saudi Arabia	12116	0.5
Senegal	4003	0.47
Serbia	8671	1.88
Seychelles	344	5.17
Sierra Leone	1980	0.46
Singapore	43046	10.01
Sint Maarten (Dutch part)	..	..
Slovak Republic	19720	5.25
Slovenia	4182	03.09
Solomon Islands	..	..
Somalia	..	..
South Africa	376727	10.21
South Sudan	1765	0.3
Spain	94676	03.07
Sri Lanka	10510	0.74
St. Kitts and Nevis	..	..
St. Lucia	350	2.69
St. Martin (French part)	..	..
St. Vincent and the Grenadines	118	1.6
Sudan	..	..
Suriname	860	2.29
Eswatini	..	..
Sweden	45590	7.18
Switzerland	25637	4.53
Syrian Arab Republic	..	..
Tajikistan	831	0.15
Tanzania	5276	0.18
Thailand	55589	1.13
Timor-Leste	2889	4.43
Togo	2587	0.59
Tonga	49	0.84
Trinidad and Tobago	..	..
Tunisia	13134	1.68
Turkey	85798	1.56
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	18862	0.86
Ukraine	51349	1.68
United Arab Emirates	24716	03.04
United Kingdom	664974	15.65
United States	..	..
Uruguay	2796	1.26
Uzbekistan	35968	1.63
Vanuatu	258	1.53
Venezuela, RB	..	..
Vietnam	73422	1.12
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	..	..
Zambia	10236	1.11
Zimbabwe	16810	2.13
World	..	1.46
East Asia & Pacific	..	..
Europe & Central Asia	..	4.17
Latin America & Caribbean	..	1.65
Middle East & North Africa	..	..
North America	..	..
South Asia	..	0.15
