Country	average annual % growth ('90-'00)	average annual % growth ('00-'19)
Afghanistan	..	3
Albania	..	6.2
Algeria	..	0.4
American Samoa	..	..
Andorra	..	..
Angola	..	6.6
Antigua and Barbuda	0.6	2.4
Argentina	2.5	2.4
Armenia	..	..
Aruba	..	..
Australia	1.9	-0.2
Austria	2.5	2.3
Azerbaijan	-15.7	5
Bahamas, The	1.2	0.9
Bahrain	..	3.9
Bangladesh	7.2	9
Barbados	..	..
Belarus	-0.8	6.3
Belgium	3.6	0.5
Belize	2.4	0.2
Benin	5.7	1.3
Bermuda	..	-4.1
Bhutan	8.9	8.3
Bolivia	3.8	4.5
Bosnia and Herzegovina	..	3.8
Botswana	7.9	5
Brazil	0.4	0.7
Brunei Darussalam	3.4	-0.2
Bulgaria	..	..
Burkina Faso	5.4	4.7
Burundi	..	-0.7
Cabo Verde	9.7	3.3
Cambodia	19.9	9.3
Cameroon	-2.1	4
Canada	..	0.6
Cayman Islands	..	0.9
Central African Republic	..	-3.6
Chad	..	7.1
Channel Islands	..	..
Chile	5	2
China	..	..
Hong Kong SAR, China	..	-1.6
Macao SAR, China	..	-3.5
Colombia	0.3	2.8
Comoros	..	..
Congo, Dem. Rep.	-8.7	2.3
Congo, Rep.	-4.3	8.4
Costa Rica	4	1.3
Cote d'Ivoire	..	3.8
Croatia	4	0.1
Cuba	0.2	2.6
Curacao	..	..
Cyprus	0.1	-1.3
Czech Republic	7.5	5.2
Denmark	2.8	1.1
Djibouti	..	..
Dominica	1.6	-4
Dominican Republic	6.3	3
Ecuador	2.3	2.8
Egypt, Arab Rep.	..	2.2
El Salvador	4	1.4
Equatorial Guinea	..	5.1
Eritrea	..	..
Estonia	8.1	3.8
Eswatini	2.8	3.2
Ethiopia	3.7	11.6
Faroe Islands	..	..
Fiji	4.9	1.9
Finland	6.9	0.1
France	2.6	0.6
French Polynesia	..	..
Gabon	3	13.2
Gambia, The	1.3	1.4
Georgia	..	4.5
Germany	0.1	1.8
Ghana	..	4.3
Greece	3.1	-2.3
Greenland	..	0.5
Grenada	5.6	0.4
Guam	..	..
Guatemala	2.8	2.8
Guinea	..	3.9
Guinea-Bissau	..	3.2
Guyana	3	7.4
Haiti	-5.8	1.8
Honduras	4.1	3.2
Hungary	8.3	2
Iceland	3.5	2.7
India	6.9	7.6
Indonesia	6.7	4.6
Iran, Islamic Rep.	5.4	4.8
Iraq	9.6	-1.1
Ireland	13.7	5.4
Isle of Man	..	..
Israel	6.9	1.7
Italy	1.6	-0.3
Jamaica	-2.2	-0.6
Japan	1.3	1.4
Jordan	5.2	5.1
Kazakhstan	..	4.7
Kenya	1.3	3.4
Kiribati	2	0.7
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	8.6	4.7
Kosovo	..	4.8
Kuwait	..	..
Kyrgyz Republic	-7.5	1.4
Lao PDR	..	8.3
Latvia	5.4	1.2
Lebanon	5.7	2.9
Lesotho	7.1	1.6
Liberia	..	3.2
Libya	..	..
Liechtenstein	..	..
Lithuania	7.1	4.7
Luxembourg	3.8	-1.3
Madagascar	..	..
Malawi	0.5	6.4
Malaysia	9.5	4.2
Maldives	9.7	2.7
Mali	..	7.5
Malta	..	..
Marshall Islands	..	5
Mauritania	0.6	2.6
Mauritius	5.3	1.6
Mexico	4.1	1.4
Micronesia, Fed. Sts.	3.1	-7.6
Moldova	-7.1	2.4
Monaco	..	..
Mongolia	-6.6	6.2
Montenegro	..	-4.4
Morocco	2.6	3
Mozambique	10.2	4.4
Myanmar	..	17.7
Namibia	2.6	3.6
Nepal	8.9	2
Netherlands	2.9	1.2
New Caledonia	..	..
New Zealand	2.3	0.2
Nicaragua	3.5	4.8
Niger	1.3	5.3
Nigeria	-4.1	5.1
North Macedonia	-5.6	4.3
Northern Mariana Islands	..	..
Norway	1.7	1
Oman	..	..
Pakistan	3.8	5.3
Palau	..	-4.2
Panama	3.1	3
Papua New Guinea	..	1.1
Paraguay	1.9	3.1
Peru	3.8	4.1
Philippines	3	4.4
Poland	0.4	7.2
Portugal	4.2	0.2
Puerto Rico	..	..
Qatar	..	8.5
Romania	-1.7	3.6
Russian Federation	..	2.3
Rwanda	..	5.9
Samoa	-1.9	-3.7
San Marino	..	..
Sao Tome and Principe	..	4.7
Saudi Arabia	4.2	6.1
Senegal	..	4.5
Serbia	4.4	1.5
Seychelles	8.3	0.7
Sierra Leone	-3.3	3.2
Singapore	7	5.1
Sint Maarten (Dutch part)	..	..
Slovak Republic	7.6	7.5
Slovenia	5	2.3
Solomon Islands	..	..
Somalia	..	..
South Africa	1.6	1.6
South Sudan	..	..
Spain	5.2	-0.6
Sri Lanka	8.1	4.2
St. Kitts and Nevis	4.3	-1.3
St. Lucia	-0.9	3.2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	0.2	-0.7
Sudan	7.2	9
Suriname	-1.3	1.6
Sweden	6.7	0.7
Switzerland	1.4	2.4
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	2.8	7.8
Thailand	3.5	3.4
Timor-Leste	..	-0.8
Togo	1.8	7.7
Tonga	-1.1	0.3
Trinidad and Tobago	..	..
Tunisia	5.7	2.2
Turkey	4.7	6.1
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	2.9
Uganda	14.2	6.1
Ukraine	-11.2	-0.1
United Arab Emirates	..	3.6
United Kingdom	1.2	-0.1
United States	..	1.2
Uruguay	-0.1	3.4
Uzbekistan	..	..
Vanuatu	..	0.7
Venezuela, RB	4.5	0.3
Vietnam	11.2	7.6
Virgin Islands (U.S.)	..	..
West Bank and Gaza	-3.4	5
Yemen, Rep.	..	3.2
Zambia	1	5.1
Zimbabwe	0.4	2.6
World	..	2.1
East Asia & Pacific	..	..
Europe & Central Asia	1.9	1.5
Latin America & Caribbean	2.2	1.4
Middle East & North Africa	..	3.5
North America	..	1.2
South Asia	6.7	7.4
Sub-Saharan Africa	-0.6	3.8
Low income	-2.4	5.1
Lower middle income	3.1	5.6
Upper middle income	..	..
High income	3	1.6
