Country	% 1990	% 2014
Afghanistan	..	..
Albania	37.7	22.1
Algeria	11.1	8.3
American Samoa	..	..
Andorra	..	..
Angola	44.9	2020.8
Antigua and Barbuda	..	..
Argentina	14.7	16.9
Armenia	19.2	11.1
Aruba	..	..
Australia	16.5	11.5
Austria	17.1	17.7
Azerbaijan	30.4	7.5
Bahamas, The	..	..
Bahrain	0.3	7.3
Bangladesh	20.2	16.3
Barbados	..	..
Belarus	8.4	9.4
Belgium	26.5	20.7
Belize	..	..
Benin	11.5	6.1
Bermuda	..	..
Bhutan	..	..
Bolivia	15	11.5
Bosnia and Herzegovina	24.6	9.8
Botswana	17.8	10
Brazil	25.3	20.6
Brunei Darussalam	3.7	5.1
Bulgaria	16.2	8.1
Burkina Faso	..	..
Burundi	..	..
Cabo Verde	..	..
Cambodia	..	2.6
Cameroon	6.4	7.1
Canada	18.2	12
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	21.7	18.7
China	35.9	31.7
Colombia	26.3	18.3
Comoros	..	..
Congo, Dem. Rep.	28.8	2.8
Congo, Rep.	6.3	2.7
Costa Rica	26.2	13.7
Cote d'Ivoire	14.8	14.9
Croatia	26.1	14.9
Cuba	31.6	29.9
Curacao	20.3	8.4
Cyprus	20.3	11.6
Czech Republic	31.1	14
Denmark	10.7	10
Djibouti	..	..
Dominica	..	..
Dominican Republic	10.8	11.6
Ecuador	18.1	13.3
Egypt, Arab Rep.	34.2	15.2
El Salvador	23.7	11.9
Equatorial Guinea	..	..
Eritrea	4.5	3.6
Estonia	12	4.9
Eswatini	..	..
Ethiopia	25.3	34.2
Faroe Islands	..	..
Fiji	..	..
Finland	25.3	16.7
France	20.7	15.7
French Polynesia	..	..
Gabon	15.4	33.5
Gambia, The	..	..
Georgia	22.1	21
Germany	16.6	12.4
Ghana	11.8	12.6
Gibraltar	0	0
Greece	13.8	9.1
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	22.1	34.2
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	19.4	2020.6
Honduras	34.9	9.7
Hong Kong SAR, China	9	16.7
Hungary	21.4	15.6
Iceland	28.9	29.4
India	27.9	26.4
Indonesia	22.9	18.4
Iran, Islamic Rep.	21.8	16.7
Iraq	14.9	7.9
Ireland	13.3	10.6
Isle of Man	..	..
Israel	9.7	4.5
Italy	19	11.2
Jamaica	51.7	35.7
Japan	25.8	19.2
Jordan	14	9.8
Kazakhstan	34.1	18.7
Kenya	25.5	23.8
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	67.6	61.5
Korea, Rep.	22.2	13.7
Kosovo	..	5.9
Kuwait	14.6	16.7
Kyrgyz Republic	37.1	19.6
Lao PDR	..	..
Latvia	13.6	12.6
Lebanon	6	4.9
Lesotho	..	..
Liberia	..	..
Libya	8.1	4.1
Liechtenstein	..	..
Lithuania	19	11.2
Luxembourg	47.3	9.3
Macao SAR, China	..	..
North Macedonia	19	15.1
Madagascar	..	..
Malawi	..	..
Malaysia	28.3	13
Maldives	..	..
Mali	..	..
Malta	0	1.3
Marshall Islands	..	..
Mauritania	..	..
Mauritius	13.8	8.3
Mexico	20.7	13.4
Micronesia, Fed. Sts.	..	..
Moldova	6.7	12.7
Monaco	..	..
Mongolia	21.9	11.8
Montenegro	..	6.8
Morocco	27.4	13.6
Mozambique	12	15.5
Myanmar	24.8	2020.5
Namibia	0.9	9.2
Nepal	22.5	32.7
Netherlands	16	14.7
New Caledonia	..	..
New Zealand	27.2	21.7
Nicaragua	17.4	12.3
Niger	..	14.3
Nigeria	13.6	12.2
Northern Mariana Islands	..	..
Norway	22.7	16.1
Oman	21.3	37.4
Pakistan	29.8	23.8
Palau	..	..
Panama	19.9	24.4
Papua New Guinea	..	..
Paraguay	7.8	2.9
Peru	21.3	17.5
Philippines	27.3	14.5
Poland	12.4	10.3
Portugal	21.3	12.9
Puerto Rico	..	..
Qatar	25.2	17.8
Romania	35.9	18.2
Russian Federation	11.6	12.3
Rwanda	..	..
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	18.6	24.1
Senegal	11.3	18.3
Serbia	15.8	9.3
Seychelles	..	..
Sierra Leone	..	..
Singapore	1.5	24.9
Sint Maarten (Dutch part)	..	..
Slovak Republic	28.9	24.6
Slovenia	19.4	13.2
Solomon Islands	..	..
Somalia	..	..
