Country	Savings (2010)	Savings (2019)
Afghanistan	2	19
Albania	20	14
Algeria	50	38
American Samoa	..	..
Andorra	..	..
Angola	37	25
Antigua and Barbuda	..	..
Argentina	17	17
Armenia	13	9
Aruba	4	15
Australia	22	22
Austria	26	28
Azerbaijan	44	29
Bahamas, The	24	13
Bahrain	30	30
Bangladesh	39	36
Barbados	4	..
Belarus	27	28
Belgium	25	24
Belize	10	8
Benin	11	20
Bermuda	52	..
Bhutan	35	22
Bolivia	25	14
Bosnia and Herzegovina	8	15
Botswana	35	33
Brazil	18	12
Brunei Darussalam	60	54
Bulgaria	22	24
Burkina Faso	..	22
Burundi	3	4
Cabo Verde	35	35
Cambodia	18	24
Cameroon	18	17
Canada	19	20
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	25	19
China	51	45
Hong Kong SAR, China	31	25
Macao SAR, China	53	52
Colombia	18	15
Comoros	14	13
Congo, Dem. Rep.	20	17
Congo, Rep.	27	..
Costa Rica	16	14
Cote d'Ivoire	15	17
Croatia	19	25
Cuba	..	..
Curacao	16	..
Cyprus	13	14
Czech Republic	23	27
Denmark	25	31
Djibouti	..	50
Dominica	..	..
Dominican Republic	19	22
Ecuador	26	25
Egypt, Arab Rep.	18	14
El Salvador	14	17
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	23	29
Eswatini	8	14
Ethiopia	33	33
Faroe Islands	23	..
Fiji	..	..
Finland	24	23
France	21	23
French Polynesia	..	..
Gabon	41	..
Gambia, The	0	9
Georgia	11	22
Germany	26	29
Ghana	5	21
Greece	6	13
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	13	17
Guinea	7	12
Guinea-Bissau	-3	9
Guyana	13	35
Haiti	24	24
Honduras	17	22
Hungary	21	28
Iceland	4	26
India	36	29
Indonesia	33	31
Iran, Islamic Rep.	..	..
Iraq	36	15
Ireland	17	34
Isle of Man	..	..
Israel	22	24
Italy	17	21
Jamaica	13	21
Japan	25	28
Jordan	23	11
Kazakhstan	30	26
Kenya	14	9
Kiribati	15	64
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	35	35
Kosovo	21	23
Kuwait	51	43
Kyrgyz Republic	20	27
Lao PDR	10	..
Latvia	22	22
Lebanon	5	-4
Lesotho	29	25
Liberia	-23	-64
Libya	67	..
Liechtenstein	..	..
Lithuania	18	21
Luxembourg	23	17
Madagascar	17	19
Malawi	18	11
Malaysia	33	26
Maldives	..	..
Mali	13	16
Malta	19	30
Marshall Islands	28	17
Mauritania	37	29
Mauritius	14	17
Mexico	24	23
Micronesia, Fed. Sts.	..	..
Moldova	17	16
Monaco	..	..
Mongolia	27	23
Montenegro	1	16
Morocco	30	28
Mozambique	12	13
Myanmar	33	29
Namibia	18	9
Nepal	38	48
Netherlands	27	31
New Caledonia	..	..
New Zealand	17	19
Nicaragua	16	25
Niger	18	17
Nigeria	24	19
North Macedonia	24	32
Northern Mariana Islands	..	..
Norway	37	33
Oman	35	18
Pakistan	22	21
Palau	17	11
Panama	23	29
Papua New Guinea	..	..
Paraguay	24	21
Peru	22	20
Philippines	40	32
Poland	16	20
Portugal	11	19
Puerto Rico	..	..
Qatar	60	47
Romania	22	18
Russian Federation	26	28
Rwanda	13	14
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	44	34
Senegal	15	23
Serbia	14	18
Seychelles	18	11
Sierra Leone	21	-7
Singapore	51	43
Sint Maarten (Dutch part)	..	..
Slovak Republic	21	22
Slovenia	22	27
Solomon Islands	..	..
Somalia	..	..
South Africa	18	15
South Sudan	..	..
Spain	19	23
Sri Lanka	28	27
St. Kitts and Nevis	..	23
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	19	15
Suriname	50	..
Sweden	29	29
Switzerland	39	35
Syrian Arab Republic	..	..
Tajikistan	12	25
Tanzania	25	31
Thailand	30	31
Timor-Leste	257	14
Togo	16	23
Tonga	12	..
Trinidad and Tobago	..	..
Tunisia	21	8
Turkey	21	25
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	19	24
Ukraine	18	12
United Arab Emirates	..	..
United Kingdom	13	14
United States	16	19
Uruguay	17	13
Uzbekistan	..	40
Vanuatu	20	..
Venezuela, RB	31	..
Vietnam	30	23
Virgin Islands (U.S.)	..	..
West Bank and Gaza	7	13
Yemen, Rep.	..	..
Zambia	31	44
Zimbabwe	-4	-2
World	25	25
East Asia & Pacific	37	35
Europe & Central Asia	22	24
Latin America & Caribbean	21	16
Middle East & North Africa	..	..
North America	16	19
South Asia	35	29
Sub-Saharan Africa	21	19
Low income	..	..
Lower middle income	32	28
Upper middle income	35	31
High income	21	23
