Country	Prevalence %
Afghanistan	9.2
Albania	9
Algeria	6.7
American Samoa	..
Andorra	7.7
Angola	4.5
Antigua and Barbuda	13.1
Argentina	5.9
Armenia	6.1
Aruba	11.6
Australia	5.6
Austria	6.6
Azerbaijan	6.1
Bahamas, The	8.8
Bahrain	15.6
Bangladesh	9.2
Barbados	13.4
Belarus	5
Belgium	4.6
Belize	17.1
Benin	1
Bermuda	6.7
Bhutan	10.3
Bolivia	6.8
Bosnia and Herzegovina	9
Botswana	5.8
Brazil	10.4
Brunei Darussalam	13.3
Bulgaria	6
Burkina Faso	7.3
Burundi	5.1
Cabo Verde	2.4
Cambodia	6.4
Cameroon	6
Canada	7.6
Cayman Islands	6.8
Central African Republic	6
Chad	6
Channel Islands	3.9
Chile	8.6
China	9.2
Hong Kong SAR, China	4.5
Macao SAR, China	4.3
Colombia	7.4
Comoros	12.3
Congo, Dem. Rep.	6
Congo, Rep.	6
Costa Rica	9.1
Cote d'Ivoire	2.4
Croatia	5.4
Cuba	9.6
Curacao	11.6
Cyprus	9
Czech Republic	7
Denmark	8.3
Djibouti	5.1
Dominica	11.6
Dominican Republic	8.6
Ecuador	5.5
Egypt, Arab Rep.	17.2
El Salvador	8.8
Equatorial Guinea	6
Eritrea	5.1
Estonia	4.2
Eswatini	4.5
Ethiopia	4.3
Faroe Islands	4.7
Fiji	14.7
Finland	5.6
France	4.8
French Polynesia	19.5
Gabon	6
Gambia, The	1.9
Georgia	5.8
Germany	10.4
Ghana	2.5
Greece	4.7
Greenland	2.1
Grenada	10.7
Guam	18.7
Guatemala	10
Guinea	2.4
Guinea-Bissau	2.4
Guyana	11.6
Haiti	6.7
Honduras	7.3
Hungary	6.9
Iceland	5.8
India	10.4
Indonesia	6.3
Iran, Islamic Rep.	9.6
Iraq	8.8
Ireland	3.2
Isle of Man	..
Israel	9.7
Italy	5
Jamaica	11.3
Japan	5.6
Jordan	12.7
Kazakhstan	6.1
Kenya	3.1
Kiribati	22.5
Korea, Dem. Peopleâ€™s Rep.	6.4
Korea, Rep.	6.9
Kosovo	..
Kuwait	12.2
Kyrgyz Republic	6.1
Lao PDR	6.4
Latvia	5
Lebanon	11.2
Lesotho	4.5
Liberia	2.4
Libya	10.2
Liechtenstein	9.4
Lithuania	3.8
Luxembourg	5
Madagascar	4.5
Malawi	4.5
Malaysia	16.7
Maldives	9.2
Mali	2.4
Malta	8.3
Marshall Islands	30.5
Mauritania	7.1
Mauritius	22
Mexico	13.5
Micronesia, Fed. Sts.	11.9
Moldova	5.7
Monaco	2.9
Mongolia	4.7
Montenegro	9
Morocco	7
Mozambique	3.3
Myanmar	3.9
Namibia	4.5
Nepal	7.2
Netherlands	5.4
New Caledonia	21.8
New Zealand	6.2
Nicaragua	11.4
Niger	2.4
Nigeria	3.1
North Macedonia	9.3
Northern Mariana Islands	..
Norway	5.3
Oman	10.1
Pakistan	19.9
Palau	17.9
Panama	7.7
Papua New Guinea	17.9
Paraguay	9.6
Peru	6.6
Philippines	7.1
Poland	6.1
Portugal	9.8
Puerto Rico	13.7
Qatar	15.6
Romania	6.9
Russian Federation	6.1
Rwanda	5.1
Samoa	9.2
San Marino	5.9
Sao Tome and Principe	2.4
Saudi Arabia	15.8
Senegal	2.4
Serbia	9
Seychelles	12.3
Sierra Leone	2.4
Singapore	5.5
Sint Maarten (Dutch part)	6.8
Slovak Republic	6.5
Slovenia	5.9
Solomon Islands	19
Somalia	5.1
South Africa	12.7
South Sudan	10.2
Spain	6.9
Sri Lanka	10.7
St. Kitts and Nevis	13.3
St. Lucia	11.6
St. Martin (French part)	..
St. Vincent and the Grenadines	11.6
Sudan	22.1
Suriname	12.5
Sweden	4.8
Switzerland	5.7
Syrian Arab Republic	13.5
Tajikistan	6.1
Tanzania	5.7
Thailand	7
Timor-Leste	6.7
Togo	2.4
Tonga	15.7
Trinidad and Tobago	11
Tunisia	8.5
Turkey	11.1
Turkmenistan	6.1
Turks and Caicos Islands	..
Tuvalu	22.1
Uganda	2.5
Ukraine	6.1
United Arab Emirates	16.3
United Kingdom	3.9
United States	10.8
Uruguay	7.3
Uzbekistan	6.5
Vanuatu	11.9
Venezuela, RB	7
Vietnam	6
Virgin Islands (U.S.)	12.3
West Bank and Gaza	9.5
Yemen, Rep.	5.4
Zambia	4.5
Zimbabwe	1.8
World	8.8
East Asia & Pacific	8.2
Europe & Central Asia	6.7
Latin America & Caribbean	9.7
Middle East & North Africa	11.4
North America	10.5
South Asia	11.2
Sub-Saharan Africa	5.4
Low income	6.4
Lower middle income	9.5
Upper middle income	9
High income	7.9
