Country	Growth %
Afghanistan	..
Albania	1.8
Algeria	3.5
American Samoa	..
Andorra	..
Angola	4
Antigua and Barbuda	..
Argentina	2.5
Armenia	-0.7
Aruba	..
Australia	1.9
Austria	1.3
Azerbaijan	-1.3
Bahamas, The	..
Bahrain	4.5
Bangladesh	4.5
Barbados	..
Belarus	-0.8
Belgium	0.5
Belize	..
Benin	4.1
Bermuda	..
Bhutan	..
Bolivia	4.4
Bosnia and Herzegovina	3.7
Botswana	2.8
Brazil	3.2
Brunei Darussalam	2.9
Bulgaria	-1.1
Burkina Faso	..
Burundi	..
Cabo Verde	..
Cambodia	3.9
Cameroon	1.6
Canada	1.1
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	..
Chile	4
China	6.1
Hong Kong SAR, China	1.9
Macao SAR, China	..
Colombia	1.1
Comoros	..
Congo, Dem. Rep.	3.5
Congo, Rep.	5.6
Costa Rica	4.6
Cote d'Ivoire	4.9
Croatia	0.6
Cuba	-0.6
Curacao	1.9
Cyprus	1.8
Czech Republic	0
Denmark	-0.3
Djibouti	..
Dominica	..
Dominican Republic	2.7
Ecuador	3.1
Egypt, Arab Rep.	4.5
El Salvador	2.1
Equatorial Guinea	..
Eritrea	-1.1
Estonia	-0.9
Eswatini	..
Ethiopia	3.1
Faroe Islands	..
Fiji	..
Finland	1
France	0.5
French Polynesia	..
Gabon	7.3
Gambia, The	..
Georgia	-3.3
Germany	-0.4
Ghana	1.4
Greece	1
Greenland	..
Grenada	..
Guam	..
Guatemala	4.3
Guinea	..
Guinea-Bissau	..
Guyana	..
Haiti	5.1
Honduras	3.6
Hungary	-0.4
Iceland	5.2
India	4.2
Indonesia	3.4
Iran, Islamic Rep.	5.2
Iraq	2.3
Ireland	1.5
Isle of Man	..
Israel	2.9
Italy	0.5
Jamaica	0
Japan	0
Jordan	3.9
Kazakhstan	1.1
Kenya	3.1
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	-2.8
Korea, Rep.	4.1
Kosovo	2.6
Kuwait	7.1
Kyrgyz Republic	-1.1
Lao PDR	..
Latvia	-1.3
Lebanon	4
Lesotho	..
Liberia	..
Libya	2
Liechtenstein	..
Lithuania	-2
Luxembourg	1.1
North Macedonia	0.5
Madagascar	..
Malawi	..
Malaysia	5.5
Maldives	..
Mali	..
Malta	0.8
Marshall Islands	..
Mauritania	..
Mauritius	3.4
Mexico	1.9
Micronesia, Fed. Sts.	..
Moldova	-3.3
Monaco	..
Mongolia	2.2
Montenegro	..
Morocco	4
Mozambique	3
Myanmar	2
Namibia	3.8
Nepal	2.8
Netherlands	0.6
New Caledonia	..
New Zealand	1.6
Nicaragua	2.1
Niger	4.5
Nigeria	3.1
Northern Mariana Islands	..
Norway	1.6
Oman	7.5
Pakistan	3.2
Palau	..
Panama	3.9
Papua New Guinea	..
Paraguay	1.8
Peru	3.5
Philippines	1.7
Poland	-0.2
Portugal	1.2
Puerto Rico	..
Qatar	8.2
Romania	-1.8
Russian Federation	-0.2
Rwanda	..
Samoa	..
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	5
Senegal	4.1
Serbia	-0.1
Seychelles	..
Sierra Leone	..
Singapore	2.6
Sint Maarten (Dutch part)	..
Slovak Republic	-0.4
Slovenia	1.3
Solomon Islands	..
Somalia	..
South Africa	2.2
South Sudan	..
Spain	1.6
Sri Lanka	3
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	1.9
Suriname	1.9
Sweden	0.1
Switzerland	0.3
Syrian Arab Republic	2.1
Tajikistan	-1.8
Tanzania	4.3
Thailand	4.8
Timor-Leste	..
Togo	4.3
Tonga	..
Trinidad and Tobago	6.5
Tunisia	3.4
Turkey	3.7
Turkmenistan	3.5
Turks and Caicos Islands	..
Tuvalu	..
Uganda	..
Ukraine	-2.5
United Arab Emirates	5.5
United Kingdom	-0.5
United States	0.6
Uruguay	2.8
Uzbekistan	0
Vanuatu	..
Venezuela, RB	2.4
Vietnam	6
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	5.1
Zambia	2.4
Zimbabwe	0.1
World	2020.1
East Asia & Pacific	2020.3
Europe & Central Asia	0
Latin America & Caribbean	2.7
Middle East & North Africa	4.7
North America	0.6
South Asia	4
Sub-Saharan Africa	2.8
Low income	1.9
Lower middle income	2.7
Upper middle income	2020.6
High income	0.9
