Country	Most recent year	Tariff
Afghanistan	..	5.5
Albania	2017	0.9
Algeria	..	9.4
American Samoa	..	..
Andorra	..	..
Angola	2016	9.4
Antigua and Barbuda	2017	12.7
Argentina	2017	7.9
Armenia	2017	2.2
Aruba	..	10.3
Australia	2017	0.9
Austria	2017	1.8
Azerbaijan	..	5.2
Bahamas, The	..	18.6
Bahrain	2017	7.8
Bangladesh	2016	10.7
Barbados	2013	14.2
Belarus	..	1.5
Belgium	2017	1.8
Belize	2017	10.4
Benin	2017	17.8
Bermuda	..	20.9
Bhutan	..	2.8
Bolivia	2017	6.1
Bosnia and Herzegovina	..	2.5
Botswana	2017	1.1
Brazil	2017	8.6
Brunei Darussalam	2017	0
Bulgaria	2017	1.8
Burkina Faso	2017	9.1
Burundi	2016	5.9
Cabo Verde	2015	10.9
Cambodia	2016	9.8
Cameroon	2014	12.7
Canada	2017	1.5
Cayman Islands	..	16.7
Central African Republic	2017	16.4
Chad	2016	16.4
Channel Islands	..	..
Chile	2017	0.5
China	2017	3.8
Hong Kong SAR, China	2017	0
Macao SAR, China	2017	0
Colombia	2017	4.4
Comoros	..	10.4
Congo, Dem. Rep.	2014	10.2
Congo, Rep.	2015	11.6
Costa Rica	2016	1.8
Cote d'Ivoire	2017	10.3
Croatia	2017	1.8
Cuba	2017	7.2
Curacao	..	..
Czech Republic	2017	1.8
Denmark	2017	1.8
Djibouti	2014	17.6
Dominica	2017	8.3
Dominican Republic	2017	4.2
Ecuador	2017	7
Egypt, Arab Rep.	2017	7.4
El Salvador	2017	2.1
Equatorial Guinea	..	15.6
Eritrea	..	5.4
Estonia	2017	1.8
Ethiopia	..	12.1
Faroe Islands	..	..
Fiji	2017	16.1
Finland	2017	1.8
France	2017	1.8
French Polynesia	..	5.1
Gabon	2016	16.9
Gambia, The	2013	12.7
Georgia	2016	0.7
Germany	2017	1.8
Ghana	2017	10.6
Greece	2017	1.8
Greenland	..	..
Grenada	2016	12.4
Guam	..	..
Guatemala	2015	1.4
Guinea	2017	12.3
Guinea-Bissau	2017	15.5
Guyana	2017	6.6
Haiti	2016	6.5
Honduras	2015	2.8
Hungary	2017	1.8
Iceland	2017	1.6
India	2017	5.8
Indonesia	2017	2.1
Iran, Islamic Rep.	..	15.2
Iraq	..	..
Ireland	2017	1.8
Isle of Man	..	..
Israel	2017	1.9
Italy	2017	1.8
Jamaica	2016	10.8
Japan	2017	2.5
Jordan	2017	4.4
Kazakhstan	2017	2.4
Kenya	2016	12.3
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2017	5.1
Kosovo	..	..
Kuwait	2017	4.3
Kyrgyz Republic	2017	2.9
Lao PDR	2017	1.5
Latvia	2017	1.8
Lebanon	..	3.8
Lesotho	2017	1.4
Liberia	..	12.2
Libya	..	0
Liechtenstein	2017	..
Lithuania	2017	1.8
Luxembourg	2017	1.8
North Macedonia	2017	1.9
Madagascar	2017	6.8
Malawi	2016	4.8
Malaysia	2016	4
Maldives	2017	12
Mali	2017	10
Malta	2017	1.8
