Country	Mortality Rate (1990)	Mortality Rate (2019)
Afghanistan	74	36
Albania	13	8
Algeria	23	16
American Samoa	..	..
Andorra	7	1
Angola	53	28
Antigua and Barbuda	8	4
Argentina	15	6
Armenia	23	6
Aruba	..	..
Australia	5	2
Austria	5	2
Azerbaijan	33	11
Bahamas, The	14	7
Bahrain	15	3
Bangladesh	64	19
Barbados	12	8
Belarus	9	1
Belgium	5	2
Belize	18	8
Benin	46	31
Bermuda	..	..
Bhutan	42	17
Bolivia	41	15
Bosnia and Herzegovina	11	4
Botswana	17	18
Brazil	25	8
Brunei Darussalam	6	6
Bulgaria	8	3
Burkina Faso	46	26
Burundi	40	21
Cabo Verde	20	9
Cambodia	40	15
Cameroon	40	26
Canada	4	3
Cayman Islands	..	..
Central African Republic	52	40
Chad	52	33
Channel Islands	..	..
Chile	9	5
China	30	4
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	18	8
Comoros	50	30
Congo, Dem. Rep.	42	27
Congo, Rep.	27	19
Costa Rica	9	6
Cote d'Ivoire	49	33
Croatia	8	3
Cuba	7	2
Curacao	..	..
Cyprus	6	1
Czech Republic	7	2
Denmark	4	3
Djibouti	49	31
Dominica	10	28
Dominican Republic	24	19
Ecuador	22	7
Egypt, Arab Rep.	33	11
El Salvador	22	7
Equatorial Guinea	48	29
Eritrea	35	18
Estonia	10	1
Eswatini	22	18
Ethiopia	59	28
Faroe Islands	..	..
Fiji	12	11
Finland	4	1
France	4	3
French Polynesia	..	..
Gabon	31	20
Gambia, The	46	27
Georgia	25	5
Germany	3	2
Ghana	42	23
Greece	7	2
Greenland	..	..
Grenada	12	11
Guam	..	..
Guatemala	28	12
Guinea	61	30
Guinea-Bissau	63	35
Guyana	31	19
Haiti	39	25
Honduras	22	9
Hungary	11	2
Iceland	4	1
India	57	22
Indonesia	31	12
Iran, Islamic Rep.	25	9
Iraq	26	15
Ireland	5	2
Isle of Man	..	..
Israel	6	2
Italy	6	2
Jamaica	20	10
Japan	3	1
Jordan	20	9
Kazakhstan	23	5
Kenya	28	21
Kiribati	35	22
Korea, Dem. Peopleâ€™s Rep.	21	10
Korea, Rep.	7	2
Kosovo	..	..
Kuwait	10	5
Kyrgyz Republic	24	12
Lao PDR	47	22
Latvia	8	2
Lebanon	21	4
Lesotho	39	43
Liberia	59	32
Libya	21	7
Liechtenstein	..	..
Lithuania	8	2
Luxembourg	4	2
Madagascar	39	20
Malawi	50	20
Malaysia	8	5
Maldives	39	5
Mali	67	32
Malta	8	5
Marshall Islands	19	15
Mauritania	46	32
Mauritius	15	10
Mexico	22	9
Micronesia, Fed. Sts.	25	16
Moldova	19	11
Monaco	4	2
Mongolia	30	8
Montenegro	11	1
Morocco	36	14
Mozambique	62	29
Myanmar	47	22
Namibia	28	19
Nepal	58	20
Netherlands	5	3
New Caledonia	..	..
New Zealand	4	3
Nicaragua	23	10
Niger	55	24
Nigeria	50	36
North Macedonia	17	4
Northern Mariana Islands	..	..
Norway	4	1
Oman	17	5
Pakistan	64	41
Palau	19	9
Panama	18	9
Papua New Guinea	34	22
Paraguay	22	11
Peru	28	6
Philippines	19	13
Poland	11	3
Portugal	7	2
Puerto Rico	..	..
Qatar	11	3
Romania	16	3
Russian Federation	11	3
Rwanda	41	16
Samoa	16	8
San Marino	7	1
Sao Tome and Principe	26	14
Saudi Arabia	22	4
Senegal	40	22
Serbia	17	3
Seychelles	11	9
Sierra Leone	52	31
Singapore	4	1
Sint Maarten (Dutch part)	..	..
Slovak Republic	9	3
Slovenia	6	1
Solomon Islands	15	8
Somalia	45	37
South Africa	20	12
South Sudan	64	39
Spain	5	2
Sri Lanka	13	4
St. Kitts and Nevis	19	10
St. Lucia	12	13
St. Martin (French part)	..	..
St. Vincent and the Grenadines	13	9
Sudan	42	27
Suriname	21	11
Sweden	4	1
Switzerland	4	3
Syrian Arab Republic	16	11
Tajikistan	31	15
Tanzania	40	20
Thailand	21	5
Timor-Leste	55	20
Togo	43	25
Tonga	10	7
Trinidad and Tobago	20	12
Tunisia	28	12
Turkey	33	5
Turkmenistan	27	24
Turks and Caicos Islands	..	..
Tuvalu	28	16
Uganda	39	20
Ukraine	12	5
United Arab Emirates	8	4
United Kingdom	5	3
United States	6	4
Uruguay	12	4
Uzbekistan	31	10
Vanuatu	16	11
Venezuela, RB	13	15
Vietnam	23	11
Virgin Islands (U.S.)	..	..
West Bank and Gaza	22	11
Yemen, Rep.	43	27
Zambia	36	23
Zimbabwe	25	26
World	37	18
East Asia & Pacific	28	7
Europe & Central Asia	14	4
Latin America & Caribbean	23	9
Middle East & North Africa	28	12
North America	6	4
South Asia	59	25
Sub-Saharan Africa	45	28
Low income	48	27
Lower middle income	50	24
Upper middle income	26	7
High income	7	3
