Country	Total
Afghanistan	63
Albania	10
Algeria	24
American Samoa	..
Andorra	3
Angola	78
Antigua and Barbuda	7
Argentina	10
Armenia	12
Aruba	..
Australia	4
Austria	4
Azerbaijan	22
Bahamas, The	13
Bahrain	7
Bangladesh	32
Barbados	13
Belarus	3
Belgium	4
Belize	13
Benin	93
Bermuda	..
Bhutan	30
Bolivia	27
Bosnia and Herzegovina	6
Botswana	43
Brazil	14
Brunei Darussalam	11
Bulgaria	7
Burkina Faso	91
Burundi	59
Cabo Verde	16
Cambodia	28
Cameroon	78
Canada	5
Cayman Islands	..
Central African Republic	114
Chad	118
Channel Islands	..
Chile	7
China	9
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	14
Comoros	65
Congo, Dem. Rep.	88
Congo, Rep.	49
Costa Rica	9
Cote d'Ivoire	82
Croatia	5
Cuba	5
Curacao	..
Cyprus	2
Czech Republic	3
Denmark	4
Djibouti	59
Dominica	34
Dominican Republic	29
Ecuador	14
Egypt, Arab Rep.	21
El Salvador	14
Equatorial Guinea	85
Eritrea	42
Estonia	3
Eswatini	55
Ethiopia	53
Faroe Islands	..
Fiji	26
Finland	2
France	4
French Polynesia	..
Gabon	44
Gambia, The	54
Georgia	10
Germany	4
Ghana	48
Greece	4
Greenland	..
Grenada	17
Guam	..
Guatemala	25
Guinea	101
Guinea-Bissau	81
Guyana	30
Haiti	65
Honduras	17
Hungary	4
Iceland	2
India	36
Indonesia	25
Iran, Islamic Rep.	14
Iraq	27
Ireland	3
Isle of Man	..
Israel	4
Italy	3
Jamaica	14
Japan	3
Jordan	16
Kazakhstan	10
Kenya	45
Kiribati	53
Korea, Dem. People’s Rep.	18
Korea, Rep.	3
Kosovo	..
Kuwait	8
Kyrgyz Republic	19
Lao PDR	47
Latvia	4
Lebanon	7
Lesotho	87
Liberia	86
Libya	12
Liechtenstein	..
Lithuania	4
Luxembourg	3
Madagascar	52
Malawi	44
Malaysia	8
Maldives	8
Mali	97
Malta	7
Marshall Islands	33
Mauritania	75
Mauritius	15
Mexico	15
Micronesia, Fed. Sts.	31
Moldova	15
Monaco	3
Mongolia	17
Montenegro	3
Morocco	22
Mozambique	77
Myanmar	46
Namibia	43
Nepal	32
Netherlands	4
New Caledonia	..
New Zealand	5
Nicaragua	17
Niger	83
Nigeria	120
North Macedonia	8
Northern Mariana Islands	..
Norway	3
Oman	11
Pakistan	69
Palau	18
Panama	15
Papua New Guinea	46
Paraguay	20
Peru	14
Philippines	28
Poland	5
Portugal	4
Puerto Rico	..
Qatar	7
Romania	8
Russian Federation	6
Rwanda	36
Samoa	16
San Marino	2
Sao Tome and Principe	31
Saudi Arabia	7
Senegal	47
Serbia	6
Seychelles	15
Sierra Leone	114
Singapore	3
Sint Maarten (Dutch part)	..
Slovak Republic	6
Slovenia	2
Solomon Islands	20
Somalia	120
South Africa	35
South Sudan	96
Spain	3
Sri Lanka	7
St. Kitts and Nevis	16
St. Lucia	22
St. Martin (French part)	..
St. Vincent and the Grenadines	15
Sudan	60
Suriname	19
Sweden	3
Switzerland	4
Syrian Arab Republic	22
Tajikistan	35
Tanzania	52
Thailand	9
Timor-Leste	46
Togo	69
Tonga	17
Trinidad and Tobago	18
Tunisia	17
Turkey	11
Turkmenistan	42
Turks and Caicos Islands	..
Tuvalu	25
Uganda	48
Ukraine	9
United Arab Emirates	8
United Kingdom	4
United States	7
Uruguay	8
Uzbekistan	18
Vanuatu	27
Venezuela, RB	24
Vietnam	20
Virgin Islands (U.S.)	..
West Bank and Gaza	20
Yemen, Rep.	59
Zambia	63
Zimbabwe	56
World	39
East Asia & Pacific	15
Europe & Central Asia	8
Latin America & Caribbean	17
Middle East & North Africa	22
North America	6
South Asia	42
Sub-Saharan Africa	78
Low income	70
Lower middle income	51
Upper middle income	14
High income	5
