Country	Income (2010)	Income (2019)
Afghanistan	28	307
Albania	-120	-156
Algeria	-387	-2592
American Samoa	..	..
Andorra	..	..
Angola	-8087	-7516
Antigua and Barbuda	-31	-96
Argentina	-14548	-17328
Armenia	458	228
Aruba	-140	-210
Australia	-49293	-39158
Austria	3330	-241
Azerbaijan	-3467	-2061
Bahamas, The	-235	-682
Bahrain	-2373	-2076
Bangladesh	-1454	-2544
Barbados	-136	..
Belarus	-1115	-1910
Belgium	7065	634
Belize	-158	-181
Benin	-54	-55
Bermuda	1419	1672
Bhutan	-72	-221
Bolivia	-889	-795
Bosnia and Herzegovina	280	-32
Botswana	-639	-1287
Brazil	-70245	-56059
Brunei Darussalam	-100	362
Bulgaria	-1337	-1882
Burkina Faso	-6	-481
Burundi	-11	6
Cabo Verde	-79	-42
Cambodia	-399	-1590
Cameroon	-239	-741
Canada	-23449	-3475
Cayman Islands	..	-2058
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	-15477	-12241
China	-25899	-33037
Hong Kong SAR, China	4840	18908
Macao SAR, China	-3043	-4787
Colombia	-11228	-10309
Comoros	-1	7
Congo, Dem. Rep.	-1178	-1687
Congo, Rep.	-926	..
Costa Rica	-1186	-3591
Cote d'Ivoire	-915	-1629
Croatia	-2038	-923
Cuba	..	..
Curacao	-18	35
Cyprus	-383	-1308
Czech Republic	-12971	-14097
Denmark	5246	9264
Djibouti	17	-29
Dominica	-9	1
Dominican Republic	-1927	-4274
Ecuador	-1037	-3106
Egypt, Arab Rep.	-5912	-11593
El Salvador	-538	-1306
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	-1048	-647
Eswatini	-226	-451
Ethiopia	-63	-334
Faroe Islands	83	..
Fiji	-99	-452
Finland	2423	-607
France	71312	61524
French Polynesia	557	..
Gabon	-1737	..
Gambia, The	-8	-19
Georgia	-218	-704
Germany	68902	103238
Ghana	-582	-3922
Greece	-7625	-1572
Greenland	..	..
Grenada	-40	-111
Guam	..	..
Guatemala	-1034	-1275
Guinea	-77	-182
Guinea-Bissau	-2	-51
Guyana	13	-99
Haiti	22	53
Honduras	-850	-1901
Hungary	-5971	-5813
Iceland	-2141	447
India	-15602	-29386
