Country	Revenue % (2010)	Revenue % (2018)
Afghanistan	89	79
Albania	9	7
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	50	39
Antigua and Barbuda	..	..
Argentina	11	9
Armenia	15	8
Aruba	..	..
Australia	12	11
Austria	10	9
Azerbaijan	68	60
Bahamas, The	15	10
Bahrain	..	..
Bangladesh	23	15
Barbados	7	8
Belarus	9	26
Belgium	4	5
Belize	15	13
Benin	..	..
Bermuda	..	..
Bhutan	64	48
Bolivia	28	..
Bosnia and Herzegovina	10	9
Botswana	36	27
Brazil	19	19
Brunei Darussalam	..	..
Bulgaria	..	..
Burkina Faso	36	21
Burundi	..	..
Cabo Verde	32	20
Cambodia	39	23
Cameroon	29	19
Canada	8	8
Cayman Islands	..	..
Central African Republic	43	49
Chad	..	..
Channel Islands	..	..
Chile	13	10
China	9	16
Hong Kong SAR, China	..	..
Macao SAR, China	6	9
Colombia	33	29
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	88	67
Costa Rica	8	15
Cote d'Ivoire	16	8
Croatia	..	..
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	11	8
Denmark	..	..
Djibouti	..	..
Dominica	..	..
Dominican Republic	12	13
Ecuador	..	..
Egypt, Arab Rep.	44	43
El Salvador	17	19
Equatorial Guinea	72	69
Eritrea	..	..
Estonia	13	10
Eswatini	..	..
Ethiopia	48	26
Faroe Islands	..	..
Fiji	10	10
Finland	14	12
France	..	..
French Polynesia	..	..
Gabon	52	37
Gambia, The	26	..
Georgia	15	8
Germany	5	5
Ghana	30	20
Greece	..	..
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	4	3
Guinea	..	..
Guinea-Bissau	..	43
Guyana	..	..
Haiti	..	..
Honduras	21	13
Hungary	13	13
Iceland	35	34
India	21	13
Indonesia	27	22
Iran, Islamic Rep.	52	..
Iraq	..	92
Ireland	..	..
Isle of Man	..	..
Israel	16	13
Italy	5	6
Jamaica	..	..
Japan	12	10
Jordan	36	44
Kazakhstan	28	26
Kenya	..	21
Kiribati	72	78
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	17	19
Kosovo	..	..
Kuwait	98	96
Kyrgyz Republic	..	21
Lao PDR	..	..
Latvia	24	18
Lebanon	15	21
Lesotho	46	33
Liberia	22	..
Libya	..	..
Liechtenstein	..	..
Lithuania	17	10
Luxembourg	..	..
Madagascar	26	22
Malawi	37	13
Malaysia	31	25
Maldives	52	..
Mali	27	16
Malta	..	..
Marshall Islands	72	72
Mauritania	..	..
Mauritius	14	13
Mexico	33	19
Micronesia, Fed. Sts.	87	51
Moldova	17	5
Monaco	..	..
Mongolia	23	25
Montenegro	..	..
Morocco	15	16
Mozambique	36	12
Myanmar	77	60
Namibia	8	14
Nepal	26	14
Netherlands	10	5
New Caledonia	..	..
New Zealand	16	12
Nicaragua	16	11
Niger	..	..
Nigeria	..	..
North Macedonia	12	8
Northern Mariana Islands	..	..
Norway	23	28
Oman	..	..
Pakistan	..	..
Palau	64	52
Panama	..	..
Papua New Guinea	..	26
Paraguay	23	17
Peru	15	13
Philippines	9	9
Poland	..	..
Portugal	12	11
Puerto Rico	..	..
Qatar	..	..
Romania	..	13
Russian Federation	31	43
Rwanda	..	35
Samoa	29	28
San Marino	27	24
Sao Tome and Principe	..	..
Saudi Arabia	93	71
Senegal	..	28
Serbia	8	..
Seychelles	17	12
Sierra Leone	..	..
Singapore	24	28
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	23	30
Somalia	..	35
South Africa	9	11
South Sudan	..	..
Spain	14	14
Sri Lanka	12	10
St. Kitts and Nevis	39	41
St. Lucia	13	12
St. Martin (French part)	..	..
St. Vincent and the Grenadines	15	11
Sudan	52	18
Suriname	..	..
Sweden	..	..
Switzerland	8	8
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	37	22
Thailand	15	18
Timor-Leste	64	68
Togo	31	29
Tonga	48	50
Trinidad and Tobago	14	27
Tunisia	10	..
Turkey	11	18
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	10
Ukraine	20	18
United Arab Emirates	86	92
United Kingdom	5	6
United States	9	6
Uruguay	7	9
Uzbekistan	27	13
Vanuatu	37	54
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	42	23
Yemen, Rep.	..	..
Zambia	23	19
Zimbabwe	10	8
World	16	16
East Asia & Pacific	17	22
Europe & Central Asia	12	10
Latin America & Caribbean	15	13
Middle East & North Africa	37	41
North America	8	7
South Asia	23	14
Sub-Saharan Africa	33	21
Low income	..	..
Lower middle income	23	19
Upper middle income	15	18
High income	13	10
