Country	Departures (2012)	Departures (2018)
Afghanistan		
Albania	3.959	5.415
Algeria	1.911	5.610
American Samoa		
Andorra		
Angola		
Antigua and Barbuda		
Argentina	7.266	11.130
Armenia	965	1.623
Aruba		
Australia	8.212	11.403
Austria	10.960	11.883
Azerbaijan	2.829	3.919
Bahamas, The		
Bahrain		2.868
Bangladesh	2.273	
Barbados		
Belarus	493	836
Belgium	9.576	13.098
Belize		
Benin		
Bermuda		
Bhutan		
Bolivia	788	1.060
Bosnia and Herzegovina		
Botswana		
Brazil	8.497	10.628
Brunei Darussalam		
Bulgaria	3.758	6.699
Burkina Faso		
Burundi		
Cabo Verde		
Cambodia	792	1.995
Cameroon		
Canada	32.276	26.033
Cayman Islands		
Central African Republic		
Chad	79	
Channel Islands		
Chile	2.837	3.825
China	83.182	149.720
Hong Kong SAR, China	85.276	92.214
Macao SAR, China	1.291	1.579
Colombia	3.169	4.368
Comoros		
Congo, Dem. Rep.		
Congo, Rep.	161	
Costa Rica	773	1.079
Cote d'Ivoire		
Croatia	2.680	2.058
Cuba	213	
Curacao		
Cyprus	1.194	1.446
Czech Republic	5.419	7.390
Denmark	7.843	7.475
Djibouti		
Dominica		
Dominican Republic	418	514
Ecuador	1.022	1.402
Egypt, Arab Rep.	5.678	
El Salvador	1.163	1.260
Equatorial Guinea		
Eritrea		
Estonia	1.147	2.069
Ethiopia		
Faroe Islands		
Fiji	132	174
Finland	9.055	9.450
France	25.317	26.914
French Polynesia	83	47
Gabon		
Gambia, The		
Georgia	2.734	3.698
Germany	82.729	108.542
Ghana		
Greece	4.681	7.961
Greenland		
Grenada		
Guam		
Guatemala	580	1.227
Guinea		
Guinea-Bissau		
Guyana		
Haiti		
Honduras	464	
Hungary	4.881	8.649
Iceland	358	668
India	14.920	26.296
Indonesia	7.454	9.468
Iran, Islamic Rep.		7.243
Iraq		
Ireland	6.600	8.643
Isle of Man		
Israel	4.349	8.473
Italy	27.376	33.347
Jamaica		
Japan	18.491	18.954
Jordan	1.567	1.501
Kazakhstan	8.875	
Kenya		
Kiribati		
Korea, Dem. Peopleâ€™s Rep.		
Korea, Rep.	13.737	28.696
Kosovo		
Kuwait		
Kyrgyz Republic	3.621	6.839
Lao PDR	2.052	3.207
Latvia	1.398	1.368
Lebanon		
Lesotho		
Liberia		
Libya		
Liechtenstein		
Lithuania	1.708	2.244
Luxembourg	1.580	1.989
North Macedonia		
Madagascar		
Malawi		
Malaysia		
Maldives		
Mali		
Malta	331	667
Marshall Islands		
Mauritania		
Mauritius	237	296
Mexico	15.581	19.748
Micronesia, Fed. Sts.		
Moldova	147	264
Monaco		
Mongolia		
Montenegro		
Morocco	2.323	1.923
Mozambique		
Myanmar		
Namibia		
Nepal	862	
Netherlands	18.628	22.115
New Caledonia	121	139
New Zealand	2.172	3.038
Nicaragua	979	974
Niger		
Nigeria		
Northern Mariana Islands		
Norway	9.250	8.110
Oman	2.888	3.350
Pakistan		
Palau		
Panama	447	681
Papua New Guinea		
Paraguay	400	1.266
Peru	2.296	3.078
Philippines		
Poland	9.300	12.800
Portugal	1.361	2.486
Puerto Rico	876	
Qatar		
Romania	11.149	21.039
Russian Federation	47.813	41.964
Rwanda		
Samoa	56	64
San Marino		
Sao Tome and Principe		
Saudi Arabia	18.671	21.866
Senegal		
Serbia		
Seychelles	45	72
Sierra Leone	104	112
Singapore	8.048	9.889
Sint Maarten (Dutch part)		
Slovak Republic	2.689	
Slovenia	2.474	3.188
Solomon Islands		
Somalia		
South Africa		
South Sudan		
Spain	12.422	19.116
Sri Lanka	1.269	1.476
St. Kitts and Nevis		
St. Lucia		
St. Martin (French part)		
St. Vincent and the Grenadines		
Sudan		
Suriname		
Eswatini	1.403	1.717
Sweden	15.548	
Switzerland	12.098	15.285
Syrian Arab Republic		
Tajikistan	15	31
Tanzania		
Thailand	5.721	9.966
Timor-Leste		
Togo		
Tonga		
Trinidad and Tobago		
Tunisia	2.897	2.515
Turkey	5.803	8.383
Turkmenistan		
Turks and Caicos Islands		
Tuvalu		
Uganda	469	
Ukraine	21.433	27.811
United Arab Emirates		18.904
United Kingdom	54.604	70.386
United States	60.697	92.564
Uruguay	1.816	1.947
Uzbekistan		
Vanuatu	23	29
Venezuela, RB	1.734	
Vietnam		
Virgin Islands (U.S.)		
West Bank and Gaza		
Yemen, Rep.		
Zambia		
Zimbabwe	720	2.987
World	1.179.078	1.563.556
East Asia & Pacific	285.484	415.030
Europe & Central Asia	492.713	618.356
Latin America & Caribbean	53.212	70.174
Middle East & North Africa		
North America	92.991	118.619
South Asia	22.014	35.959
Sub-Saharan Africa		
Low income		
Lower middle income	97.448	150.489
Upper middle income	237.478	338.851
High income	641.184	814.281
