Country	Institution
Afghanistan	3.1
Albania	-0.2
Algeria	0,00
American Samoa	..
Andorra	..
Angola	-1.1
Antigua and Barbuda	..
Argentina	557.4
Armenia	1.7
Aruba	..
Australia	..
Austria	..
Azerbaijan	-87.9
Bahamas, The	..
Bahrain	..
Bangladesh	66.1
Barbados	..
Belarus	-221.6
Belgium	..
Belize	6
Benin	-73.1
Bermuda	..
Bhutan	0.8
Bolivia	135.5
Bosnia and Herzegovina	28.9
Botswana	-11.1
Brazil	258.4
Brunei Darussalam	..
Bulgaria	-49.9
Burkina Faso	49.2
Burundi	4.2
Cabo Verde	-4.1
Cambodia	7,00
Cameroon	123.1
Canada	..
Cayman Islands	..
Central African Republic	-1.4
Chad	-14.3
Channel Islands	..
Chile	..
China	-158.1
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	369.2
Comoros	-0.1
Congo, Dem. Rep.	-32,00
Congo, Rep.	-63.7
Costa Rica	1057.3
Cote d'Ivoire	95.2
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	32.5
Dominica	-5.9
Dominican Republic	46.6
Ecuador	319.8
Egypt, Arab Rep.	-821.9
El Salvador	-99.8
Equatorial Guinea	..
Eritrea	-1.8
Estonia	..
Ethiopia	58.8
Faroe Islands	..
Fiji	0
Finland	..
France	..
French Polynesia	..
Gabon	-12.3
Gambia, The	21.9
Georgia	122.8
Germany	..
Ghana	-12.9
Greece	..
Greenland	..
Grenada	-6.5
Guam	..
Guatemala	-31.1
Guinea	-0.7
Guinea-Bissau	22.8
Guyana	-1.8
Haiti	-2.1
Honduras	29.4
Hungary	..
Iceland	..
India	373.3
Indonesia	43.8
Iran, Islamic Rep.	0,00
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	-38.9
Japan	..
Jordan	-111.5
Kazakhstan	-8.9
Kenya	626.7
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	3.8
Kuwait	..
Kyrgyz Republic	25.8
Lao PDR	-8.3
Latvia	..
Lebanon	-17.1
Lesotho	-4.7
Liberia	-0.9
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	-28.5
Madagascar	25.9
Malawi	16.9
Malaysia	..
Maldives	77,00
Mali	209.7
Malta	..
Marshall Islands	..
Mauritania	-36.9
Mauritius	-9.9
Mexico	0
Micronesia, Fed. Sts.	..
Moldova	57.6
Monaco	..
Mongolia	14.1
Montenegro	-3.4
Morocco	-126.1
Mozambique	40,00
Myanmar	-0.1
Namibia	..
Nepal	-0.8
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	297.4
Niger	21.4
Nigeria	26.9
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	317.3
Palau	..
Panama	..
Papua New Guinea	1.7
Paraguay	81.3
Peru	-406.5
Philippines	-6.2
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	-358.4
Russian Federation	-6.2
Rwanda	8.7
Samoa	-0.3
San Marino	..
Sao Tome and Principe	-2
Saudi Arabia	..
Senegal	1
Serbia	118,00
Seychelles	..
Sierra Leone	2.7
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	0.2
Somalia	0,00
South Africa	0,00
South Sudan	..
Spain	..
Sri Lanka	-6.6
St. Kitts and Nevis	..
St. Lucia	-9.9
St. Martin (French part)	..
St. Vincent and the Grenadines	-0.2
Sudan	5.8
Suriname	..
Eswatini	-3.2
Sweden	..
Switzerland	..
Syrian Arab Republic	1.3
Tajikistan	3.5
Tanzania	-19.6
Thailand	0,00
Timor-Leste	0
Togo	71.2
Tonga	-0.2
Trinidad and Tobago	..
Tunisia	-73.5
Turkey	547.6
Turkmenistan	0,00
Turks and Caicos Islands	..
Tuvalu	..
Uganda	-48,00
Ukraine	-860.4
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	10.5
Vanuatu	0,00
Venezuela, RB	383.5
Vietnam	-3.2
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	19.4
Zambia	25.9
Zimbabwe	-40.8
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	830.3
Sub-Saharan Africa	..
Low income	386.1
Lower middle income	148.2
Upper middle income	2386.2
High income	..
