Country	average annual (1990-2000)	average annual (2000-2019)
Afghanistan	..	..
Albania	..	..
Algeria	19.3	3.8
American Samoa	..	0.2
Andorra	..	..
Angola	..	6.6
Antigua and Barbuda	..	..
Argentina	2.8	0.7
Armenia	5.5	2.6
Aruba	..	..
Australia	3.4	2.5
Austria	1.9	0.8
Azerbaijan	2	..
Bahamas, The	3.6	1.7
Bahrain	..	2.3
Bangladesh	2.5	5.5
Barbados	..	..
Belarus	-0.5	3.8
Belgium	1.9	1.4
Belize	9.2	1.7
Benin	4.1	3.5
Bermuda	..	..
Bhutan	..	9.9
Bolivia	3.6	4.8
Bosnia and Herzegovina	..	1.3
Botswana	5.1	4
Brazil	3.8	0.8
Brunei Darussalam	3	3
Bulgaria	-3.8	2.8
Burkina Faso	5.7	4.2
Burundi	..	2.6
Cabo Verde	..	3
Cambodia	6	5.6
Cameroon	4.4	4.7
Canada	2.8	2.4
Cayman Islands	..	..
Central African Republic	..	-3.7
Chad	..	2
Channel Islands	..	..
Chile	7.6	3.6
China	8.5	9.4
Hong Kong SAR, China	3.8	4.1
Macao SAR, China	3.6	4.1
Colombia	2.4	3.5
Comoros	1.6	2.8
Congo, Dem. Rep.	-1	6
Congo, Rep.	5.3	-4.8
Costa Rica	4.2	3.9
Cote d'Ivoire	..	8.4
Croatia	2.5	0.7
Cuba	-1	4.2
Curacao	..	..
Cyprus	7	0.9
Czech Republic	2.5	2.3
Denmark	2.2	1.5
Djibouti	..	..
Dominica	..	..
Dominican Republic	4.9	4.7
Ecuador	2.3	1.8
Egypt, Arab Rep.	3.9	4.1
El Salvador	3.5	2.2
Equatorial Guinea	..	5.4
Eritrea	-4.9	..
Estonia	6.3	3.9
Eswatini	7.4	1.3
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	2	1.1
France	1.8	1
French Polynesia	..	..
Gabon	-0.3	3.8
Gambia, The	..	3.9
Georgia	..	3.4
Germany	1.6	1.4
Ghana	..	6.2
Greece	2.6	-1.4
Greenland	..	0.3
Grenada	..	..
Guam	..	1.3
Guatemala	4.2	4
Guinea	..	4.1
Guinea-Bissau	..	5.3
Guyana	..	-2.1
Haiti	..	-0.2
Honduras	..	3.9
Hungary	0.8	2.8
Iceland	3.4	4.2
India	5	7
Indonesia	5.9	5.2
Iran, Islamic Rep.	2.6	0.2
Iraq	..	..
Ireland	5.5	2.3
Isle of Man	..	..
Israel	6.8	4.1
Italy	1.6	0.1
Jamaica	..	0.1
Japan	1.5	0.5
Jordan	4.6	2.4
Kazakhstan	-7.9	4.7
Kenya	3.6	5.9
Kiribati	..	4.4
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	5.8	2.3
Kosovo	..	5.5
Kuwait	..	4.2
Kyrgyz Republic	-7.3	4.1
Lao PDR	..	6.3
Latvia	3.3	3
Lebanon	8.1	1.7
Lesotho	14.4	-0.2
Liberia	..	2.4
Libya	..	..
Liechtenstein	..	..
Lithuania	5.5	3.8
Luxembourg	3.5	2.7
Madagascar	2.4	2.5
Malawi	..	6.9
Malaysia	5.3	6.9
Maldives	..	..
Mali	2.6	5.2
Malta	..	3.1
Marshall Islands	..	2.3
Mauritania	3.2	3.6
Mauritius	5.1	2.9
Mexico	3.3	2.6
Micronesia, Fed. Sts.	..	..
Moldova	6.7	3.5
Monaco	..	..
Mongolia	..	8.2
Montenegro	..	2.5
Morocco	3.5	3.4
Mozambique	4.1	5.1
Myanmar	..	..
Namibia	3.9	6
Nepal	..	3.7
Netherlands	3.3	0.9
New Caledonia	..	..
New Zealand	3.3	3.8
Nicaragua	4.9	3
Niger	2	5.8
Nigeria	1.3	2.3
North Macedonia	2.8	2.4
Northern Mariana Islands	..	3.4
Norway	3.5	2.3
Oman	..	5.1
Pakistan	4.9	5.2
Palau	..	3.5
Panama	4	5.6
Papua New Guinea	..	..
Paraguay	2.1	4.1
Peru	3.6	4.5
Philippines	3.9	6.2
Poland	5.8	2.9
Portugal	2.9	0.8
Puerto Rico	4.8	-0.7
Qatar	..	7.9
Romania	1.8	5.3
Russian Federation	..	1
Rwanda	2.6	5.1
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	4.5
Senegal	2.6	4.3
Serbia	0.4	0.5
Seychelles	..	..
Sierra Leone	-2.4	6.4
Singapore	6.3	3.7
Sint Maarten (Dutch part)	..	..
Slovak Republic	3.9	2.1
Slovenia	3.9	1.1
Solomon Islands	..	..
Somalia	..	..
South Africa	2.9	1.9
South Sudan	..	-3.8
Spain	2.2	0.8
Sri Lanka	5.3	5.4
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	3.7	0.9
Suriname	..	..
Sweden	1.5	2.3
Switzerland	1.2	1.6
Syrian Arab Republic	..	..
Tajikistan	0.7	..
Tanzania	5.1	3.6
Thailand	3.9	2.9
Timor-Leste	..	3.3
Togo	5	3.7
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	4.2	..
Turkey	3.8	4.6
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	6.6	4.4
Ukraine	-6.9	0.8
United Arab Emirates	..	1.2
United Kingdom	3.4	2.3
United States	3.8	2.5
Uruguay	4.9	2.7
Uzbekistan	..	9.2
Vanuatu	..	..
Venezuela, RB	0.6	..
Vietnam	5.4	6.8
Virgin Islands (U.S.)	..	-0.8
West Bank and Gaza	5.5	3.3
Yemen, Rep.	..	..
Zambia	..	..
Zimbabwe	..	3
World	3	2.8
East Asia & Pacific	3.1	4.3
Europe & Central Asia	2.1	1.6
Latin America & Caribbean	3.4	1.9
Middle East & North Africa	..	3.1
North America	3.7	2.5
South Asia	4.8	6.7
Sub-Saharan Africa	2.8	3.3
Low income	..	..
Lower middle income	3.9	5.5
Upper middle income	3.5	4.7
High income	2.8	1.9
