Country	%
Afghanistan	42.3
Albania	98.4
Algeria	100
American Samoa	..
Andorra	100
Angola	25
Antigua and Barbuda	..
Argentina	..
Armenia	99.3
Aruba	..
Australia	100
Austria	100
Azerbaijan	..
Bahamas, The	..
Bahrain	..
Bangladesh	20.2
Barbados	..
Belarus	..
Belgium	100
Belize	96
Benin	85.6
Bermuda	..
Bhutan	..
Bolivia	92
Bosnia and Herzegovina	..
Botswana	88
Brazil	96
Brunei Darussalam	..
Bulgaria	..
Burkina Faso	..
Burundi	83.5
Cabo Verde	..
Cambodia	73.3
Cameroon	66
Canada	100
Cayman Islands	..
Central African Republic	..
Chad	12
Channel Islands	..
Chile	..
China	..
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	96.8
Comoros	..
Congo, Dem. Rep.	24.6
Congo, Rep.	96
Costa Rica	100
Cote d'Ivoire	72
Croatia	100
Cuba	100
Curacao	..
Cyprus	100
Czech Republic	100
Denmark	100
Djibouti	..
Dominica	..
Dominican Republic	88
Ecuador	82
Egypt, Arab Rep.	99.4
El Salvador	99
Equatorial Guinea	..
Eritrea	..
Estonia	100
Eswatini	54
Ethiopia	2.7
Faroe Islands	..
Fiji	..
Finland	100
France	100
French Polynesia	..
Gabon	..
Gambia, The	72
Georgia	100
Germany	100
Ghana	70.5
Greece	100
Greenland	..
Grenada	..
Guam	..
Guatemala	96
Guinea	62
Guinea-Bissau	24
Guyana	89
Haiti	84.8
Honduras	..
Hungary	100
Iceland	100
India	79.7
Indonesia	72
Iran, Islamic Rep.	..
Iraq	99
Ireland	100
Isle of Man	..
Israel	100
Italy	100
Jamaica	98
Japan	100
Jordan	98
Kazakhstan	100
Kenya	66.9
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	..
Kuwait	..
Kyrgyz Republic	98
Lao PDR	73
Latvia	100
Lebanon	..
Lesotho	43.3
Liberia	24.6
Libya	..
Liechtenstein	100
Lithuania	100
Luxembourg	100
Madagascar	83
Malawi	67.2
Malaysia	..
Maldives	98.8
Mali	86.7
Malta	100
Marshall Islands	84
Mauritania	66
Mauritius	..
Mexico	95
Micronesia, Fed. Sts.	..
Moldova	..
Monaco	100
Mongolia	99
Montenegro	99
Morocco	96
Mozambique	55
Myanmar	81.3
Namibia	78
Nepal	56.2
Netherlands	100
New Caledonia	..
New Zealand	100
Nicaragua	..
Niger	..
Nigeria	47
North Macedonia	..
Northern Mariana Islands	..
Norway	100
Oman	100
Pakistan	42.2
Palau	..
Panama	96
Papua New Guinea	13.4
Paraguay	69
Peru	98
Philippines	91.8
Poland	100
Portugal	100
Puerto Rico	..
Qatar	100
Romania	..
Russian Federation	100
Rwanda	56
Samoa	59
San Marino	100
Sao Tome and Principe	95
Saudi Arabia	..
Senegal	77.4
Serbia	99
Seychelles	..
Sierra Leone	81
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	100
Slovenia	100
Solomon Islands	88
Somalia	..
South Africa	89
South Sudan	..
Spain	100
Sri Lanka	..
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	67
Suriname	..
Sweden	100
Switzerland	100
Syrian Arab Republic	..
Tajikistan	95.8
Tanzania	26.4
Thailand	100
Timor-Leste	60.4
Togo	78
Tonga	..
Trinidad and Tobago	..
Tunisia	..
Turkey	99
Turkmenistan	100
Turks and Caicos Islands	..
Tuvalu	..
Uganda	32.2
Ukraine	..
United Arab Emirates	..
United Kingdom	100
United States	100
Uruguay	100
Uzbekistan	..
Vanuatu	43
Venezuela, RB	81
Vietnam	96
Virgin Islands (U.S.)	..
West Bank and Gaza	96
Yemen, Rep.	30.7
Zambia	14
Zimbabwe	38
World	70
East Asia & Pacific	..
Europe & Central Asia	99.7
Latin America & Caribbean	93.6
Middle East & North Africa	..
North America	100
South Asia	66.6
Sub-Saharan Africa	46
Low income	40.3
Lower middle income	66.7
Upper middle income	..
High income	100
