Country	assessment (2004)	assessment (2019)
Afghanistan	20	40
Albania	100	90
Algeria	60	30
American Samoa	..	..
Andorra	..	..
Angola	30	40
Antigua and Barbuda	40	60
Argentina	80	80
Armenia	80	90
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	80	80
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	80	80
Barbados	..	..
Belarus	80	80
Belgium	..	..
Belize	60	60
Benin	50	80
Bermuda	..	..
Bhutan	60	60
Bolivia	60	60
Bosnia and Herzegovina	60	50
Botswana	80	60
Brazil	80	80
Brunei Darussalam	..	..
Bulgaria	80	80
Burkina Faso	80	40
Burundi	20	60
Cambodia	60	70
Cameroon	30	40
Canada	..	..
Cabo Verde	90	60
Cayman Islands	..	..
Central African Republic	50	10
Chad	50	60
Channel Islands	..	..
Chile	100	80
China	70	60
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	80	70
Comoros	70	50
Congo, Dem. Rep.	10	20
Congo, Rep.	30	50
Costa Rica	70	90
Cote d'Ivoire	80	60
Croatia	100	80
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	..	..
Denmark	..	..
Djibouti	40	40
Dominica	60	40
Dominican Republic	60	50
Ecuador	80	40
Egypt, Arab Rep.	100	90
El Salvador	60	80
Equatorial Guinea	20	40
Eritrea	20	0
Estonia	..	50
Ethiopia	80	70
Faroe Islands	..	..
Fiji	40	80
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	50	40
Gambia, The	80	70
Georgia	80	80
Germany	..	..
Ghana	40	80
Greece	..	..
Greenland	..	..
Grenada	60	60
Guam	..	..
Guatemala	100	60
Guinea	70	60
Guinea-Bissau	30	70
Guyana	30	50
Haiti	30	50
Honduras	80	40
Hungary	80	50
Iceland	..	..
India	80	60
Indonesia	80	80
Iran, Islamic Rep.	50	80
Iraq	40	20
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	..	..
Jamaica	80	60
Japan	..	..
Jordan	70	70
Kazakhstan	80	70
Kenya	50	50
Kiribati	20	20
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	..	..
Kosovo	..	50
Kuwait	..	..
Kyrgyz Republic	100	100
Lao PDR	70	60
Latvia	..	60
Lebanon	20	40
Lesotho	70	80
Liberia	0	40
Libya	0	0
Liechtenstein	..	..
Lithuania	..	40
Luxembourg	..	..
North Macedonia	80	80
Madagascar	60	50
Malawi	60	80
Malaysia	60	60
Maldives	70	60
Mali	60	80
Malta	..	..
Marshall Islands	30	20
Mauritania	60	40
Mauritius	60	80
Mexico	50	80
Micronesia, Fed. Sts.	20	50
Moldova	70	80
Monaco	..	..
Mongolia	60	100
Montenegro	70	90
Morocco	80	60
Mozambique	80	70
Myanmar	50	70
Namibia	50	50
Nepal	80	80
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	80	30
Niger	60	70
Nigeria	40	60
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	80	70
Palau	40	60
Panama	80	80
Papua New Guinea	20	40
Paraguay	40	60
Peru	80	60
Philippines	80	100
Poland	80	80
Portugal	..	..
Puerto Rico	..	..
Qatar	..	..
Romania	100	80
Russian Federation	100	80
Rwanda	60	50
Samoa	50	50
San Marino	..	..
Sao Tome and Principe	60	60
Saudi Arabia	..	..
Senegal	80	70
Serbia	70	90
Seychelles	70	60
Sierra Leone	20	50
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	90	50
Slovenia	..	..
Solomon Islands	20	40
Somalia	20	20
South Africa	80	60
South Sudan	..	40
Spain	..	..
Sri Lanka	100	80
St. Kitts and Nevis	60	40
St. Lucia	60	70
St. Martin (French part)	..	..
St. Vincent and the Grenadines	60	60
Sudan	20	70
Suriname	50	90
Eswatini	80	70
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	40	10
Tajikistan	100	70
Tanzania	70	70
Thailand	80	70
Timor-Leste	50	60
Togo	40	80
Tonga	60	50
Trinidad and Tobago	40	40
Tunisia	70	60
Turkey	80	70
Turkmenistan	70	20
Turks and Caicos Islands	..	..
Tuvalu	..	40
Uganda	60	70
Ukraine	80	40
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	100	80
Uzbekistan	60	40
Vanuatu	20	50
Venezuela, RB	80	60
Vietnam	80	90
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	70
Yemen, Rep.	50	0
Zambia	60	40
Zimbabwe	50	60
East Asia & Pacific (excluding high income)	64.5	71.7
Europe & Central Asia (excluding high income)	80.6	70.5
Latin America & Caribbean (excluding high income)	70	61.8
Middle East & North Africa (excluding high income)	52.7	44.2
South Asia	73.3	68.3
Sub-Saharan Africa (excluding high income)	51.5	56.4
IDA total	53.7	56
IBRD only	72.1	66.5
Low income	..	
Lower middle income	248937	
Upper middle income	763815	
High income	1025704	
