Country	Expenditures $ (2012)	Expenditures $ (2018)	Expenditures % (2012)	Expenditures % (2018)
Afghanistan	110	226	1.1	2.8
Albania	1374	1750	23.5	25.5
Algeria	598	..	1	..
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	288	762	0.6	2.9
Antigua and Barbuda	49	113	7.1	10.1
Argentina	8466	13092	10.2	15.1
Armenia	874	1458	17	21.9
Aruba	294,00	358,00	10.2	16,00
Australia	35.226,00	42.351,00	10.6	13.7
Austria	9.987,00	14.256,00	4.8	6,00
Azerbaijan	2617	2453	15	13.9
Bahamas, The	384,00	536,00	7.8	10.4
Bahrain	975,00	4.023,00	3.8	14.8
Bangladesh	889,00	1.208,00	2.4	1.8
Barbados	84,00	..	3.8	..
Belarus	948	1159	1.9	2.8
Belgium	22.357,00	20.830,00	5.4	4.6
Belize	39	50	3.8	4.4
Benin	96	..	3.7	..
Bermuda	327,00	340,00	18.2	16,00
Bhutan	69	79	5.7	6.3
Bolivia	502,00	1.081,00	5.1	8.7
Bosnia and Herzegovina	196	366	2	3.2
Botswana	332	269	3.4	3.7
Brazil	26008	22229	8.6	8.6
Brunei Darussalam	591,00	585,00	8.7	10.3
Bulgaria	1.096,00	2.247,00	3.2	5.4
Burkina Faso	146	..	3.8	..
Burundi	25	23	2.7	2.5
Cabo Verde	135	97	11.3	7.3
Cambodia	406	1079	3.8	4.9
Cameroon	668	915	8.2	10.9
Canada	35.032,00	33.581,00	5.9	5.7
Cayman Islands	183,00	..	..	..
Central African Republic	69,00	..	..	..
Chad	..	..	..	..
Channel Islands	..	..	..	..
Chile	2.400,00	3.086,00	2.7	3.6
China	101977	277345	5.2	10.9
Hong Kong SAR, China	20.077,00	26.498,00	3.6	3.9
Macao SAR, China	1.155,00	1.411,00	8.1	7.7
Colombia	4363	5625	6.3	8.9
Comoros	36	45	11.3	12.8
Congo, Dem. Rep.	108	115	1	0.6
Congo, Rep.	308	..	4.4	..
Costa Rica	647	1162	3.9	5.9
Cote d'Ivoire	560	..	4.7	..
Croatia	962,00	1.737,00	4.1	5.5
Cuba	..	..	..	..
Curacao	357,00	535,00	11.4	18.9
Cyprus	1.318,00	1.551,00	9.2	8.6
Czech Republic	4.556,00	6.074,00	3.1	3.4
Denmark	9.600,00	10.485,00	6	5.9
Djibouti	30	22	4.1	0.5
Dominica	12	30	4.8	7
Dominican Republic	690,00	957,00	3.3	4.1
Ecuador	944	1043	3.4	4
Egypt, Arab Rep.	3.037,00	2.897,00	4.4	3.8
El Salvador	287	490	2.7	3.9
Equatorial Guinea	..	..	..	..
Eritrea	..	..	..	..
Estonia	796,00	1.651,00	4.1	7.6
Ethiopia	181	613	1.3	3.1
Faroe Islands	..	..	..	..
Fiji	110	160	4.3	5.2
Finland	5.843,00	7.268,00	5.6	6.7
France	50.068,00	57.925,00	6,00	6.2
French Polynesia	300,00	..	13.6	..
Gabon	441,00	..	7.3	..
Gambia, The	13	10	3.3	1.7
Georgia	471	960	5.2	8.9
Germany	96.196,00	104.204,00	6.8	6.4
Ghana	976	1329	4.4	5.7
Greece	3.005,00	3.910,00	4.3	4.6
Greenland	..	..	..	..
Grenada	11	41	2.8	6.4
Guam	..	..	..	..
Guatemala	920	1121	5.1	5.3
Guinea	41	416	1.3	9.9
Guinea-Bissau	25	75	9.6	16.3
Guyana	82	80	3.3	2.6
Haiti	473,00	599,00	11.3	10.6
Honduras	549	519	5.3	4.4
Hungary	2.457,00	3.280,00	2.4	2.6
Iceland	780,00	1.829,00	10.8	16
India	14107	25790	2.4	4
Indonesia	9055	11629	4.3	5.3
Iran, Islamic Rep.	8435	..	..	..
Iraq	2363	7855	3.7	13.8
Ireland	5.999,00	7.390,00	3.4	2.2
Isle of Man	..	..	..	..
Israel	5.008,00	9.765,00	5.4	9.1
Italy	26.239,00	37.644,00	4.6	6.2
Jamaica	418	503	5.4	6.3
Japan	40.967,00	28.096,00	4	3
Jordan	1257	1493	5.5	6.6
Kazakhstan	3609	2852	5.9	6.2
Kenya	174	..	1	..
Kiribati	8,00	..	4.6	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..	..
Korea, Rep.	22.934,00	34.769,00	3.5	5.4
Kosovo	..	..	..	..
Kuwait	10.073,00	14.318,00	22.2	21
Kyrgyz Republic	529	453	8.2	7.7
Lao PDR	614	949	16.2	13
Latvia	680,00	778,00	3.7	3.7
Lebanon	4511	6395	14.1	19.5
Lesotho	252	339	9.3	14
Liberia	2	8	0.1	0.6
Libya	2.654,00	..	8.1	..
Liechtenstein	..	..	..	..
Lithuania	925,00	1.195,00	2.8	2.8
Luxembourg	3.094,00	3.290,00	3.6	3
North Macedonia	153	282	2.3	3.1
Madagascar	235	309	5.9	6.4
Malawi	96	136	3.8	4.6
Malaysia	13165	13248	6.1	6
Maldives	207	433	9.6	10.6
Mali	164	..	4.1	..
Malta	339,00	518,00	2.3	2.9
Marshall Islands	26,00	31,00	13.7	18
Mauritania	101	38	2.4	1.2
Mauritius	394,00	723,00	5.2	9.6
Mexico	10735	14073	2.7	2.8
Micronesia, Fed. Sts.	30,00	..	11.4	..
Moldova	396	438	7	6.9
Monaco	..	..	..	..
Mongolia	558	822	6.3	9.7
Montenegro	67	73	2.5	2
Morocco	2095	3018	4.5	5.4
Mozambique	247	135	2	1.3
Myanmar	265	118	2.9	0.6
Namibia	53	69	0.8	1.1
Nepal	562,00	918,00	8.2	6.3
Netherlands	20.094,00	25.952,00	3.4	3.9
New Caledonia	336,00	..	7.5	..
New Zealand	3.715,00	4.603,00	7.4	8
Nicaragua	241,00	349,00	3.4	5.2
Niger	132	..	4.8	..
Nigeria	9240	13218	11.4	18.5
Northern Mariana Islands	..	..	..	..
Norway	18.131,00	18.592,00	12.9	13.2
Oman	1.644,00	3.210,00	4.8	9.1
Pakistan	1851	2899	3.8	4.2
Palau	19,00	..	10.5	..
Panama	591	1307	1.8	4.5
Papua New Guinea	203	..	2.4	..
Paraguay	363	549	3	4
Peru	1.900,00	3.417,00	4,00	6.6
Philippines	7140	12474	9	9.6
Poland	9.129,00	10.608,00	4.1	3.5
Portugal	4.482,00	6.524,00	5.4	6.3
Puerto Rico	1.162,00	893,00	..	..
Qatar	10.702,00	11.754,00	19.6	17.9
Romania	2.108,00	5.088,00	2.9	4.7
Russian Federation	48.096,00	38.791,00	10.8	11.3
Rwanda	133	377	5.6	12
Samoa	22	4	5.6	1
San Marino	..	..	..	..
Sao Tome and Principe	3	18	2.2	8.9
Saudi Arabia	17.986,00	17.932,00	8.4	8.6
Senegal	248	..	3.6	..
Serbia	1188	1837	5.4	6.2
Seychelles	58,00	102,00	4.1	5.5
Sierra Leone	32	61	1.3	3.8
Singapore	23.139,00	25.346,00	4.5	4.6
Sint Maarten (Dutch part)	120,00	105,00	11.6	8.5
Slovak Republic	2.309,00	2.823,00	2.8	2.8
Slovenia	1.508,00	1.755,00	4.6	4.2
Solomon Islands	68	53	10.7	7.1
Somalia	..	..	..	..
South Africa	7.145,00	6.348,00	5.8	5.8
South Sudan	..	513,00	..	14.4
Spain	15.395,00	26.670,00	4	5.8
Sri Lanka	1.219,00	2.487,00	5.6	9.3
St. Kitts and Nevis	15,00	59,00	4.3	9.9
St. Lucia	45	87	5.9	8.7
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	14	48	3.4	10.6
Sudan	699	13	6.8	0.2
Suriname	58,00	104,00	2.2	4.9
Eswatini	53	43	2.7	2.1
Sweden	13.954,00	18.056,00	6.3	7.4
Switzerland	17.980,00	20.722,00	4.7	5.4
Syrian Arab Republic	..	..	..	..
Tajikistan	37	24	0.7	0.8
Tanzania	1003	818	7.9	8.3
Thailand	8.095,00	14.675,00	3	5.2
Timor-Leste	92	131	5.5	12.4
Togo	46	..	2	..
Tonga	29	41	10	12.8
Trinidad and Tobago	223,00	149,00	1.9	1.6
Tunisia	673,00	954,00	2.6	3.9
