Country	Institution
Afghanistan	-7.8
Albania	-42
Algeria	0
American Samoa	..
Andorra	..
Angola	-1.1
Antigua and Barbuda	..
Argentina	0
Armenia	-35.4
Aruba	..
Australia	..
Austria	..
Azerbaijan	-48.7
Bahamas, The	..
Bahrain	..
Bangladesh	1218.5
Barbados	..
Belarus	0
Belgium	..
Belize	0
Benin	93.4
Bermuda	..
Bhutan	30.5
Bolivia	20.5
Bosnia and Herzegovina	-30.9
Botswana	-0.4
Brazil	0
Brunei Darussalam	..
Bulgaria	0
Burkina Faso	166.3
Burundi	-3.3
Cabo Verde	0.2
Cambodia	7
Cameroon	127
Canada	..
Cayman Islands	..
Central African Republic	37.1
Chad	-3.6
Channel Islands	..
Chile	..
China	-681.4
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	0
Comoros	-0.3
Congo, Dem. Rep.	180.2
Congo, Rep.	27.2
Costa Rica	0
Cote d'Ivoire	214.3
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	12.1
Dominica	2.1
Dominican Republic	-0.7
Ecuador	-0.8
Egypt, Arab Rep.	-117.8
El Salvador	-0.6
Equatorial Guinea	..
Eritrea	0
Estonia	..
Ethiopia	1493.9
Faroe Islands	..
Fiji	0
Finland	..
France	..
French Polynesia	..
Gabon	0
Gambia, The	13.3
Georgia	-70.1
Germany	..
Ghana	75.2
Greece	..
Greenland	..
Grenada	32.1
Guam	..
Guatemala	0
Guinea	98.1
Guinea-Bissau	46.1
Guyana	41.1
Haiti	0
Honduras	-28.5
Hungary	..
Iceland	..
India	-783.8
Indonesia	-172.8
Iran, Islamic Rep.	0
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	0
Japan	..
Jordan	12.9
Kazakhstan	0
Kenya	631.2
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	8.6
Kuwait	..
Kyrgyz Republic	7.8
Lao PDR	18.9
Latvia	..
Lebanon	0
Lesotho	24.6
Liberia	69.3
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	-16.1
Madagascar	92.8
Malawi	78.4
Malaysia	..
Maldives	-2.7
Mali	149.3
Malta	..
Marshall Islands	..
Mauritania	2
Mauritius	-0.6
Mexico	0
Micronesia, Fed. Sts.	..
Moldova	23.8
Monaco	..
Mongolia	4.7
Montenegro	-8.1
Morocco	-1
Mozambique	153.3
Myanmar	180.7
Namibia	..
Nepal	511.8
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	43.9
Niger	140.7
Nigeria	850.5
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	129.6
Palau	..
Panama	..
Papua New Guinea	187.2
Paraguay	-0.9
Peru	0
Philippines	-17.2
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	0
Russian Federation	0
Rwanda	241.2
Samoa	4
San Marino	..
Sao Tome and Principe	-0.3
Saudi Arabia	..
Senegal	122.6
Serbia	-67.7
Seychelles	..
Sierra Leone	15.7
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	1.4
Somalia	0
South Africa	0
South Sudan	..
Spain	..
Sri Lanka	17.6
St. Kitts and Nevis	..
St. Lucia	3.2
St. Martin (French part)	..
St. Vincent and the Grenadines	0.6
Sudan	20.4
Suriname	..
Eswatini	-0.1
Sweden	..
Switzerland	..
Syrian Arab Republic	0
Tajikistan	14.6
Tanzania	516.8
Thailand	0
Timor-Leste	2.9
Togo	17.3
Tonga	2.8
Trinidad and Tobago	..
Tunisia	-1.4
Turkey	-3
Turkmenistan	0
Turks and Caicos Islands	..
Tuvalu	..
Uganda	189.9
Ukraine	0
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	656.8
Vanuatu	26.8
Venezuela, RB	0
Vietnam	485.8
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	-70.9
Zambia	132.1
Zimbabwe	0
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	1113.7
Sub-Saharan Africa	..
Low income	4233.8
Lower middle income	4161.1
Upper middle income	-884.5
High income	..
