Country	Survey year	Poorest quintile	Richest quintile
Afghanistan	2015	16	37
Albania	2018	42	56
Algeria	2013	57	60
American Samoa	..	..	..
Andorra	..	..	..
Angola	2016	1	33
Antigua and Barbuda	..	..	..
Argentina	..	52	59
Armenia	2016	59	60
Aruba	..	..	..
Australia	..	..	..
Austria	..	..	..
Azerbaijan	..	..	..
Bahamas, The	..	..	..
Bahrain	..	..	..
Bangladesh	2014	63	63
Barbados	2012	53	66
Belarus	2012	55	68
Belgium	..	..	..
Belize	2016	38	54
Benin	2018	11	23
Bermuda	..	..	..
Bhutan	2010	69	62
Bolivia	2008	46	71
Bosnia and Herzegovina	..	42	46
Botswana	..	..	..
Brazil	..	..	..
Brunei Darussalam	..	..	..
Bulgaria	..	..	..
Burkina Faso	2018	7	37
Burundi	2017	26	36
Cabo Verde	..	..	..
Cambodia	2014	53	62
Cameroon	2014	12	46
Canada	..	..	..
Cayman Islands	..	..	..
Central African Republic	2010	9	30
Chad	2015	5	12
Channel Islands	..	..	..
Chile	..	..	..
China	..	..	..
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	2015	78	83
Comoros	2012	13	23
Congo, Dem. Rep.	2014	13	36
Congo, Rep.	2016	30	28
Costa Rica	2011	69	78
Cote d'Ivoire	2016	10	22
Croatia	..	..	..
Cuba	..	..	..
Curacao	..	..	..
Cyprus	..	..	..
Czech Republic	..	..	..
Denmark	..	..	..
Djibouti	..	..	..
Dominica	..	..	..
Dominican Republic	2014	66	72
Ecuador	..	..	..
Egypt, Arab Rep.	2014	56	61
El Salvador	2014	66	74
Equatorial Guinea	..	..	..
Eritrea	..	..	..
Estonia	..	..	..
Eswatini	2014	61	72
Ethiopia	2016	20	49
Faroe Islands	..	..	..
Fiji	..	..	..
Finland	..	..	..
France	..	..	..
French Polynesia	..	..	..
Gabon	2012	21	36
Gambia, The	2018	15	21
Georgia	..	..	..
Germany	..	..	..
Ghana	2016	22	28
Greece	..	..	..
Greenland	..	..	..
Grenada	..	..	..
Guam	..	..	..
Guatemala	2015	46	73
Guinea	2018	5	18
Guinea-Bissau	2014	9	30
Guyana	2014	31	35
Haiti	2017	30	33
Honduras	2012	67	76
Hungary	..	..	..
Iceland	..	..	..
India	2016	42	59
Indonesia	2017	61	62
Iran, Islamic Rep.	..	..	..
Iraq	2018	48	59
Ireland	..	..	..
Isle of Man	..	..	..
Israel	..	..	..
Italy	..	..	..
Jamaica	2011	..	..
Japan	..	..	..
Jordan	2018	48	50
Kazakhstan	2015	55	56
Kenya	2015	32	64
Kiribati	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..
Korea, Rep.	..	..	..
Kosovo	2014	66	66
Kuwait	..	..	..
Kyrgyz Republic	2018	36	47
Lao PDR	2017	43	55
Latvia	..	..	..
Lebanon	..	..	..
Lesotho	2018	66	65
Liberia	2016	14	23
Libya	..	..	..
Liechtenstein	..	..	..
Lithuania	..	..	..
Luxembourg	..	..	..
Madagascar	2016	20	57
Malawi	2017	54	62
Malaysia	..	..	..
Maldives	2017	18	20
Mali	2018	12	24
Malta	..	..	..
Marshall Islands	..	..	..
Mauritania	2015	8	28
Mauritius	..	..	..
Mexico	2015	60	75
Micronesia, Fed. Sts.	..	..	..
Moldova	2012	56	61
Monaco	..	..	..
Mongolia	2018	57	46
Montenegro	2013	9	32
Morocco	..	..	..
Mozambique	2018	19	45
Myanmar	2016	47	59
Namibia	2013	44	63
Nepal	2016	49	60
Netherlands	..	..	..
New Caledonia	..	..	..
New Zealand	..	..	..
Nicaragua	..	..	..
Niger	2012	10	26
Nigeria	2018	4	33
North Macedonia	2011	96	100
Northern Mariana Islands	..	..	..
Norway	..	..	..
Oman	..	..	..
Pakistan	2018	20	45
Palau	..	..	..
Panama	..	..	..
Papua New Guinea	2018	23	46
Paraguay	2016	71	65
Peru	2012	73	75
Philippines	2017	55	48
Poland	..	..	..
Portugal	..	..	..
Puerto Rico	..	..	..
Qatar	..	..	..
Romania	..	..	..
Russian Federation	..	..	..
Rwanda	2017	48	57
Samoa	..	..	..
San Marino	..	..	..
Sao Tome and Principe	2014	37	40
Saudi Arabia	..	..	..
Senegal	2017	17	39
Serbia	2014	57	56
Seychelles	..	..	..
Sierra Leone	2017	15	30
Singapore	..	..	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	..	..	..
Slovenia	..	..	..
Solomon Islands	..	..	..
Somalia	..	..	..
South Africa	2016	54	56
South Sudan	2010	4	7
Spain	..	..	..
Sri Lanka	..	..	..
St. Kitts and Nevis	..	..	..
St. Lucia	..	..	..
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	..	..	..
Sudan	2014	4	26
Suriname	2018	30	45
Sweden	..	..	..
Switzerland	..	..	..
Syrian Arab Republic	..	..	..
Tajikistan	2017	26	33
Tanzania	2017	23	49
Thailand	2016	82	74
Timor-Leste	2016	24	30
Togo	2017	17	25
Tonga	..	..	..
Trinidad and Tobago	..	..	..
Tunisia	2018	49	52
Turkey	2013	64	77
Turkmenistan	2016	45	52
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	2016	25	49
Ukraine	2012	..	..
United Arab Emirates	..	..	..
United Kingdom	..	..	..
United States	..	..	..
Uruguay	..	..	..
Uzbekistan	..	..	..
Vanuatu	..	..	..
Venezuela, RB	..	..	..
Vietnam	2014	73	78
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	2014	49	66
Yemen, Rep.	2013	15	50
Zambia	2014	39	62
Zimbabwe	2015	63	73
