Country	Factor (2018)	Factor (2019)
Afghanistan	16.9	17
Albania	41.3	40.6
Algeria	40.8	39.9
American Samoa	..	..
Andorra	..	..
Angola	117.2	156.6
Antigua and Barbuda	2.1	2.1
Argentina	14.1	21
Armenia	156.6	156.2
Aruba	1.4	1.4
Australia	1.5	1.4
Austria	0.8	0.8
Azerbaijan	0.6	0.5
Bahamas, The	0.9	0.9
Bahrain	0.2	0.2
Bangladesh	30.7	31.5
Barbados	2.2	2.2
Belarus	0.7	0.7
Belgium	0.8	0.8
Belize	1.3	1.3
Benin	213	208.7
Bermuda	1.4	1.4
Bhutan	19.1	19.1
Bolivia	2.8	2.7
Bosnia and Herzegovina	0.7	0.7
Botswana	4.7	4.6
Brazil	2.2	2.3
Brunei Darussalam	0.7	0.7
Bulgaria	0.7	0.7
Burkina Faso	208.8	199.1
Burundi	621.6	615.9
Cabo Verde	48.1	47.5
Cambodia	1438.8	1459.9
Cameroon	231.1	230.7
Canada	1.2	1.2
Cayman Islands	1	1
Central African Republic	276.8	278.6
Chad	250	252.7
Channel Islands	..	..
Chile	412.4	416.2
China	4.2	4.2
Hong Kong SAR, China	6.1	6.1
Macao SAR, China	5.2	5.3
Colombia	1.9	1349
Comoros	187.9	190.8
Congo, Dem. Rep.	813.2	785.7
Congo, Rep.	353.4	343.1
Costa Rica	351.6	351.7
Cote d'Ivoire	248.5	245.5
Croatia	3.3	3.3
Cuba	..	..
Curacao	1.4	1.4
Cyprus	0.6	0.6
Czech Republic	12.4	12.4
Denmark	6.8	6.7
Djibouti	104.6	105.4
Dominica	1.8	1.8
Dominican Republic	22	22.1
Ecuador	0.5	0.5
Egypt, Arab Rep.	3.9	4.3
El Salvador	0.5	0.5
Equatorial Guinea	270.4	246.5
Eritrea	5.5	5.5
Estonia	0.5	0.5
Ethiopia	9.4	10.4
Faroe Islands	..	..
Fiji	0.9	0.9
Finland	0.9	0.8
France	0.8	0.7
French Polynesia	..	..
Gabon	292.8	290.1
Gambia, The	15.7	16.4
Georgia	0.8	0.9
Germany	0.7	0.7
Ghana	1.9	2
Greece	0.6	0.6
Greenland	..	..
Grenada	1.6	1.6
Guam	..	..
Guatemala	3.9	4
Guinea	1.8	3659.8
Guinea-Bissau	216.7	197.2
Guyana	108.5	112.8
Haiti	31.4	35.3
Honduras	10.3	10.6
Hungary	138.2	140.9
Iceland	136.9	136.7
India	21.1	21.2
Indonesia	4762.6	4756.1
Iran, Islamic Rep.	13061.3	13061.3
Iraq	632	621.1
Ireland	0.8	0.8
Isle of Man	..	..
Israel	3.7	3.7
Italy	0.7	0.7
Jamaica	69.2	73.2
Japan	104.6	101.5
Jordan	0.3	0.3
Kazakhstan	129.4	135.7
Kenya	40.2	41.1
Kiribati	1	1
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	870.8	860.2
Kosovo	0.3	0.3
Kuwait	0.2	0.2
Kyrgyz Republic	17.1	16.7
Lao PDR	1.1	2795.7
Latvia	0.5	0.5
Lebanon	757	765.6
Lesotho	5.7	5.8
Liberia	0.4	0.4
Libya	0.7	0.7
Liechtenstein	..	..
Lithuania	0.5	0.5
Luxembourg	0.8	0.8
North Macedonia	19.1	18.8
Madagascar	1065.1	1102.1
Malawi	261.6	278.2
Malaysia	1.6	1.6
Maldives	8.4	8.4
Mali	213.9	215.3
Malta	0.6	0.6
Marshall Islands	1	1
Mauritania	11.1	11.4
Mauritius	16.7	16.6
Mexico	9.1	9.3
Micronesia, Fed. Sts.	1	1
Moldova	5.6	5.8
Monaco	..	..
Mongolia	838.2	892.4
Montenegro	0.4	0.3
Morocco	4	3.9
Mozambique	22.8	23.1
Myanmar	380.7	402.8
Namibia	7.2	7.1
Nepal	32.6	34
Netherlands	0.8	0.8
New Caledonia	..	..
New Zealand	1.4	1.5
Nicaragua	10.9	11.3
Niger	259.1	255.9
Nigeria	124.9	135.5
Northern Mariana Islands	..	..
Norway	9.8	9.9
Oman	0.2	0.2
Pakistan	33.6	35.9
Palau	0.9	0.9
Panama	0.5	0.5
Papua New Guinea	2.1	2.1
Paraguay	2530.1	2558
Peru	1.7	1.7
Philippines	19.6	19.5
Poland	1.8	1.7
Portugal	0.6	0.6
Puerto Rico	0.9	0.9
Qatar	2.6	2.4
Romania	1.7	1.7
Russian Federation	24.8	25.7
Rwanda	315.3	311
Samoa	1.7	1.7
San Marino	0.7	0.7
Sao Tome and Principe	10.3	10.6
Saudi Arabia	1.8	1.8
Senegal	239.9	239.8
Serbia	41.3	41
Seychelles	8	8.1
Sierra Leone	1.7	1.9
Singapore	0.9	0.9
Sint Maarten (Dutch part)	1.4	1.4
Slovak Republic	0.5	0.5
Slovenia	0.6	0.6
Solomon Islands	7	7.1
Somalia	8229.5	8229.5
South Africa	6.5	6.7
South Sudan	..	..
Spain	0.6	0.6
Sri Lanka	50.3	50.6
St. Kitts and Nevis	2	2
St. Lucia	2	1.9
