Country	Imports (2010)	Imports (2019)
Afghanistan	36	38
Albania	49	45
Algeria	31	29
American Samoa	93	99
Andorra	..	..
Angola	43	26
Antigua and Barbuda	59	..
Argentina	16	15
Armenia	45	53
Aruba	78	72
Australia	21	22
Austria	48	52
Azerbaijan	21	37
Bahamas, The	44	41
Bahrain	51	72
Bangladesh	22	21
Barbados	49	42
Belarus	65	67
Belgium	74	82
Belize	59	58
Benin	28	34
Bermuda	30	..
Bhutan	72	56
Bolivia	34	31
Bosnia and Herzegovina	51	56
Botswana	51	41
Brazil	12	15
Brunei Darussalam	28	51
Bulgaria	53	60
Burkina Faso	29	32
Burundi	30	33
Cabo Verde	62	65
Cambodia	60	62
Cameroon	27	24
Canada	31	33
Cayman Islands	..	..
Central African Republic	23	47
Chad	44	38
Channel Islands	..	..
Chile	31	29
China	24	17
Hong Kong SAR, China	199	176
Macao SAR, China	33	33
Colombia	18	22
Comoros	30	30
Congo, Dem. Rep.	50	35
Congo, Rep.	55	35
Costa Rica	35	32
Cote d'Ivoire	43	22
Croatia	38	52
Cuba	18	13
Curacao	88	..
Cyprus	59	72
Czech Republic	63	69
Denmark	44	49
Djibouti	..	144
Dominica	56	88
Dominican Republic	33	29
Ecuador	32	23
Egypt, Arab Rep.	27	29
El Salvador	47	48
Equatorial Guinea	59	52
Eritrea	31	..
Estonia	68	69
Eswatini	60	44
Ethiopia	32	21
Faroe Islands	47	..
Fiji	..	..
Finland	37	39
France	28	33
French Polynesia	..	..
Gabon	31	22
Gambia, The	26	44
Georgia	50	63
Germany	37	41
Ghana	46	35
Greece	31	37
Greenland	76	45
Grenada	49	55
Guam	56	54
Guatemala	36	28
Guinea	43	66
Guinea-Bissau	35	34
Guyana	62	46
Haiti	65	57
Honduras	64	56
Hungary	76	80
Iceland	42	41
India	27	21
Indonesia	22	19
Iran, Islamic Rep.	19	24
Iraq	34	39
Ireland	86	112
Isle of Man	..	..
Israel	33	29
Italy	27	29
Jamaica	50	51
Japan	14	18
Jordan	68	50
Kazakhstan	30	28
Kenya	34	21
Kiribati	79	89
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	44	37
Kosovo	55	56
Kuwait	30	44
Kyrgyz Republic	82	66
Lao PDR	49	..
Latvia	55	60
Lebanon	60	42
Lesotho	106	91
Liberia	93	99
Libya	42	53
Liechtenstein	..	..
Lithuania	66	72
Luxembourg	142	173
Madagascar	36	33
Malawi	35	36
Malaysia	71	58
Maldives	65	69
Mali	35	34
Malta	154	120
Marshall Islands	110	85
Mauritania	48	52
Mauritius	62	54
Mexico	31	39
Micronesia, Fed. Sts.	82	65
Moldova	60	55
Monaco	..	..
Mongolia	57	64
Montenegro	63	65
Morocco	43	48
Mozambique	42	74
Myanmar	15	30
Namibia	61	48
Nepal	36	46
Netherlands	62	72
New Caledonia	..	..
New Zealand	28	28
Nicaragua	60	50
Niger	36	28
Nigeria	18	18
North Macedonia	58	76
Northern Mariana Islands	51	55
Norway	28	35
Oman	42	43
Pakistan	19	20
Palau	77	76
Panama	78	47
Papua New Guinea	..	..
Paraguay	38	34
Peru	24	23
Philippines	33	40
Poland	42	50
Portugal	38	44
Puerto Rico	41	46
Qatar	24	36
Romania	39	44
Russian Federation	21	21
Rwanda	28	35
Samoa	52	53
San Marino	..	100
Sao Tome and Principe	..	..
Saudi Arabia	33	26
Senegal	32	38
Serbia	44	61
Seychelles	108	86
Sierra Leone	34	39
Singapore	172	146
Sint Maarten (Dutch part)	104	101
Slovak Republic	78	92
Slovenia	63	75
Solomon Islands	81	..
Somalia	..	..
South Africa	27	29
South Sudan	30	..
Spain	27	32
Sri Lanka	27	29
St. Kitts and Nevis	48	59
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	57	..
Sudan	16	14
Suriname	38	..
Sweden	40	43
Switzerland	53	53
Syrian Arab Republic	..	..
Tajikistan	59	41
Tanzania	28	17
Thailand	61	51
Timor-Leste	126	60
Togo	53	42
Tonga	60	76
Trinidad and Tobago	..	..
Tunisia	55	61
Turkey	25	30
Turkmenistan	51	12
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	25	27
Ukraine	51	49
United Arab Emirates	62	68
United Kingdom	30	33
United States	16	15
Uruguay	25	19
Uzbekistan	20	42
Vanuatu	53	..
Venezuela, RB	18	..
Vietnam	80	104
Virgin Islands (U.S.)	285	79
West Bank and Gaza	59	60
Yemen, Rep.	..	..
Zambia	31	35
Zimbabwe	53	31
World	28	29
East Asia & Pacific	30	28
Europe & Central Asia	36	40
Latin America & Caribbean	21	23
Middle East & North Africa	35	39
North America	17	17
South Asia	26	22
Sub-Saharan Africa	30	30
Low income	33	30
Lower middle income	31	31
Upper middle income	25	23
High income	29	31
