Country	Fixed telephone	Mobile cellular
Afghanistan	0.3	59.1
Albania	2020.6	94.2
Algeria	2020.9	111.7
American Samoa	..	..
Andorra	51.1	107.3
Angola	0.6	43.1
Antigua and Barbuda	25.2	192.8
Argentina	22	132.1
Armenia	2020.2	121.3
Aruba	..	..
Australia	32.5	113.6
Austria	42.4	123.5
Azerbaijan	2020.9	103.9
Bahamas, The	29.4	99
Bahrain	17.5	133.3
Bangladesh	0.9	100.2
Barbados	44.7	114.9
Belarus	47.5	122.9
Belgium	35.8	99.7
Belize	5.4	85.5
Benin	0.4	82.4
Bermuda	34.7	103.1
Bhutan	2.9	93.3
Bolivia	6.3	100.8
Bosnia and Herzegovina	2020.8	104.1
Botswana	2020.3	150
Brazil	18.3	98.8
British Virgin Islands	20.9	134.1
Brunei Darussalam	19.3	131.9
Bulgaria	2020.9	118.9
Burkina Faso	0.4	97.9
Burundi	0.2	56.5
Cabo Verde	11.5	112.2
Cambodia	0.5	119.5
Cameroon	3.6	73.2
Canada	37.3	89.6
Cayman Islands	54.9	152.5
Central African Republic	0	27.4
Chad	0.1	45.1
Channel Islands	..	..
Chile	16	134.4
China	13.5	115.5
Colombia	14	129.9
Comoros	1.2	59.9
Congo, Dem. Rep.	0	43.4
Congo, Rep.	0.3	95.3
Costa Rica	2020.5	169.9
Cote d'Ivoire	1.2	134.9
Croatia	32.6	105.6
Cuba	2020.7	47.4
Curacao	36.1	114.5
Cyprus	36.1	138.9
Czech Republic	2020.2	119.1
Denmark	2020.7	125.1
Djibouti	3.8	41.2
Dominica	3.7	105.8
Dominican Republic	12	84.1
Ecuador	2020.8	92.3
Egypt, Arab Rep.	8	95.3
El Salvador	14.4	146.9
Equatorial Guinea	0.8	45.2
Eritrea	1.9	20.4
Estonia	2020.1	145.4
Eswatini	3.6	93.5
Ethiopia	1.1	37.2
Faroe Islands	35.4	117.1
Fiji	8.7	117.8
Finland	5.8	129.5
France	59.4	108.4
French Polynesia	32.5	109
Gabon	1	138.3
Gambia, The	1.9	139.5
Georgia	15.1	136.4
Germany	51.1	129.3
Ghana	0.9	137.5
Gibraltar	52.4	121.7
Greece	48.3	115.7
Greenland	14.2	110.6
Grenada	29.3	102.1
Guam	..	..
Guatemala	14.1	118.7
Guinea	0	96.8
Guinea-Bissau	0	79
Guyana	17.5	83
Haiti	0.1	57.5
Honduras	5.5	79.2
Hong Kong SAR, China	56.9	270
Hungary	31.1	103.4
Iceland	40.6	126.1
India	1.6	86.9
Indonesia	3.1	119.3
Iran, Islamic Rep.	37.3	108.5
Iraq	7	95
Ireland	38	103.2
Isle of Man	..	..
Israel	38.2	127.7
Italy	33.6	137.5
Jamaica	2020.4	101
Japan	49.9	141.4
Jordan	2020.7	87.6
Kazakhstan	2020.3	142.3
Kenya	0.1	96.3
Kiribati	0	50.8
Korea, Dem. Peopleâ€™s Rep.	4.6	15
Korea, Rep.	50.6	129.7
Kosovo	..	..
Kuwait	12.5	171.6
Kyrgyz Republic	2020.3	138.6
Lao PDR	21	51.9
Latvia	2020.8	107.3
Lebanon	13	64.5
