Country	Male_2000	Male_2018	Female_2000	Female_2018
Afghanistan	90.6	77.1	98.3	90.1
Albania	59.7	53.8	65.5	53.7
Algeria	30.3	27.7	36.6	23.3
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	46.2	52.6	76.1	79.8
Antigua and Barbuda	..	..	..	..
Argentina	24.4	22.8	20.6	20
Armenia	42.6	39.4	54.2	38.3
Aruba	..	..	..	..
Australia	14.9	12.8	9.2	8.1
Austria	7.8	7.9	9.4	6.9
Azerbaijan	47.8	48.2	65.6	63.3
Bahamas, The	19.2	19.4	10	8.3
Bahrain	2	1.1	0.4	0.9
Bangladesh	62	50.6	81	67.6
Barbados	16.6	20.3	7.8	11.2
Belarus	4.9	4.4	2.1	2.2
Belgium	11.5	11.8	11.5	8.5
Belize	26.4	29.5	21.3	30
Benin	84.7	81.8	95.4	94.2
Bermuda	..	..	..	..
Bhutan	70.5	63.4	81.4	84.1
Bolivia	60.7	58.8	73.6	69.7
Bosnia and Herzegovina	25	15.7	28.9	17.6
Botswana	27.9	23.2	33.2	29.2
Brazil	33.9	31	31	23.7
Brunei Darussalam	4.5	5.8	4	6.5
Bulgaria	16.1	9.2	11.6	6.5
Burkina Faso	90.8	83.9	96.3	90.1
Burundi	92.3	92.1	96.9	96.8
Cabo Verde	39.4	27	50.8	46.2
Cambodia	80.7	43.2	91	58.4
Cameroon	67.8	65.1	90.5	83.5
Canada	11.9	11.9	9.1	9.4
Cayman Islands	..	..	..	..
Central African Republic	88.5	87.9	96	95.7
Chad	90.6	88.2	99.1	98.8
Channel Islands	11.9	11.7	9.3	8
Chile	29.9	22.7	23.1	23.1
China	55.2	42.8	67.5	49.2
Hong Kong SAR, China	7.3	7.4	3.4	4
Macao SAR, China	9.5	4.2	7.2	1.9
Colombia	47	47.8	46.7	46.4
Comoros	56.5	53.8	79.6	77.5
Congo, Dem. Rep.	81.1	69.8	95.3	90.2
Congo, Rep.	64.1	62.2	91.5	90.7
Costa Rica	24.9	21.1	20.5	20.9
Cote d'Ivoire	71.2	63.9	89.6	82.3
Croatia	18.7	8	18.9	6.6
Cuba	13.2	30.4	4.4	11.7
Curacao	..	..	..	..
Cyprus	20.2	12.7	14.9	9.3
Czech Republic	13.2	16.2	7.7	10.8
Denmark	5.5	6.1	4.3	3.6
Djibouti	42.3	39.1	57.9	54.1
Dominica	..	..	..	..
Dominican Republic	45.6	48	28	28.5
Ecuador	34.5	40.1	53	56.9
Egypt, Arab Rep.	19.5	17.8	38.4	34
El Salvador	31.7	27.9	45.6	43.1
Equatorial Guinea	73.9	71.3	90.7	87.5
Eritrea	82.6	81	93.6	92.9
Estonia	5.8	7.5	4.8	4.8
Eswatini	15.8	26.6	30.8	39.7
Ethiopia	87.7	83.6	91.9	89.3
Faroe Islands	..	..	..	..
Fiji	38.2	41.2	39.2	48.1
Finland	11.5	11.7	6.6	7.4
France	7.8	8.6	6.2	6.2
French Polynesia	17.6	14.2	13.6	10.6
Gabon	33.2	27.1	55.6	39.2
Gambia, The	67.5	64.2	85.2	83.2
Georgia	58.5	49	62.1	49.8
Germany	6.3	6.2	5.2	5
Ghana	69.7	60.8	85.5	78.5
Greece	33.3	27.4	35.2	23.7
Greenland	..	..	..	..
Grenada	..	..	..	..
Guam	10.9	10.6	7.2	7.1
Guatemala	41.9	32.7	55.7	47.6
Guinea	85	82.1	96.4	95.5
Guinea-Bissau	70.3	67.9	86.4	84.7
Guyana	28.6	23.9	36	28.8
Haiti	70.1	64.5	85.5	81.8
Honduras	35.9	34.5	50.5	53.1
Hungary	12.3	6.6	7.5	5.5
Iceland	13.8	10	7.6	6.1
India	81.4	74.1	90.5	76.3
Indonesia	61.4	42.6	70.6	57.2
Iran, Islamic Rep.	41.2	41.3	46.6	42.2
Iraq	28.5	21.1	35.8	8.7
Ireland	17.8	14.9	6.4	5.7
Isle of Man	..	..	..	..
Israel	8.7	8.9	5.2	7.6
Italy	22.4	19.4	18.2	13.4
Jamaica	41.3	39.9	33	30.6
Japan	11.5	8.7	17.1	8
Jordan	10.8	10.6	2	1.8
Kazakhstan	35.8	23.5	44.4	22.6
Kenya	47	43.5	73.4	59.9
Kiribati	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	82.9	82.5	94.3	93.8
Korea, Rep.	26.1	19.3	35.5	19.1
Kosovo	..	..	..	..
Kuwait	2.8	1.4	0.3	0
Kyrgyz Republic	52.1	37.7	50.7	27.8
Lao PDR	83.7	73.7	93.1	87.4
Latvia	10.4	7.4	11.1	7
Lebanon	37.8	30.9	15	14.1
Lesotho	16.1	14.1	21.7	19.5
Liberia	70.7	65.4	89.8	90.1
Libya	6.4	6.4	4.4	4.3
Liechtenstein	..	..	..	..
Lithuania	20.4	10.8	15.6	7.7
Luxembourg	6.5	5.7	6.4	5.6
Madagascar	80.9	81	86.6	89.6
Malawi	56.5	53.7	68.3	65.4
Malaysia	22.8	20.3	22.7	24.6
Maldives	22.8	15.6	52.7	34.2
Mali	77.1	75.9	91	88
Malta	10.2	12.7	4.1	5.9
Marshall Islands	..	..	..	..
Mauritania	50.8	46	72.6	68.2
Mauritius	20.6	18.2	12.5	13.1
Mexico	30.9	25.4	33.5	29.3
Micronesia, Fed. Sts.	..	..	..	..
Moldova	35	41	37.7	34.3
Monaco	..	..	..	..
Mongolia	58.1	51.7	55.1	45.5
Montenegro	15.8	16.8	10.5	9.3
Morocco	52.6	44	69.5	61
Mozambique	78.5	72.9	95.9	92.8
Myanmar	72.4	58.6	72	61.2
Namibia	20.3	24.3	41.6	38.2
Nepal	74.1	65.5	92.9	89.1
Netherlands	8.2	14.2	7.7	10.9
New Caledonia	13.6	13.1	9.6	10.2
New Zealand	16.5	13.6	10.1	10.5
Nicaragua	46	36	47.2	47.7
Niger	88.5	91	92.4	97.4
Nigeria	74.7	71.9	86.4	84.9
North Macedonia	20.7	21.1	22.5	16.8
Northern Mariana Islands	..	..	..	..
Norway	7.5	6.2	3.8	3.5
Oman	9.8	2.4	9.5	3.7
Pakistan	63.1	51.7	66.5	71.5
Palau	..	..	..	..
Panama	36.5	34.7	19.3	33.5
Papua New Guinea	73	69.4	89	87.2
Paraguay	52.1	35.4	53.5	41
Peru	48.4	44.9	64.6	57.8
Philippines	43.2	30.1	46.6	37.4
Poland	24.4	18.6	22.3	13.3
Portugal	18.9	14.2	21	9.3
