Country	Debt
Afghanistan	0
Albania	340
Algeria	0
American Samoa	..
Andorra	..
Angola	3500
Antigua and Barbuda	..
Argentina	26887
Armenia	0
Aruba	..
Australia	..
Austria	..
Azerbaijan	0
Bahamas, The	..
Bahrain	..
Bangladesh	0
Barbados	..
Belarus	-200
Belgium	..
Belize	0
Benin	0
Bermuda	..
Bhutan	0
Bolivia	0
Bosnia and Herzegovina	176
Botswana	0
Brazil	1287
Brunei Darussalam	..
Bulgaria	-650
Burkina Faso	0
Burundi	0
Cabo Verde	0
Cambodia	300
Cameroon	0
Canada	..
Cayman Islands	..
Central African Republic	0
Chad	0
Channel Islands	..
Chile	..
China	68614
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	-1934
Comoros	0
Congo, Dem. Rep.	0
Congo, Rep.	-27
Costa Rica	-500
Cote d'Ivoire	1928
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	0
Dominica	0
Dominican Republic	3108
Ecuador	2685
Egypt, Arab Rep.	5868
El Salvador	0
Equatorial Guinea	..
Eritrea	0
Estonia	..
Ethiopia	0
Faroe Islands	..
Fiji	0
Finland	..
France	..
French Polynesia	..
Gabon	-14
Gambia, The	0
Georgia	236
Germany	..
Ghana	1298
Greece	..
Greenland	..
Grenada	-9
Guam	..
Guatemala	0
Guinea	0
Guinea-Bissau	0
Guyana	0
Haiti	0
Honduras	0
Hungary	..
Iceland	..
India	-8417
Indonesia	16496
Iran, Islamic Rep.	0
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	-99
Japan	..
Jordan	686
Kazakhstan	2797
Kenya	2000
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	0
Kuwait	..
Kyrgyz Republic	0
Lao PDR	521
Latvia	..
Lebanon	3504
Lesotho	0
Liberia	0
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	482
Madagascar	0
Malawi	0
Malaysia	..
Maldives	100
Mali	0
Malta	..
Marshall Islands	..
Mauritania	0
Mauritius	0
Mexico	7974
Micronesia, Fed. Sts.	..
Moldova	0
Monaco	..
Mongolia	0
Montenegro	163
Morocco	0
Mozambique	0
Myanmar	0
Namibia	..
Nepal	0
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	0
Niger	0
Nigeria	3943
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	0
Palau	..
Panama	..
Papua New Guinea	500
Paraguay	530
Peru	-1077
Philippines	3344
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	4158
Russian Federation	-4659
Rwanda	0
Samoa	0
San Marino	..
Sao Tome and Principe	0
Saudi Arabia	..
Senegal	2181
Serbia	-1000
Seychelles	..
Sierra Leone	0
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	0
Somalia	0
South Africa	-2125
South Sudan	..
Spain	..
Sri Lanka	1150
St. Kitts and Nevis	..
St. Lucia	0
St. Martin (French part)	..
St. Vincent and the Grenadines	-1
Sudan	0
Suriname	..
Eswatini	0
Sweden	..
Switzerland	..
Syrian Arab Republic	0
Tajikistan	0
Tanzania	0
Thailand	9356
Timor-Leste	0
Togo	0
Tonga	0
Trinidad and Tobago	..
Tunisia	591
Turkey	1798
Turkmenistan	0
Turks and Caicos Islands	..
Tuvalu	..
Uganda	0
Ukraine	-275
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	0
Vanuatu	0
Venezuela, RB	-2478
Vietnam	-205
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	0
Zambia	0
Zimbabwe	0
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	-7167
Sub-Saharan Africa	..
Low income	0
Lower middle income	33546
Upper middle income	121284
High income	..
