Country	% Areas
Afghanistan	..
Albania	2.7
Algeria	0.1
American Samoa	8.7
Andorra	..
Angola	0
Antigua and Barbuda	0.2
Argentina	3.8
Armenia	..
Aruba	0
Australia	40.6
Austria	..
Azerbaijan	0.4
Bahamas, The	7.9
Bahrain	1.2
Bangladesh	5.4
Barbados	0
Belarus	..
Belgium	36.7
Belize	10.1
Benin	0
Bermuda	0
Bhutan	..
Bolivia	..
Bosnia and Herzegovina	0
Botswana	..
Brazil	26.6
Brunei Darussalam	0.2
Bulgaria	8.1
Burkina Faso	..
Burundi	..
Cabo Verde	0
Cambodia	0.2
Cameroon	3.4
Canada	0.9
Cayman Islands	0.1
Central African Republic	..
Chad	..
Channel Islands	..
Chile	28.8
China	5.4
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	17.1
Comoros	0
Congo, Dem. Rep.	0.2
Congo, Rep.	3.2
Costa Rica	0.8
Cote d'Ivoire	0.1
Croatia	8.5
Cuba	4.3
Curacao	0
Cyprus	0.1
Czech Republic	..
Denmark	17.8
Djibouti	0.2
Dominica	0.1
Dominican Republic	18
Ecuador	13.3
Egypt, Arab Rep.	5
El Salvador	0.7
Equatorial Guinea	0.2
Eritrea	0
Estonia	18.6
Eswatini	..
Ethiopia	..
Faroe Islands	0
Fiji	0.9
Finland	10.5
France	45
French Polynesia	0
Gabon	28.8
Gambia, The	0.1
Georgia	0.7
Germany	45.4
Ghana	0.1
Greece	4.5
Greenland	4.5
Grenada	0.1
Guam	0
Guatemala	0.9
Guinea	0.5
Guinea-Bissau	10
Guyana	0
Haiti	0
Honduras	4.2
Hungary	..
Iceland	0.4
India	0.2
Indonesia	3.1
Iran, Islamic Rep.	0.8
Iraq	0
Ireland	2.3
Isle of Man	0
Israel	0
Italy	8.8
Jamaica	0.8
Japan	8.2
Jordan	35.6
Kazakhstan	1
Kenya	0.8
Kiribati	11.8
Korea, Dem. Peopleâ€™s Rep.	0
Korea, Rep.	1.6
Kosovo	..
Kuwait	1.5
Kyrgyz Republic	..
Lao PDR	..
Latvia	16
Lebanon	0.2
Lesotho	..
Liberia	0.1
Libya	0.6
Liechtenstein	..
Lithuania	25.6
Luxembourg	..
North Macedonia	..
Madagascar	0.7
Malawi	..
Malaysia	1.5
Maldives	0.1
Mali	..
Malta	6.3
Marshall Islands	0.3
Mauritania	4.2
Mauritius	0
Mexico	21.8
Micronesia, Fed. Sts.	0
Moldova	..
Monaco	99.8
Mongolia	..
Montenegro	0
Morocco	0.3
Mozambique	2.2
Myanmar	2.3
Namibia	1.7
Nepal	..
Netherlands	26.7
New Caledonia	96.6
New Zealand	30.4
Nicaragua	3
Niger	..
Nigeria	0
Northern Mariana Islands	33.3
Norway	0.8
Oman	0.1
Pakistan	0.8
Palau	83
Panama	1.7
Papua New Guinea	0.2
Paraguay	..
Peru	0.5
Philippines	1.2
Poland	22.6
Portugal	16.6
Puerto Rico	1.7
Qatar	1.7
Romania	23.1
Russian Federation	3
Rwanda	..
Samoa	0.1
San Marino	..
Sao Tome and Principe	0
Saudi Arabia	2.5
Senegal	1.1
Serbia	..
Seychelles	0
Sierra Leone	0.5
Singapore	0
Sint Maarten (Dutch part)	8.7
Slovak Republic	..
Slovenia	100
Solomon Islands	0.1
Somalia	..
South Africa	12.1
South Sudan	..
Spain	8.4
Sri Lanka	0.1
St. Kitts and Nevis	0.2
St. Lucia	0.2
St. Martin (French part)	96.4
St. Vincent and the Grenadines	0.2
Sudan	16
Suriname	1.5
Sweden	15.2
Switzerland	..
Syrian Arab Republic	0.2
Tajikistan	..
Tanzania	3
Thailand	1.9
Timor-Leste	1.4
Togo	0.2
Tonga	1.5
Trinidad and Tobago	0
Tunisia	1
Turkey	0.1
Turkmenistan	3
Turks and Caicos Islands	0.1
Tuvalu	0
Uganda	..
Ukraine	3.4
United Arab Emirates	11.3
United Kingdom	28.9
United States	41.1
Uruguay	0.7
Uzbekistan	..
Vanuatu	0
Venezuela, RB	3.5
Vietnam	0.6
Virgin Islands (U.S.)	0.9
West Bank and Gaza	..
Yemen, Rep.	0.5
Zambia	..
Zimbabwe	..
World	11.4
East Asia & Pacific	16.9
Europe & Central Asia	5.5
Latin America & Caribbean	17.5
Middle East & North Africa	1.6
North America	20.8
South Asia	0.5
Sub-Saharan Africa	..
Low income	..
Lower middle income	1.3
Upper middle income	7.9
High income	23.2
