Country	Modeled estimates
Afghanistan	638
Albania	15
Algeria	112
American Samoa	..
Andorra	..
Angola	241
Antigua and Barbuda	42
Argentina	39
Armenia	26
Aruba	..
Australia	6
Austria	5
Azerbaijan	26
Bahamas, The	70
Bahrain	14
Bangladesh	173
Barbados	27
Belarus	2
Belgium	5
Belize	36
Benin	397
Bermuda	..
Bhutan	183
Bolivia	155
Bosnia and Herzegovina	10
Botswana	144
Brazil	60
Brunei Darussalam	31
Bulgaria	10
Burkina Faso	320
Burundi	548
Cabo Verde	58
Cambodia	160
Cameroon	529
Canada	10
Cayman Islands	..
Central African Republic	829
Chad	1,14
Channel Islands	..
Chile	13
China	29
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	83
Comoros	273
Congo, Dem. Rep.	473
Congo, Rep.	378
Costa Rica	27
Cote d'Ivoire	617
Croatia	8
Cuba	36
Curacao	..
Cyprus	6
Czech Republic	3
Denmark	4
Djibouti	248
Dominica	..
Dominican Republic	95
Ecuador	59
Egypt, Arab Rep.	37
El Salvador	46
Equatorial Guinea	301
Eritrea	480
Estonia	9
Eswatini	437
Ethiopia	401
Faroe Islands	..
Fiji	34
Finland	3
France	8
French Polynesia	..
Gabon	252
Gambia, The	597
Georgia	25
Germany	7
Ghana	308
Greece	3
Greenland	..
Grenada	25
Guam	..
Guatemala	95
Guinea	576
Guinea-Bissau	667
Guyana	169
Haiti	480
Honduras	65
Hungary	12
Iceland	4
India	145
Indonesia	177
Iran, Islamic Rep.	16
Iraq	79
Ireland	5
Isle of Man	..
Israel	3
Italy	2
Jamaica	80
Japan	5
Jordan	46
Kazakhstan	10
Kenya	342
Kiribati	92
Korea, Dem. People’s Rep.	89
Korea, Rep.	11
Kosovo	..
Kuwait	12
Kyrgyz Republic	60
Lao PDR	185
Latvia	19
Lebanon	29
Lesotho	544
Liberia	661
Libya	72
Liechtenstein	..
Lithuania	8
Luxembourg	5
Madagascar	335
Malawi	349
Malaysia	29
Maldives	53
Mali	562
Malta	6
Marshall Islands	..
Mauritania	766
Mauritius	61
Mexico	33
Micronesia, Fed. Sts.	88
Moldova	19
Monaco	..
Mongolia	45
Montenegro	6
Morocco	70
Mozambique	289
Myanmar	250
Namibia	195
Nepal	186
Netherlands	5
New Caledonia	..
New Zealand	9
Nicaragua	98
Niger	509
Nigeria	917
North Macedonia	7
Northern Mariana Islands	..
Norway	2
Oman	19
Pakistan	140
Palau	..
Panama	52
Papua New Guinea	145
Paraguay	129
Peru	88
Philippines	121
Poland	2
Portugal	8
Puerto Rico	21
Qatar	9
Romania	19
Russian Federation	17
Rwanda	248
Samoa	43
San Marino	..
Sao Tome and Principe	130
Saudi Arabia	17
Senegal	315
Serbia	12
Seychelles	53
Sierra Leone	1,12
Singapore	8
Sint Maarten (Dutch part)	..
Slovak Republic	5
Slovenia	7
Solomon Islands	104
Somalia	829
South Africa	119
South Sudan	1,15
Spain	4
Sri Lanka	36
St. Kitts and Nevis	..
St. Lucia	117
St. Martin (French part)	..
St. Vincent and the Grenadines	68
Sudan	295
Suriname	120
Sweden	4
Switzerland	5
Syrian Arab Republic	31
Tajikistan	17
Tanzania	524
Thailand	37
Timor-Leste	142
Togo	396
Tonga	52
Trinidad and Tobago	67
Tunisia	43
Turkey	17
Turkmenistan	7
Turks and Caicos Islands	..
Tuvalu	..
Uganda	375
Ukraine	19
United Arab Emirates	3
United Kingdom	7
United States	19
Uruguay	17
Uzbekistan	29
Vanuatu	72
Venezuela, RB	125
Vietnam	43
Virgin Islands (U.S.)	..
West Bank and Gaza	27
Yemen, Rep.	164
Zambia	213
Zimbabwe	458
World	211
East Asia & Pacific	69
Europe & Central Asia	13
Latin America & Caribbean	74
Middle East & North Africa	57
North America	18
South Asia	163
Sub-Saharan Africa	534
Low income	455
Lower middle income	265
Upper middle income	57
High income	11
