Country	exports (2010)	exports (2019)
Afghanistan	0.3	1.2
Albania	12.8	2
Algeria	0.3	0.2
American Samoa	..	..
Andorra	4.4	3.3
Angola	2	2.9
Antigua and Barbuda	1.8	0
Argentina	4.4	0.5
Armenia	52.5	40.1
Aruba	0.2	6.4
Australia	33.9	28.3
Austria	3.9	3
Azerbaijan	0.1	1
Bahamas, The	11	..
Bahrain	18.1	22.8
Bangladesh	0.5	..
Barbados	1.2	1.4
Belarus	0.7	1.1
Belgium	3.7	3.4
Belize	0	0.6
Benin	1	0.2
Bermuda	0	0
Bhutan	21.9	..
Bolivia	33.3	36.3
Bosnia and Herzegovina	12.2	5.8
Botswana	14.5	0.8
Brazil	17.4	13
Brunei Darussalam	0.1	0
Bulgaria	16.9	14.1
Burkina Faso	1.6	17
Burundi	5.2	12.8
Cabo Verde	0.9	0
Cambodia	0.1	0.3
Cameroon	3	4.5
Canada	8.3	7.2
Cayman Islands	..	..
Central African Republic	58.7	3.8
Chad	..	..
Channel Islands	..	..
Chile	64.6	52.6
China	1.4	1.2
Hong Kong SAR, China	9.5	1.1
Macao SAR, China	0	18.8
Colombia	1.6	1.2
Comoros	0.8	0.3
Congo, Dem. Rep.	..	..
Congo, Rep.	0	1.6
Costa Rica	1.1	1.4
Cote d'Ivoire	0.3	1.5
Croatia	4.5	3.9
Cuba	..	..
Curacao	..	..
Cyprus	13.7	4.6
Czech Republic	2.1	1.2
Denmark	1.6	1.5
Djibouti	0.3	..
Dominica	6.7	..
Dominican Republic	3.7	1.9
Ecuador	0.6	1.3
Egypt, Arab Rep.	6.3	3.6
El Salvador	1.8	1.1
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	3.1	1.9
Eswatini	0.4	0.2
Ethiopia	2	0.9
Faroe Islands	0.1	..
Fiji	1.7	1.5
Finland	5.2	5.9
France	2.5	2.1
French Polynesia	1	..
Gabon	3	..
Gambia, The	9.9	0.6
Georgia	20.8	32.8
Germany	3	2.5
Ghana	11.2	4.3
Greece	7.9	8.1
Greenland	0.8	0.1
Grenada	0.2	..
Guam	..	..
Guatemala	6.5	0.8
Guinea	59.2	..
Guinea-Bissau	..	..
Guyana	22.5	21.2
Haiti	..	..
Honduras	6.4	2.6
Hungary	1.6	1.3
Iceland	42	35.1
India	7	3.4
Indonesia	9.9	6.7
Iran, Islamic Rep.	3.1	3.2
Iraq	0	..
Ireland	0.8	0.5
Isle of Man	..	..
Israel	1.5	1.1
Italy	2.2	2.1
Jamaica	12	6.9
Japan	2.7	2.4
Jordan	8.5	7.7
Kazakhstan	11.4	13.2
Kenya	2	6
Kiribati	0	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2.1	2.2
Kosovo	..	..
Kuwait	0.2	0.2
Kyrgyz Republic	4.2	24.3
Lao PDR	54.9	27
Latvia	3.7	1.7
Lebanon	10.7	11.6
Lesotho	0.4	0.4
Liberia	..	..
Libya	0	..
Liechtenstein	..	..
Lithuania	1.4	1.9
Luxembourg	5.6	4.5
Madagascar	9.5	24.3
Malawi	11.1	0.2
Malaysia	2	4.3
Maldives	3.8	1.4
Mali	0.7	1
Malta	0.5	0.2
Marshall Islands	..	..
Mauritania	40.8	48.7
Mauritius	0.4	1
Mexico	3	1.8
Micronesia, Fed. Sts.	..	..
Moldova	4.1	1.4
Monaco	..	..
Mongolia	..	42.9
Montenegro	50	31.2
Morocco	11.7	5.2
Mozambique	54.4	31.8
Myanmar	0.7	5.5
Namibia	27.8	30.4
Nepal	4	1.7
Netherlands	2.4	2.5
New Caledonia	40.5	..
New Zealand	4.2	2.7
Nicaragua	2	1
Niger	59.6	..
Nigeria	1.1	0.3
North Macedonia	7.4	4.8
Northern Mariana Islands	..	..
Norway	6.4	5.9
Oman	2.7	5.4
Pakistan	1.6	2.7
Palau	2.7	2.1
Panama	11.5	..
Papua New Guinea	57	..
Paraguay	0.6	0.9
Peru	53.3	53.5
Philippines	3.9	5
Poland	4.7	3.2
Portugal	3.5	2.2
Puerto Rico	..	..
Qatar	0.3	0.1
Romania	4.2	2.2
Russian Federation	5.6	5.5
Rwanda	35.9	..
Samoa	0.3	1.3
San Marino	..	..
Sao Tome and Principe	0	1.7
Saudi Arabia	0.2	1.2
Senegal	3.9	7.9
Serbia	..	..
Seychelles	0.1	0.2
Sierra Leone	..	9.2
Singapore	1.2	0.7
Sint Maarten (Dutch part)	..	..
Slovak Republic	3.1	2
Slovenia	4.4	4
Solomon Islands	0.2	3.8
Somalia	..	..
South Africa	28.3	26.5
South Sudan	..	..
Spain	3.4	3.4
Sri Lanka	0.9	0.8
St. Kitts and Nevis	0.1	0
St. Lucia	2.2	2.9
St. Martin (French part)	..	..
St. Vincent and the Grenadines	1.9	0.4
Sudan	0.2	..
Suriname	0.3	1.5
Sweden	4.9	4.4
Switzerland	4.1	2.3
Syrian Arab Republic	2.7	..
Tajikistan	..	..
Tanzania	33.7	1.3
Thailand	1.3	1.6
Timor-Leste	..	0.3
Togo	13	11.8
Tonga	1.5	..
Trinidad and Tobago	0.3	..
Tunisia	1.6	1.8
Turkey	4.4	3.7
Turkmenistan	..	..
Turks and Caicos Islands	1	..
Tuvalu	..	..
