Country	Total
Afghanistan	62.7
Albania	..
Algeria	..
American Samoa	..
Andorra	..
Angola	55.5
Antigua and Barbuda	..
Argentina	16.7
Armenia	14.4
Aruba	..
Australia	..
Austria	..
Azerbaijan	..
Bahamas, The	..
Bahrain	..
Bangladesh	55.1
Barbados	..
Belarus	..
Belgium	..
Belize	10.8
Benin	61.5
Bermuda	..
Bhutan	..
Bolivia	43.5
Bosnia and Herzegovina	..
Botswana	..
Brazil	22.3
Brunei Darussalam	..
Bulgaria	..
Burkina Faso	65.8
Burundi	57.9
Cabo Verde	..
Cambodia	55.1
Cameroon	37.8
Canada	..
Cayman Islands	..
Central African Republic	93.3
Chad	88.2
Channel Islands	..
Chile	..
China	25.2
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	13.1
Comoros	69.6
Congo, Dem. Rep.	74.8
Congo, Rep.	46.9
Costa Rica	5.5
Cote d'Ivoire	56
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	65.6
Dominica	..
Dominican Republic	12.1
Ecuador	36
Egypt, Arab Rep.	10.6
El Salvador	..
Equatorial Guinea	66.2
Eritrea	..
Estonia	..
Eswatini	32.7
Ethiopia	73.9
Faroe Islands	..
Fiji	..
Finland	..
France	..
French Polynesia	..
Gabon	37
Gambia, The	34.8
Georgia	..
Germany	..
Ghana	37.9
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	34.5
Guinea	43.3
Guinea-Bissau	82.3
Guyana	33.1
Haiti	74.4
Honduras	27.5
Hungary	..
Iceland	..
India	24
Indonesia	21.8
Iran, Islamic Rep.	..
Iraq	47.2
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	..
Japan	..
Jordan	12.9
Kazakhstan	..
Kenya	56
Kiribati	..
Korea, Dem. People’s Rep.	..
Korea, Rep.	..
Kosovo	..
Kuwait	..
Kyrgyz Republic	..
Lao PDR	31.4
Latvia	..
Lebanon	..
Lesotho	50.8
Liberia	65.7
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
Madagascar	..
Malawi	77.2
Malaysia	66.7
Maldives	..
Mali	..
Malta	56.3
Marshall Islands	..
Mauritania	..
Mauritius	79.9
Mexico	..
Micronesia, Fed. Sts.	11.1
Moldova	..
Monaco	..
Mongolia	..
Montenegro	42.7
Morocco	..
Mozambique	13.1
Myanmar	80.3
Namibia	41
Nepal	33.2
Netherlands	54.3
New Caledonia	..
New Zealand	..
Nicaragua	..
Niger	..
Nigeria	70.1
North Macedonia	50.2
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	45.5
Palau	..
Panama	25.8
Papua New Guinea	..
Paraguay	..
Peru	34.2
Philippines	38.3
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	..
Russian Federation	..
Rwanda	53.2
Samoa	..
San Marino	..
Sao Tome and Principe	86.6
Saudi Arabia	..
Senegal	39.4
Serbia	..
Seychelles	..
Sierra Leone	75.6
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	..
Somalia	73.6
South Africa	23
South Sudan	95.6
Spain	..
Sri Lanka	..
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	91.6
Suriname	7.3
Sweden	..
Switzerland	..
Syrian Arab Republic	19.3
Tajikistan	..
Tanzania	50.7
Thailand	25
Timor-Leste	..
Togo	51.2
Tonga	..
Trinidad and Tobago	..
Tunisia	8
Turkey	11.9
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	53.6
Ukraine	..
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	..
Vanuatu	..
Venezuela, RB	..
Vietnam	27.2
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	60.8
Zambia	54
Zimbabwe	25.1
World	29.8
East Asia & Pacific	25.8
Europe & Central Asia	..
Latin America & Caribbean	20.4
Middle East & North Africa	..
North America	..
South Asia	30.5
Sub-Saharan Africa	55.3
Low income	68.4
Lower middle income	33.4
Upper middle income	22.9
High income	..
