Country	2017
Afghanistan	33
Albania	3800
Algeria	270
American Samoa	..
Andorra	..
Angola	69
Antigua and Barbuda	1200
Argentina	1100
Armenia	2000
Aruba	..
Australia	8200
Austria	13500
Azerbaijan	1700
Bahamas, The	820
Bahrain	3000
Bangladesh	250
Barbados	2400
Belarus	23800
Belgium	11200
Belize	1100
Benin	49
Bermuda	..
Bhutan	250
Bolivia	220
Bosnia and Herzegovina	8200
Botswana	220
Brazil	940
Brunei Darussalam	1700
Bulgaria	7000
Burkina Faso	57
Burundi	33
Cabo Verde	670
Cambodia	220
Cameroon	40
Canada	6100
Cayman Islands	..
Central African Republic	25
Chad	15
Channel Islands	..
Chile	4600
China	2100
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	630
Comoros	83
Congo, Dem. Rep.	34
Congo, Rep.	58
Costa Rica	1900
Cote d'Ivoire	34
Croatia	9100
Cuba	1800
Curacao	..
Cyprus	11000
Czech Republic	17900
Denmark	16200
Djibouti	140
Dominica	..
Dominican Republic	410
Ecuador	640
Egypt, Arab Rep.	730
El Salvador	960
Equatorial Guinea	67
Eritrea	46
Estonia	6900
Eswatini	72
Ethiopia	55
Faroe Islands	..
Fiji	1000
Finland	20900
France	7200
French Polynesia	..
Gabon	93
Gambia, The	31
Georgia	1900
Germany	9400
Ghana	82
Greece	26900
Greenland	..
Grenada	1700
Guam	..
Guatemala	330
Guinea	35
Guinea-Bissau	32
Guyana	220
Haiti	67
Honduras	560
Hungary	6200
Iceland	14400
India	290
Indonesia	240
Iran, Islamic Rep.	2600
Iraq	320
Ireland	11300
Isle of Man	..
Israel	10800
Italy	51300
Jamaica	600
Japan	16700
Jordan	730
Kazakhstan	3500
Kenya	76
Kiribati	290
Korea, Dem. Peopleâ€™s Rep.	620
Korea, Rep.	8300
Kosovo	..
Kuwait	4200
Kyrgyz Republic	480
Lao PDR	180
Latvia	3100
Lebanon	1600
Lesotho	58
Liberia	32
Libya	590
Liechtenstein	..
Lithuania	7500
Luxembourg	14300
Madagascar	66
Malawi	60
Malaysia	1600
Maldives	840
Mali	29
Malta	10200
Marshall Islands	..
Mauritania	28
Mauritius	1200
Mexico	1300
Micronesia, Fed. Sts.	370
Moldova	3900
Monaco	..
Mongolia	710
Montenegro	9900
Morocco	560
Mozambique	67
Myanmar	190
Namibia	140
Nepal	230
Netherlands	11900
New Caledonia	..
New Zealand	6100
Nicaragua	380
Niger	27
Nigeria	21
North Macedonia	9000
Northern Mariana Islands	..
Norway	25700
Oman	1600
Pakistan	180
Palau	..
Panama	750
Papua New Guinea	190
Paraguay	290
Peru	480
Philippines	300
Poland	30300
Portugal	10700
Puerto Rico	4000
Qatar	5000
Romania	3600
Russian Federation	3100
Rwanda	94
Samoa	590
San Marino	..
Sao Tome and Principe	170
Saudi Arabia	2300
Senegal	65
Serbia	5800
Seychelles	790
Sierra Leone	20
Singapore	9900
Sint Maarten (Dutch part)	..
Slovak Republic	12600
Slovenia	9300
Solomon Islands	200
Somalia	20
South Africa	330
South Sudan	18
Spain	21500
Sri Lanka	1300
St. Kitts and Nevis	..
St. Lucia	580
St. Martin (French part)	..
St. Vincent and the Grenadines	750
Sudan	75
Suriname	330
Sweden	12600
Switzerland	13900
Syrian Arab Republic	1000
Tajikistan	1400
Tanzania	36
Thailand	1900
Timor-Leste	170
Togo	56
Tonga	540
Trinidad and Tobago	840
Tunisia	970
Turkey	2800
Turkmenistan	4400
Turks and Caicos Islands	..
Tuvalu	..
Uganda	49
Ukraine	3700
United Arab Emirates	17900
United Kingdom	8400
United States	3000
Uruguay	2900
Uzbekistan	1200
Vanuatu	330
Venezuela, RB	330
Vietnam	1100
Virgin Islands (U.S.)	..
West Bank and Gaza	880
Yemen, Rep.	150
Zambia	93
Zimbabwe	55
World	190
East Asia & Pacific	800
Europe & Central Asia	4300
Latin America & Caribbean	630
Middle East & North Africa	570
North America	3100
South Asia	240
Sub-Saharan Africa	38
Low income	45
Lower middle income	130
Upper middle income	900
High income	5500
