Country	GDP (2010)	GDP (2019)
Afghanistan	26	21
Albania	18	19
Algeria	8	12
American Samoa	..	..
Andorra	..	..
Angola	6	9
Antigua and Barbuda	2	2
Argentina	7	7
Armenia	18	12
Aruba	0	..
Australia	2	2
Austria	1	1
Azerbaijan	6	6
Bahamas, The	1	1
Bahrain	0	0
Bangladesh	17	13
Barbados	..	..
Belarus	9	7
Belgium	1	0
Belize	12	10
Benin	26	27
Bermuda	1	..
Bhutan	15	16
Bolivia	10	12
Bosnia and Herzegovina	7	6
Botswana	2	2
Brazil	4	4
Brunei Darussalam	1	1
Bulgaria	4	3
Burkina Faso	24	20
Burundi	38	29
Cabo Verde	8	5
Cambodia	34	21
Cameroon	14	15
Canada	1	..
Cayman Islands	0	0
Central African Republic	37	32
Chad	52	43
Channel Islands	..	..
Chile	4	4
China	9	7
Hong Kong SAR, China	0	0
Macao SAR, China	..	..
Colombia	6	7
Comoros	30	33
Congo, Dem. Rep.	21	20
Congo, Rep.	4	6
Costa Rica	7	4
Cote d'Ivoire	25	16
Croatia	4	3
Cuba	4	4
Curacao	0	0
Cyprus	2	2
Czech Republic	2	2
Denmark	1	1
Djibouti	..	1
Dominica	11	13
Dominican Republic	6	5
Ecuador	10	9
Egypt, Arab Rep.	13	11
El Salvador	7	5
Equatorial Guinea	1	3
Eritrea	14	..
Estonia	3	3
Eswatini	10	9
Ethiopia	41	34
Faroe Islands	15	19
Fiji	9	11
Finland	2	2
France	2	2
French Polynesia	..	..
Gabon	4	6
Gambia, The	35	17
Georgia	8	6
Germany	1	1
Ghana	28	17
Greece	3	4
Greenland	13	18
Grenada	5	6
Guam	..	..
Guatemala	11	9
Guinea	17	20
Guinea-Bissau	45	53
Guyana	16	12
Haiti	26	19
Honduras	12	11
Hungary	3	3
Iceland	6	4
India	17	16
Indonesia	14	13
Iran, Islamic Rep.	6	9
Iraq	5	2
Ireland	1	1
Isle of Man	1	0
Israel	2	1
Italy	2	2
Jamaica	5	7
Japan	1	1
Jordan	4	6
Kazakhstan	5	4
Kenya	25	34
Kiribati	24	29
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2	2
Kosovo	14	7
Kuwait	0	0
Kyrgyz Republic	17	12
Lao PDR	23	15
Latvia	4	4
Lebanon	4	5
Lesotho	5	4
Liberia	45	39
Libya	2	..
Liechtenstein	..	0
Lithuania	3	3
Luxembourg	0	0
Madagascar	29	23
Malawi	30	26
Malaysia	10	7
Maldives	6	6
Mali	33	37
Malta	1	1
Marshall Islands	10	15
Mauritania	17	19
Mauritius	4	3
Mexico	3	3
Micronesia, Fed. Sts.	25	23
Moldova	11	10
Monaco	..	..
Mongolia	12	11
Montenegro	8	7
Morocco	13	11
Mozambique	27	24
Myanmar	37	21
Namibia	9	7
Nepal	33	24
Netherlands	2	2
New Caledonia	..	..
New Zealand	7	6
Nicaragua	17	15
Niger	36	38
Nigeria	24	22
North Macedonia	10	9
Northern Mariana Islands	..	..
Norway	2	2
Oman	1	3
Pakistan	23	22
Palau	4	3
Panama	4	2
Papua New Guinea	20	18
Paraguay	13	10
Peru	7	7
Philippines	14	9
Poland	3	2
Portugal	2	2
Puerto Rico	1	1
Qatar	0	0
Romania	5	4
Russian Federation	3	3
Rwanda	24	24
Samoa	10	10
San Marino	..	..
Sao Tome and Principe	12	11
Saudi Arabia	3	2
Senegal	16	15
Serbia	7	6
Seychelles	2	2
Sierra Leone	53	57
Singapore	0	0
Sint Maarten (Dutch part)	0	0
Slovak Republic	2	3
Slovenia	2	2
Solomon Islands	..	..
Somalia	..	..
South Africa	2	2
South Sudan	5	..
Spain	2	3
Sri Lanka	8	7
St. Kitts and Nevis	1	1
St. Lucia	3	2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	6	7
Sudan	34	28
Suriname	9	10
Sweden	2	1
Switzerland	1	1
Syrian Arab Republic	..	..
Tajikistan	20	19
Tanzania	26	29
Thailand	11	8
Timor-Leste	26	17
Togo	29	23
Tonga	16	..
Trinidad and Tobago	1	1
Tunisia	8	10
Turkey	9	6
Turkmenistan	11	..
Turks and Caicos Islands	1	1
Tuvalu	27	..
Uganda	32	22
Ukraine	7	9
United Arab Emirates	1	1
United Kingdom	1	1
United States	1	1
Uruguay	7	6
Uzbekistan	29	26
Vanuatu	21	..
Venezuela, RB	5	..
Vietnam	18	14
Virgin Islands (U.S.)	..	..
West Bank and Gaza	6	..
Yemen, Rep.	8	4
Zambia	9	3
Zimbabwe	10	8
World	4	4
East Asia & Pacific	6	4
Europe & Central Asia	2	2
Latin America & Caribbean	5	5
Middle East & North Africa	5	4
North America	1	1
South Asia	18	16
Sub-Saharan Africa	17	15
Low income	29	23
Lower middle income	17	15
Upper middle income	7	6
High income	1	1
