Country	average annual (1990-2000)	average annual (2000-2019)
Afghanistan	..	..
Albania	..	2.5
Algeria	20.3	2.4
American Samoa	..	..
Andorra	..	..
Angola	..	-1.2
Antigua and Barbuda	..	..
Argentina	2.2	2.5
Armenia	-1.7	1.4
Aruba	..	..
Australia	3	3
Austria	2.6	0.9
Azerbaijan	7.4	..
Bahamas, The	5.1	0.9
Bahrain	..	5.8
Bangladesh	4.2	8
Barbados	..	..
Belarus	-1.9	-1
Belgium	1.5	0.6
Belize	3.6	3.9
Benin	2.5	4.1
Bermuda	..	..
Bhutan	..	2
Bolivia	3.6	5.9
Bosnia and Herzegovina	..	0.7
Botswana	5.6	6.5
Brazil	1	0.4
Brunei Darussalam	2.1	0.7
Bulgaria	-7.2	2
Burkina Faso	2.9	6.6
Burundi	..	4.2
Cabo Verde	..	1.9
Cambodia	7.2	5.3
Cameroon	-0.5	3.4
Canada	0.1	1.3
Cayman Islands	..	..
Central African Republic	..	-0.3
Chad	..	-11.5
Channel Islands	..	..
Chile	3.6	4.2
China	..	..
Hong Kong SAR, China	4.1	3.3
Macao SAR, China	4.6	4.3
Colombia	9.8	5
Comoros	1.6	3.3
Congo, Dem. Rep.	-20.4	-4.2
Congo, Rep.	-5.5	3.4
Costa Rica	2.2	2.3
Cote d'Ivoire	..	5.6
Croatia	1.3	0.7
Cuba	0	0.1
Curacao	..	..
Cyprus	2.6	-0.8
Czech Republic	-0.1	1.4
Denmark	2.4	0.8
Djibouti	..	..
Dominica	..	..
Dominican Republic	8.1	3.9
Ecuador	0.2	4.7
Egypt, Arab Rep.	5	4.5
El Salvador	4.1	1.1
Equatorial Guinea	..	3.5
Eritrea	22.3	..
Estonia	2.2	2.1
Eswatini	7.1	4.9
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	1	0.7
France	1.4	1.3
French Polynesia	..	..
Gabon	3.7	-1.7
Gambia, The	..	7.7
Georgia	..	4.8
Germany	2.3	2.2
Ghana	..	-0.5
Greece	1.6	-2.1
Greenland	..	1.2
Grenada	..	..
Guam	..	..
Guatemala	5.1	2.7
Guinea	..	13.9
Guinea-Bissau	..	7.8
Guyana	..	6.5
Haiti	..	6.3
Honduras	..	1.5
Hungary	-1.5	1.9
Iceland	2.7	1.6
India	6.5	6.6
Indonesia	0.1	3.4
Iran, Islamic Rep.	1.9	1.6
Iraq	..	..
Ireland	4.4	2
Isle of Man	..	..
Israel	1.6	3.6
Italy	-0.2	-0.5
Jamaica	..	-0.2
Japan	2.9	1.2
Jordan	6.9	-0.8
Kazakhstan	-7.1	3.8
Kenya	6.9	5.7
Kiribati	..	6.6
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	4.3	4.4
Kosovo	..	-0.7
Kuwait	..	3.3
Kyrgyz Republic	-7.4	0.8
Lao PDR	..	11.9
Latvia	2.7	2.5
Lebanon	14.2	8.9
Lesotho	17.5	4
Liberia	..	5.3
Libya	..	..
Liechtenstein	..	..
Lithuania	1.3	0.3
Luxembourg	3.8	2.8
Madagascar	0	2.2
Malawi	..	2.9
Malaysia	4.8	4.6
Maldives	..	..
Mali	5.3	4.2
Malta	..	3.8
Marshall Islands	..	2.3
Mauritania	-0.9	4.4
Mauritius	3.7	2.9
Mexico	2.1	1.9
Micronesia, Fed. Sts.	..	..
Moldova	-13.1	-0.5
Monaco	..	..
Mongolia	..	7.6
Montenegro	..	1.6
Morocco	-0.1	2.7
Mozambique	3.5	11.7
Myanmar	..	..
Namibia	3.3	3.6
Nepal	..	6.7
Netherlands	2.2	0.5
New Caledonia	..	..
New Zealand	1.7	2.3
Nicaragua	-1.5	4.3
Niger	1	6.5
Nigeria	1.8	-6
North Macedonia	-0.4	0.7
Northern Mariana Islands	..	..
Norway	2.9	1.9
Oman	..	2.6
Pakistan	0.7	6.1
Palau	..	1
Panama	1.5	4.8
Papua New Guinea	..	..
Paraguay	3.2	4
Peru	5.2	6
Philippines	2.6	7.9
Poland	3.4	2.4
Portugal	2.9	-0.5
Puerto Rico	2.7	-1.4
Qatar	..	6
Romania	1.2	2.1
Russian Federation	-2.9	0.1
Rwanda	0	11
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	2.3
Senegal	0.9	4.2
Serbia	6.9	0.5
Seychelles	..	..
Sierra Leone	-1.1	3.7
Singapore	8.8	4.3
Sint Maarten (Dutch part)	..	..
Slovak Republic	0.1	2
Slovenia	2.9	0.6
Solomon Islands	..	..
Somalia	..	..
South Africa	0.3	1.6
South Sudan	..	1.6
Spain	2.6	0.1
Sri Lanka	7.6	2.3
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	5.5	3.4
Suriname	..	..
Sweden	0.7	1.5
Switzerland	0.9	1.5
Syrian Arab Republic	..	..
Tajikistan	-15.7	..
Tanzania	-8.8	6.4
Thailand	6	2.5
Timor-Leste	..	-1.9
Togo	0	10.2
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	4.5	..
Turkey	4.6	5.7
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	6.4	4.3
Ukraine	-4.1	0.9
United Arab Emirates	..	5
United Kingdom	1.4	1.1
United States	1	0
Uruguay	2.6	2.5
Uzbekistan	..	6
Vanuatu	..	..
Venezuela, RB	3.7	..
Vietnam	3.2	7
Virgin Islands (U.S.)	..	..
West Bank and Gaza	12.5	2.6
Yemen, Rep.	..	..
Zambia	..	..
Zimbabwe	..	14.3
World	1.5	1.3
East Asia & Pacific	2.7	2.1
Europe & Central Asia	1.1	1.2
Latin America & Caribbean	1.9	1.6
Middle East & North Africa	..	3.4
North America	0.9	0.1
South Asia	5.8	6.5
Sub-Saharan Africa	0.6	1.7
Low income	..	..
Lower middle income	3.8	4.8
Upper middle income	..	..
High income	1.6	1
