Country	Total (1990)	Total (2014)
Afghanistan	..	..
Albania	2.5	2
Algeria	100.1	143.2
American Samoa	..	..
Andorra	..	..
Angola	28.7	94.1
Antigua and Barbuda	..	..
Argentina	48.4	75.3
Armenia	0.1	0.8
Aruba	..	..
Australia	157.5	365.7
Austria	8.1	12.1
Azerbaijan	20.8	58.8
Bahamas, The	..	..
Bahrain	14.3	22.9
Bangladesh	10.8	29.5
Barbados	..	..
Belarus	3.3	3.7
Belgium	13.1	12.5
Belize	..	..
Benin	1.8	2.3
Bermuda	..	..
Bhutan	..	..
Bolivia	4.9	23.2
Bosnia and Herzegovina	4.6	6
Botswana	0.9	1.5
Brazil	104.1	267.2
Brunei Darussalam	15.6	16.3
Bulgaria	9.6	11.4
Burkina Faso	..	..
Burundi	..	..
Cabo Verde	..	..
Cambodia	..	4.3
Cameroon	11	9.8
Canada	276.4	470
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	7.9	12.9
China	880.8	2593.1
Hong Kong SAR, China	0	0.2
Macao SAR, China	..	..
Colombia	48.2	127.2
Comoros	..	..
Congo, Dem. Rep.	12	28.2
Congo, Rep.	8.7	15.7
Costa Rica	0.7	2.5
Cote d'Ivoire	3.4	12.9
Croatia	5.7	4.4
Cuba	7.6	5.9
Curacao	0	0
Cyprus	0	0.1
Czech Republic	40.9	29.3
Denmark	10.1	16.1
Djibouti	..	..
Dominica	..	..
Dominican Republic	0.9	1
Ecuador	16.4	30.4
Egypt, Arab Rep.	54.9	80.4
El Salvador	1.7	2.1
Equatorial Guinea	..	..
Eritrea	0.7	0.6
Estonia	5.4	5.8
Eswatini	..	..
Ethiopia	22.1	45.5
Faroe Islands	..	..
Fiji	..	..
Finland	12.1	18.3
France	111.9	137.1
French Polynesia	..	..
Gabon	14.6	15.9
Gambia, The	..	..
Georgia	2	1.4
Germany	186.2	119.7
Ghana	4.4	9.8
Greece	9.2	8.8
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	3.4	8.9
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	1.3	3.2
Honduras	1.7	2.5
Hungary	14.7	10.1
Iceland	1.6	5.2
India	280.5	541.8
Indonesia	168.6	458
Iran, Islamic Rep.	187.8	316.2
Iraq	110.3	163
Ireland	3.5	2
Isle of Man	..	..
Israel	0.4	7.5
Italy	25.3	36.7
Jamaica	0.5	0.5
Japan	74.6	26.6
Jordan	0.2	0.3
Kazakhstan	91	166.3
Kenya	8.8	19.6
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	28.9	20.8
Korea, Rep.	22.6	49.1
Kosovo	..	1.6
Kuwait	50.4	166.4
Kyrgyz Republic	2.5	1.9
Lao PDR	..	..
Latvia	1.1	2.4
Lebanon	0.1	0.2
Lesotho	..	..
Liberia	..	..
Libya	73.2	36.3
Liechtenstein	..	..
Lithuania	4.9	1.7
Luxembourg	0	0.2
North Macedonia	1.3	1.3
Madagascar	..	..
Malawi	..	..
Malaysia	48.4	94.6
Maldives	..	..
Mali	..	..
Malta	0	0
Marshall Islands	..	..
Mauritania	..	..
Mauritius	0.3	0.2
Mexico	195.5	208.3
Micronesia, Fed. Sts.	..	..
Moldova	0.1	0.3
Monaco	..	..
Mongolia	2.7	14.4
Montenegro	..	0.7
Morocco	1.4	1.8
Mozambique	5.6	18
Myanmar	10.7	25.7
Namibia	0.3	0.5
Nepal	5.5	9.7
Netherlands	60.6	58.5
New Caledonia	..	..
New Zealand	11.5	17.1
Nicaragua	1.4	2.2
Niger	..	3.1
Nigeria	146.3	260
Northern Mariana Islands	..	..
Norway	119.5	196.3
Oman	38.3	74.5
Pakistan	34.2	68.2
Palau	..	..
Panama	0.6	0.8
Papua New Guinea	..	..
Paraguay	4.6	7.1
Peru	10.6	27.3
Philippines	17.2	25.9
Poland	103.9	67.3
Portugal	3.4	6
Puerto Rico	..	..
Qatar	27.7	219.9
Romania	40.8	26.4
Russian Federation	1293.1	1305.7
Rwanda	..	..
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	368.4	622.4
Senegal	1	1.9
Serbia	13.8	9.4
Seychelles	..	..
Sierra Leone	..	..
Singapore	0.1	0.6
Sint Maarten (Dutch part)	..	..
Slovak Republic	5.3	6.6
Slovenia	3.1	3.7
Solomon Islands	..	..
Somalia	..	..
South Africa	114.5	168.3
South Sudan	..	8.1
Spain	34.6	35.1
Sri Lanka	4.2	5.3
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	8.8	16.3
Suriname	..	1
Sweden	29.7	34.5
Switzerland	10.3	13.3
Syrian Arab Republic	22.3	5.6
Tajikistan	2	1.8
Tanzania	9.1	22.2
Thailand	26.6	78.7
Timor-Leste	..	..
Togo	1.1	2.6
Tonga	..	..
Trinidad and Tobago	12.6	39.7
Tunisia	5.7	6.7
Turkey	25.8	31.3
Turkmenistan	73	78
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	135.8	76.9
United Arab Emirates	110.2	200
United Kingdom	208	108.2
United States	1652.5	2012
