Country	population %
Afghanistan	71.5
Albania	100
Algeria	99.9
American Samoa	..
Andorra	100
Angola	42
Antigua and Barbuda	100
Argentina	99.8
Armenia	100
Aruba	100
Australia	100
Austria	100
Azerbaijan	100
Bahamas, The	100
Bahrain	100
Bangladesh	73.1
Barbados	100
Belarus	100
Belgium	100
Belize	91.8
Benin	37.7
Bermuda	100
Bhutan	95.5
Bolivia	91.5
Bosnia and Herzegovina	99.7
Botswana	58.1
Brazil	99.7
Brunei Darussalam	100
Bulgaria	100
Burkina Faso	16.3
Burundi	8.6
Cambodia	68.8
Cameroon	58.7
Canada	100
Cabo Verde	87.1
Cayman Islands	100
Central African Republic	24.1
Chad	7.7
Channel Islands	..
Chile	99.7
China	100
Hong Kong SAR, China	100
Macao SAR, China	100
Colombia	98.2
Comoros	74.4
Congo, Dem. Rep.	16.4
Congo, Rep.	60.4
Costa Rica	99.4
Cote d'Ivoire	62.6
Croatia	100
Cuba	99.4
Curacao	100
Cyprus	100
Czech Republic	100
Denmark	100
Djibouti	57.5
Dominica	99.8
Dominican Republic	98.6
Ecuador	98.8
Egypt, Arab Rep.	99.3
El Salvador	95.4
Equatorial Guinea	66.3
Eritrea	45.7
Estonia	100
Eswatini	65.8
Ethiopia	29
Faroe Islands	100
Fiji	95.1
Finland	100
France	100
French Polynesia	100
Gabon	89.6
Gambia, The	54.4
Georgia	100
Germany	100
Ghana	75.7
Greece	100
Greenland	100
Grenada	92.5
Guam	100
Guatemala	90.5
Guinea	33.9
Guinea-Bissau	20.3
Guyana	88.3
Haiti	41
Honduras	90
Hungary	100
Iceland	100
India	88
Indonesia	97.5
Iran, Islamic Rep.	100
Iraq	99.4
Ireland	100
Isle of Man	100
Israel	100
Italy	100
Jamaica	94.9
Japan	100
Jordan	99.8
Kazakhstan	100
Kenya	41.6
Kiribati	90.6
Korea, Dem. Peopleâ€™s Rep.	41.2
Korea, Rep.	100
Kosovo	100
Kuwait	100
Kyrgyz Republic	99.8
Lao PDR	89.7
Latvia	100
Lebanon	100
Lesotho	31.8
Liberia	16.1
Libya	73.4
Liechtenstein	100
Lithuania	100
Luxembourg	100
North Macedonia	100
Madagascar	20.2
Malawi	10.8
Malaysia	100
Maldives	99.8
Mali	37.6
Malta	100
Marshall Islands	92.5
Mauritania	39.5
Mauritius	97.3
Mexico	99
Micronesia, Fed. Sts.	75.6
Moldova	100
Monaco	100
Mongolia	88
Montenegro	100
Morocco	99.6
Mozambique	24
Myanmar	60.5
Namibia	51.6
Nepal	85.2
Netherlands	100
New Caledonia	100
New Zealand	100
Nicaragua	83.7
Niger	16.6
Nigeria	52.5
Northern Mariana Islands	100
Norway	100
Oman	100
Pakistan	71.2
Palau	99.4
Panama	95.3
Papua New Guinea	44.5
Paraguay	99.3
Peru	93.9
Philippines	89.1
Poland	100
Portugal	100
Puerto Rico	100
Qatar	100
Romania	100
Russian Federation	95.5
Rwanda	22.8
Samoa	99.7
San Marino	100
Sao Tome and Principe	66.2
Saudi Arabia	100
Senegal	60.5
Serbia	99.9
Seychelles	100
Sierra Leone	19.7
Singapore	100
Sint Maarten (Dutch part)	100
Slovak Republic	100
Slovenia	100
Solomon Islands	55.1
Somalia	29.7
South Africa	85.5
South Sudan	18.4
Spain	100
Sri Lanka	94.1
St. Kitts and Nevis	100
St. Lucia	97.4
St. Martin (French part)	100
St. Vincent and the Grenadines	99.7
Sudan	49.4
Suriname	95.1
Sweden	100
Switzerland	100
Syrian Arab Republic	89.8
Tajikistan	98
Tanzania	26.5
Thailand	99.6
Timor-Leste	67.3
Togo	45.1
Tonga	96.2
Trinidad and Tobago	100
Tunisia	99.9
Turkey	100
Turkmenistan	100
Turks and Caicos Islands	100
Tuvalu	99.2
Uganda	18.5
Ukraine	100
United Arab Emirates	100
United Kingdom	100
United States	100
Uruguay	99.7
Uzbekistan	100
Vanuatu	52.4
Venezuela, RB	100
Vietnam	99.8
Virgin Islands (U.S.)	100
West Bank and Gaza	99.9
Yemen, Rep.	71.2
Zambia	31.1
Zimbabwe	33.7
World	86.7
East Asia & Pacific	97.1
Europe & Central Asia	99.3
Latin America & Caribbean	97.3
Middle East & North Africa	97
North America	100
South Asia	84.5
Sub-Saharan Africa	39.2
Low income	33.2
Lower middle income	80.3
Upper middle income	98.8
High income	100
