Country	Survey Year	Infrastructure
Afghanistan	2014	9.6
Albania	2019	1.9
Algeria	2007	..
American Samoa	..	..
Andorra	..	..
Angola	2010	12.6
Antigua and Barbuda	2010	0.2
Argentina	2017	0.8
Armenia	2013	0.2
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	2013	1
Bahamas, The	2010	1.5
Bahrain	..	..
Bangladesh	2013	5.5
Barbados	2010	0.2
Belarus	2018	0.3
Belgium	..	..
Belize	2010	0.1
Benin	2016	9.4
Bermuda	..	..
Bhutan	2015	3.7
Bolivia	2017	0.9
Bosnia and Herzegovina	2019	0.8
Botswana	2010	3.7
Brazil	2009	3.4
Brunei Darussalam	..	..
Bulgaria	2019	0.9
Burkina Faso	2009	5.8
Burundi	2014	3.4
Cambodia	2016	3.6
Cameroon	2016	9.9
Canada	..	..
Cabo Verde	2009	5.5
Cayman Islands	..	..
Central African Republic	2011	25.1
Chad	2018	9.8
Channel Islands	..	..
Chile	2010	1.3
China	2012	1.3
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	2017	1.9
Comoros	..	..
Congo, Dem. Rep.	2013	7.8
Congo, Rep.	2009	16.4
Costa Rica	2010	1.7
Cote d'Ivoire	2016	4.9
Croatia	2019	0.8
Cuba	..	..
Curacao	..	..
Cyprus	2019	1.7
Czech Republic	2019	0.3
Denmark	..	..
Djibouti	2013	4.6
Dominica	2010	0.1
Dominican Republic	2016	3.1
Ecuador	2017	1.1
Egypt, Arab Rep.	2016	4.3
El Salvador	2016	1.1
Equatorial Guinea	..	..
Eritrea	2009	0.2
Estonia	2019	0.1
Ethiopia	2015	6.9
Faroe Islands	..	..
Fiji	2009	4.9
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	2009	1.7
Gambia, The	2018	14.2
Georgia	2019	0.5
Germany	2005	..
Ghana	2013	15.8
Greece	2018	0.3
Greenland	..	..
Grenada	2010	1
Guam	..	..
Guatemala	2017	1.4
Guinea	2016	4.7
Guinea-Bissau	2006	5.2
Guyana	2010	2.8
Haiti	..	..
Honduras	2016	3.7
Hungary	2019	0.2
Iceland	..	..
India	2014	3.7
Indonesia	2015	1.9
Iran, Islamic Rep.	..	..
Iraq	2011	8.8
Ireland	2005	..
Isle of Man	..	..
Israel	2013	0.1
Italy	2019	1.2
Jamaica	2010	0.2
Japan	..	..
Jordan	2019	0.3
Kazakhstan	2019	1.7
Kenya	2018	5.4
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2005	..
Kosovo	2019	3.7
Kuwait	..	..
Kyrgyz Republic	2019	1.1
Lao PDR	2018	0.9
Latvia	2019	0.4
Lebanon	2019	0.7
Lesotho	2016	2.5
Liberia	2017	6.1
Libya	..	..
Liechtenstein	..	..
Lithuania	2019	1.1
Luxembourg	..	..
North Macedonia	2019	1.9
Madagascar	2013	13.6
Malawi	2014	7.2
Malaysia	2015	1.8
Maldives	..	..
Mali	2016	8.8
Malta	2019	0.5
Marshall Islands	..	..
Mauritania	2014	2.4
Mauritius	2009	2.2
Mexico	2010	3.4
Micronesia, Fed. Sts.	2009	2.6
Moldova	2019	1.1
Monaco	..	..
Mongolia	2019	0.2
Montenegro	2019	2.4
Morocco	2019	7.9
Mozambique	2018	3.2
Myanmar	2016	2.5
Namibia	2014	4.8
Nepal	2013	17
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	2016	2.7
Niger	2017	5.5
Nigeria	2014	15.6
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	2013	33.8
Palau	..	..
Panama	2010	2.1
Papua New Guinea	2015	4.7
Paraguay	2017	2.5
Peru	2017	2.1
Philippines	2015	0.8
Poland	2019	0.5
Portugal	2019	0.5
Puerto Rico	..	..
Qatar	..	..
Romania	2013	1.3
Russian Federation	2019	0.3
Rwanda	2019	2.4
Samoa	2009	6.6
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	..
Senegal	2014	2.8
Serbia	2019	0.9
Seychelles	..	..
Sierra Leone	2017	15.8
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	2019	0.6
Slovenia	2019	0.4
Solomon Islands	2015	4.3
Somalia	..	..
South Africa	2007	1.6
South Sudan	2014	13.6
Spain	2005	..
Sri Lanka	2011	3
St. Kitts and Nevis	2010	2.1
St. Lucia	2010	0
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2010	0.8
Sudan	2014	1.2
Suriname	2018	1.1
Eswatini	2016	7
Sweden	2014	..
Switzerland	..	..
Syrian Arab Republic	2009	..
Tajikistan	2019	0.6
Tanzania	2013	15.1
Thailand	2016	4.1
Timor-Leste	2015	9.4
Togo	2016	3.7
Tonga	2009	1.5
Trinidad and Tobago	2010	0.4
Tunisia	2013	2
Turkey	2019	1.8
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2013	11.2
Ukraine	2019	0.8
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	2017	0.3
Uzbekistan	2019	3
Vanuatu	2009	1.1
Venezuela, RB	2010	8.3
Vietnam	2015	2.2
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2019	7.6
Yemen, Rep.	2013	19.7
Zambia	2019	18.8
Zimbabwe	2016	6.1
