Country	Goveernment % (2010)	Goveernment % (2018)
Afghanistan	1.5	0.3
Albania	-3.9	-1.3
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	0.8	-6.8
Antigua and Barbuda	..	..
Argentina	..	-5.4
Armenia	-5	-1.8
Aruba	..	..
Australia	-4	-0.4
Austria	-3.1	0
Azerbaijan	15.4	9.5
Bahamas, The	-2.6	-3.3
Bahrain	..	..
Bangladesh	-0.8	-1.5
Barbados	-7.8	-4.9
Belarus	-1.4	4.1
Belgium	-3.2	-0.2
Belize	-0.8	-1.4
Benin	..	..
Bermuda	..	..
Bhutan	2	-2.5
Bolivia	1.2	..
Bosnia and Herzegovina	-2.2	2
Botswana	-7.5	-2.4
Brazil	-2.1	-6.8
Brunei Darussalam	..	..
Bulgaria	-3.1	1.6
Burkina Faso	-4	-4.2
Burundi	..	..
Cabo Verde	..	..
Cambodia	-3.5	0
Cameroon	-1.6	-2.2
Canada	-2.2	0.7
Cayman Islands	..	..
Central African Republic	-8.4	0.3
Chad	..	..
Channel Islands	..	..
Chile	-0.4	-1.7
China	..	..
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	-4.6	-1.9
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	39.8	6.3
Costa Rica	-4.2	..
Cote d'Ivoire	-0.6	-3.4
Croatia	-6.6	0.3
Cuba	..	..
Curacao	..	..
Cyprus	-4.7	-5.3
Czech Republic	-3.8	0.7
Denmark	-2.6	0.4
Djibouti	..	..
Dominica	..	..
Dominican Republic	-2.8	-2.2
Ecuador	..	..
Egypt, Arab Rep.	-7.7	-10.7
El Salvador	-3.1	-0.6
Equatorial Guinea	-4.5	0.1
Eritrea	..	..
Estonia	0	-0.8
Eswatini	..	..
Ethiopia	-2.7	-4
Faroe Islands	..	..
Fiji	-2.6	-4.4
Finland	-2.3	0
France	-6.8	-2.6
French Polynesia	..	..
Gabon	1.7	0.4
Gambia, The	-2.9	..
Georgia	-4.2	-1.7
Germany	-3.3	1.1
Ghana	-7.2	-3.8
Greece	-10.9	0.6
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	-3.3	-1.9
Guinea	..	..
Guinea-Bissau	..	-1.6
Guyana	..	..
Haiti	..	..
Honduras	-3	-0.9
Hungary	-3.5	-2.3
Iceland	0	10
India	-3.5	-1.9
Indonesia	-0.7	-1.8
Iran, Islamic Rep.	0.5	..
Iraq	..	-6.7
Ireland	-32	0.1
Isle of Man	..	..
Israel	-3.7	-3.5
Italy	-3.8	-2.3
Jamaica	-6.3	1.2
Japan	-7.5	-3.2
Jordan	-5	-1.5
Kazakhstan	4.6	1.3
Kenya	..	-8.6
Kiribati	-7.1	16.9
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	1.5	2.4
Kosovo	..	..
Kuwait	16	-20.9
Kyrgyz Republic	..	-0.3
Lao PDR	..	..
Latvia	-11.8	-0.2
Lebanon	-7.5	-11.8
Lesotho	-3	-4.2
Liberia	-0.6	..
Libya	..	..
Liechtenstein	..	..
Lithuania	-7	0.4
Luxembourg	-0.8	2.3
Madagascar	-0.6	-1.1
Malawi	0	-5.9
Malaysia	-5	-3.6
Maldives	-17.9	..
Mali	-2.2	-4.6
Malta	-2.4	1.8
Marshall Islands	3.5	2.5
Mauritania	..	..
Mauritius	-2.3	-1.9
Mexico	-4	-2.2
Micronesia, Fed. Sts.	1	24.4
Moldova	-2.1	-0.9
Monaco	..	..
Mongolia	2.6	3.5
Montenegro	..	..
Morocco	-4	-3.7
Mozambique	-3.2	-2.2
Myanmar	1.6	-5.9
Namibia	-4.7	-2
Nepal	-1.4	-3.1
Netherlands	-4.1	1.6
New Caledonia	..	..
New Zealand	-2.6	1.2
Nicaragua	-0.7	-1.9
Niger	..	..
Nigeria	..	..
North Macedonia	-2.5	-1.8
Northern Mariana Islands	..	..
Norway	11.8	8.6
Oman	..	..
Pakistan	..	..
Palau	-1	6.3
Panama	..	..
Papua New Guinea	..	-2.8
Paraguay	1.4	-1
Peru	0.5	-2.2
Philippines	-3.3	-3.1
Poland	-6.1	0.1
Portugal	-10.5	-0.6
Puerto Rico	..	..
Qatar	..	..
Romania	-6.8	-2.9
Russian Federation	-1.9	3
Rwanda	..	-2.9
Samoa	-8.1	1.3
San Marino	3.5	..
Sao Tome and Principe	..	..
Saudi Arabia	4.4	-5.9
Senegal	..	-3.8
Serbia	-3.6	..
Seychelles	1.1	3.2
Sierra Leone	..	..
Singapore	7.5	4.8
Sint Maarten (Dutch part)	..	..
Slovak Republic	-6.7	-1.2
Slovenia	-5.3	0.9
Solomon Islands	7	1.7
Somalia	..	..
South Africa	-4	-5.1
South Sudan	..	..
Spain	-4.9	-1.3
Sri Lanka	-6.3	-5.4
St. Kitts and Nevis	-3.6	1.9
St. Lucia	-0.5	-0.9
St. Martin (French part)	..	..
St. Vincent and the Grenadines	-2.9	-1.6
Sudan	-4.6	-1.9
Suriname	..	..
Sweden	-0.2	1.5
Switzerland	0.2	0.9
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	0	-0.3
Thailand	-0.6	-0.5
Timor-Leste	186.4	-2.8
Togo	-0.3	-0.8
Tonga	-1.2	2.2
Trinidad and Tobago	-1.5	-6.8
Tunisia	-1.4	..
Turkey	-3	-2.1
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	-2.7
Ukraine	-6.5	-1.7
United Arab Emirates	0.1	0.3
United Kingdom	-9.1	-2
United States	-10	-5.2
Uruguay	-0.9	-2.1
Uzbekistan	7.5	2.8
Vanuatu	-2.5	6.4
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	..	..
Zambia	-1.1	-8.6
Zimbabwe	2.7	-10.4
World	-5.7	-2.4
East Asia & Pacific	..	..
Europe & Central Asia	-4.6	-0.3
Latin America & Caribbean	-2.7	-4.6
Middle East & North Africa	..	..
North America	-9.3	-4.6
South Asia	-3.3	-2
Sub-Saharan Africa	..	-4.6
Low income	..	..
Lower middle income	-3.3	-2.5
Upper middle income	..	..
High income	-6.4	-2.4
