Country	% GDP	% of total government expenditure
Afghanistan	4.1	15.7
Albania	2.5	8.4
Algeria	..	..
American Samoa	..	..
Andorra	3.2	19.3
Angola	..	..
Antigua and Barbuda	..	..
Argentina	5.5	13.3
Armenia	2.7	10.4
Aruba	6.2	21.4
Australia	5.3	13.8
Austria	5.5	11
Azerbaijan	2.5	7
Bahamas, The	..	..
Bahrain	2.3	7.2
Bangladesh	2	14.6
Barbados	4.7	12.9
Belarus	4.8	12.3
Belgium	6.5	12.3
Belize	7.4	21.3
Benin	4	17.7
Bermuda	1.5	7.8
Bhutan	6.6	22.8
Bolivia	..	..
Bosnia and Herzegovina	..	..
Botswana	..	..
Brazil	..	..
Brunei Darussalam	4.4	11.4
Bulgaria	..	..
Burkina Faso	6	22.7
Burundi	5	19.9
Cabo Verde	5.2	16.4
Cambodia	2.2	8.8
Cameroon	3.1	16.9
Canada	..	..
Cayman Islands	..	..
Central African Republic	..	..
Chad	2.2	17.2
Channel Islands	..	..
Chile	5.4	21.3
China	..	..
Hong Kong SAR, China	3.3	18.8
Macao SAR, China	2.7	13.5
Colombia	4.5	16
Comoros	..	..
Congo, Dem. Rep.	1.5	14
Congo, Rep.	3.6	15.6
Costa Rica	7	26.1
Cote d'Ivoire	4.4	18.3
Croatia	..	..
Cuba	..	..
Curacao	..	..
Cyprus	6.3	16.7
Czech Republic	5.6	14.2
Denmark	..	..
Djibouti	5.6	14
Dominica	..	..
Dominican Republic	..	..
Ecuador	..	..
Egypt, Arab Rep.	..	..
El Salvador	3.6	14.9
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	5.2	13.1
Eswatini	..	..
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	6.9	12.3
France	..	..
French Polynesia	..	..
Gabon	..	..
Gambia, The	2.4	11.2
Georgia	3.8	13
Germany	4.8	10.9
Ghana	4	18.6
Greece	..	..
Greenland	..	..
Grenada	3.2	14
Guam	..	..
Guatemala	2.9	23.7
Guinea	2.6	14.9
Guinea-Bissau	..	..
Guyana	5.9	16
Haiti	2.8	14.4
Honduras	6.1	23
Hungary	4.7	10.1
Iceland	7.5	16.8
India	..	..
Indonesia	..	..
Iran, Islamic Rep.	4	21.1
Iraq	..	..
Ireland	3.7	13.4
Isle of Man	..	..
Israel	5.8	15.5
Italy	3.8	7.8
Jamaica	5.4	18.6
Japan	3.2	8.4
Jordan	3.6	11.6
Kazakhstan	2.8	13.9
Kenya	5.3	19.1
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	4.6	..
Kosovo	..	..
Kuwait	..	..
Kyrgyz Republic	6	15.7
Lao PDR	..	..
Latvia	4.7	12.9
Lebanon	..	..
Lesotho	6.5	13.9
Liberia	2.6	8.1
Libya	..	..
Liechtenstein	..	..
Lithuania	4	12
Luxembourg	..	..
Madagascar	3.2	19.8
Malawi	4.7	15.8
Malaysia	4.5	19.7
Maldives	4.1	11.3
Mali	3.8	16.5
Malta	..	..
Marshall Islands	..	..
Mauritania	2.6	9.3
Mauritius	4.8	19.6
Mexico	4.9	17.9
Micronesia, Fed. Sts.	..	..
Moldova	5.5	17.5
Monaco	1.5	7
Mongolia	4.1	12.6
Montenegro	..	..
Morocco	..	..
Mozambique	5.6	17.9
Myanmar	2	10.3
Namibia	..	..
Nepal	5.2	14.1
Netherlands	5.5	12.8
New Caledonia	..	..
New Zealand	6.4	16.8
Nicaragua	4.3	17.9
Niger	4.9	16.8
Nigeria	..	..
North Macedonia	..	..
Northern Mariana Islands	..	..
Norway	8	16
Oman	..	..
Pakistan	2.9	14.5
Palau	..	..
Panama	..	..
Papua New Guinea	1.9	8.7
Paraguay	3.4	18.2
Peru	3.7	17.1
Philippines	..	..
Poland	4.6	11.3
Portugal	..	..
Puerto Rico	..	..
Qatar	2.9	8.6
Romania	3	9.5
Russian Federation	3.7	11
Rwanda	3.1	10.8
Samoa	4.1	10.5
San Marino	3.1	13.1
Sao Tome and Principe	5.1	20.1
Saudi Arabia	..	..
Senegal	4.7	21.5
Serbia	3.7	9.3
Seychelles	4.4	11.7
Sierra Leone	7.1	32.5
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	3.9	9.4
Slovenia	4.8	11.7
Solomon Islands	..	..
Somalia	..	..
South Africa	6.2	18.9
South Sudan	1	0.9
Spain	4.2	10
Sri Lanka	2.1	11.3
St. Kitts and Nevis	..	..
St. Lucia	3.7	14.4
St. Martin (French part)	..	..
St. Vincent and the Grenadines	5.7	18.8
Sudan	..	..
Suriname	..	..
Sweden	7.7	15.7
Switzerland	5.1	15.5
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	3.7	20.6
Thailand	..	..
Timor-Leste	4.1	7.9
Togo	5.4	21.8
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	..	..
Turkey	..	..
Turkmenistan	..	..
Turks and Caicos Islands	2.9	12.1
Tuvalu	..	..
Uganda	2.5	10.9
Ukraine	5.4	13.1
United Arab Emirates	..	..
United Kingdom	5.5	13.8
United States	..	..
Uruguay	4.8	14.9
Uzbekistan	5.3	23
Vanuatu	4.7	12.7
Venezuela, RB	..	..
Vietnam	4.2	14.5
Virgin Islands (U.S.)	..	..
West Bank and Gaza	5.3	..
Yemen, Rep.	..	..
Zambia	4.7	17
Zimbabwe	4.6	19
World	4.5	14.6
East Asia & Pacific	..	..
Europe & Central Asia	4.8	12.3
Latin America & Caribbean	4.5	17.9
Middle East & North Africa	..	..
North America	..	..
South Asia	2.1	14.1
Sub-Saharan Africa	4.6	17.8
Low income	3.2	16.3
Lower middle income	4.1	16.2
Upper middle income	..	..
High income	5	13
