Country	Survey year	Poorest quintile	Richest quintile
Afghanistan	2015	5.3	4.6
Albania	2009	2	1.5
Algeria	2013	3.1	2.3
American Samoa	..	..	..
Andorra	..	..	..
Angola	2016	8.5	4
Antigua and Barbuda	..	..	..
Argentina	..	3.7	1.9
Armenia	2016	2	1.9
Aruba	..	..	..
Australia	..	..	..
Austria	..	..	..
Azerbaijan	..	..	..
Bahamas, The	..	..	..
Bahrain	..	..	..
Bangladesh	2014	2.8	2
Barbados	..	..	0.9
Belarus	..	..	..
Belgium	..	..	..
Belize	2016	3.6	1.9
Benin	2018	7	4.2
Bermuda	..	..	..
Bhutan	2010	3.1	2
Bolivia	2008	6.2	1.9
Bosnia and Herzegovina	..	..	..
Botswana	..	..	..
Brazil	..	..	..
Brunei Darussalam	..	..	..
Bulgaria	..	..	..
Burkina Faso	2010	5.5	3.9
Burundi	2017	6	4.4
Cambodia	2014	3.8	2.2
Cameroon	2014	6.8	3
Canada	..	..	..
Cabo Verde	..	..	..
Cayman Islands	..	..	..
Central African Republic	2010	7	4.6
Chad	2015	7	5.3
Channel Islands	..	..	..
Chile	..	..	..
China	..	..	..
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	2015	2.8	1.3
Comoros	2012	6.7	3.4
Congo, Dem. Rep.	2014	7.6	4.9
Congo, Rep.	2016	7.1	2.9
Costa Rica	..	..	..
Cote d'Ivoire	2016	6.7	2.7
Croatia	..	..	..
Cuba	..	..	..
Curacao	..	..	..
Cyprus	..	..	..
Czech Republic	..	..	..
Denmark	..	..	..
Djibouti	..	..	..
Dominica	..	..	..
Dominican Republic	2014	3.7	1.9
Ecuador	..	..	..
Egypt, Arab Rep.	2014	3.6	2.8
El Salvador	2014	3.1	1.8
Equatorial Guinea	..	..	..
Eritrea	..	..	..
Estonia	..	..	..
Eswatini	2014	4.6	2.4
Ethiopia	2016	6.4	2.6
Faroe Islands	..	..	..
Fiji	..	..	..
Finland	..	..	..
France	..	..	..
French Polynesia	..	..	..
Gabon	2012	6.6	2.9
Gambia, The	2018	6	2.7
Georgia	..	..	..
Germany	..	..	..
Ghana	2014	6.1	2.9
Greece	..	..	..
Greenland	..	..	..
Grenada	..	..	..
Guam	..	..	..
Guatemala	2015	4.9	1.9
Guinea	2018	5.9	3.4
Guinea-Bissau	2014	6.4	2.7
Guyana	2009	4.7	1.8
Haiti	2017	5.4	1.6
Honduras	2012	4.6	2
Hungary	..	..	..
Iceland	..	..	..
India	2016	3.2	1.5
Indonesia	2017	2.9	2.1
Iran, Islamic Rep.	..	..	..
Iraq	2018	4.4	3
Ireland	..	..	..
Isle of Man	..	..	..
Israel	..	..	..
Italy	..	..	..
Jamaica	..	3.2	1.4
Japan	..	..	..
Jordan	2018	3.9	1.4
Kazakhstan	2011	3.5	2
Kenya	2014	6.1	2.4
Kiribati	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..
