Country	Electricity (2000)	Electricity (2015)
Afghanistan	75	86.1
Albania	96.1	100
Algeria	0.2	0.3
American Samoa	0	0.9
Andorra	100	86.1
Angola	63.1	53.2
Antigua and Barbuda	0	0
Argentina	33.2	28.1
Armenia	21.2	28.3
Aruba	0	14.9
Australia	8.4	13.6
Austria	72.5	76.5
Azerbaijan	8.2	7
Bahamas, The	0	0
Bahrain	0	0
Bangladesh	4.7	1.2
Barbados	0	0
Belarus	0.1	0.8
Belgium	1.3	20.8
Belize	70.1	45.2
Benin	2.4	5.6
Bermuda	0	0
Bhutan	100	100
Bolivia	51.5	31.4
Bosnia and Herzegovina	48.8	35.5
Botswana	0	0
Brazil	89.5	74
Brunei Darussalam	0	0
Bulgaria	6.6	18
Burkina Faso	25.2	9.4
Burundi	98	82.7
Cabo Verde	5.4	20.2
Cambodia	0.2	46.4
Cameroon	98.9	76.1
Canada	60.6	63
Cayman Islands	0	0
Central African Republic	78.5	99.4
Chad	0	0
Channel Islands	0	0
Chile	48.5	43.6
China	16.6	23.9
Hong Kong SAR, China	0	0.3
Macao SAR, China	0	0
Colombia	75.5	68.2
Comoros	0	0
Congo, Dem. Rep.	99.9	99.8
Congo, Rep.	99.7	53.3
Costa Rica	99.1	99
Cote d'Ivoire	36.8	16.7
Croatia	57.3	66.8
Cuba	6.9	3.9
Curacao	0.7	3.7
Cyprus	0	8.8
Czech Republic	3.1	11.4
Denmark	15.5	65.5
Djibouti	0	0
Dominica	41.6	16.2
Dominican Republic	9.1	11.6
Ecuador	71.7	52.8
Egypt, Arab Rep.	17.7	8.3
El Salvador	58.1	57.8
Equatorial Guinea	13.9	57.8
Eritrea	0.5	0.5
Estonia	0.2	14.4
Eswatini	40.9	46.6
Ethiopia	98.6	100
Faroe Islands	36.2	60.1
Fiji	60.2	45
Finland	33.4	44.5
France	13	15.9
French Polynesia	33.3	32
Gabon	61.6	43.7
Gambia, The	0	0
Georgia	78.9	78
Germany	6.2	29.2
Ghana	91.5	50.9
Greece	7.8	28.7
Greenland	57.4	81.3
Grenada	0	0
Guam	0	0
Guatemala	51.7	60.4
Guinea	56	78.8
Guinea-Bissau	0	0
Guyana	0	0
Haiti	51.7	8
Honduras	61.9	42.3
Hungary	0.7	10.6
Iceland	99.9	100
India	13.6	15.3
Indonesia	16	10.7
Iran, Islamic Rep.	3	5.1
Iraq	1.9	3.7
Ireland	5	28
Isle of Man	0	0.8
Israel	0.1	1.9
Italy	18.8	38.7
Jamaica	4.8	10.3
Japan	9.1	16
Jordan	0.6	1
Kazakhstan	14.7	8.9
Kenya	47	87.5
Kiribati	0	7.3
Korea, Dem. Peopleâ€™s Rep.	52.6	72.8
Korea, Rep.	1.4	1.9
Kosovo	1.8	2.3
Kuwait	0	0
Kyrgyz Republic	85.9	85.2
Lao PDR	90.9	86.4
Latvia	68.3	50.2
Lebanon	4.6	2.6
Lesotho	100	100
Liberia	0	0
Libya	0	0
Liechtenstein	0	96.9
Lithuania	3.1	39.4
Luxembourg	41	32.4
North Macedonia	17.2	35.9
Madagascar	61.1	54.6
Malawi	84.3	91.3
Malaysia	10.1	10
Maldives	0	1.3
Mali	30.4	43.5
Malta	0	7.7
Marshall Islands	0	0.2
Mauritania	0	13.4
Mauritius	29.6	22.7
Mexico	19.8	15.4
Micronesia, Fed. Sts.	0.2	1.6
Moldova	6.7	5.4
Monaco	0	0
Mongolia	0	3.1
Montenegro	0	49.7
Morocco	6.1	14.3
Mozambique	99.5	86.4
Myanmar	37	58.9
Namibia	99.2	97.8
Nepal	98.4	100
Netherlands	3.3	12.4
New Caledonia	27.3	14.1
New Zealand	71.5	80.1
Nicaragua	21.4	50.1
Niger	0	0.8
Nigeria	38.2	18.2
Northern Mariana Islands	0	0
Norway	99.7	97.7
Oman	0	0
Pakistan	25.2	31.4
Palau	0	0
Panama	70.4	65.3
Papua New Guinea	47.1	34.5
Paraguay	100	100
Peru	82	52.7
Philippines	42.9	25.4
Poland	1.6	13.8
Portugal	29.7	47.5
Puerto Rico	0.7	1.8
Qatar	0	0
Romania	28.5	39.7
Russian Federation	18.7	15.9
Rwanda	96.5	56.9
Samoa	49.6	30.4
San Marino	0	0
Sao Tome and Principe	26.1	10.5
Saudi Arabia	0	0
Senegal	3.3	10.4
Serbia	35.1	26.9
Seychelles	0	2.4
Sierra Leone	16.6	61
Singapore	0.8	1.8
Sint Maarten (Dutch part)	0	0
Slovak Republic	15	22.7
Slovenia	28.7	29.4
Solomon Islands	0	2.3
Somalia	0	0
South Africa	0.7	2.3
South Sudan	0	0.6
Spain	15.6	34.9
Sri Lanka	45.8	48.5
St. Kitts and Nevis	0	4.6
