Country	Annual Growth % (2010)	Annual Growth % (2019)
Afghanistan	..	..
Albania	6.4	0.5
Algeria	1.8	1.8
American Samoa	..	..
Andorra	..	..
Angola	12.8	6.4
Antigua and Barbuda	3.4	1.6
Argentina	9.2	47.3
Armenia	9	8.5
Aruba	1.9	2.2
Australia	4.2	1.6
Austria	..	..
Azerbaijan	11.6	9.7
Bahamas, The	3.4	0.6
Bahrain	1.2	..
Bangladesh	7.2	6.8
Barbados	2.7	0.2
Belarus	9.1	6.5
Belgium	..	..
Belize	7.8	2
Benin	8.4	6.5
Bermuda	..	..
Bhutan	2.2	2.3
Bolivia	1	3.2
Bosnia and Herzegovina	3.2	0.9
Botswana	5.6	1.6
Brazil	8.9	5.4
Brunei Darussalam	0.5	0.4
Bulgaria	4.1	0
Burkina Faso	8.4	6.5
Burundi	..	..
Cabo Verde	3.1	1.5
Cambodia	1.3	1.4
Cameroon	3.3	2.5
Canada	0.2	0.1
Cayman Islands	..	..
Central African Republic	3.3	2.5
Chad	3.3	2.5
Channel Islands	..	..
Chile	1.8	2.5
China	2.8	1.5
Hong Kong SAR, China	0	0
Macao SAR, China	0	0.2
Colombia	3.7	4.5
Comoros	1.8	1.8
Congo, Dem. Rep.	16.8	5.5
Congo, Rep.	3.3	2.5
Costa Rica	5.3	4.6
Cote d'Ivoire	8.4	6.5
Croatia	1.8	..
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	1.1	0.4
Denmark	..	..
Djibouti	..	..
Dominica	3.3	1.8
Dominican Republic	4.9	7.6
Ecuador	3.9	4.4
Egypt, Arab Rep.	6.2	11
El Salvador	..	..
Equatorial Guinea	3.3	2.5
Eritrea	..	..
Estonia	..	..
Eswatini	3.9	3.7
Ethiopia	4.7	..
Faroe Islands	..	..
Fiji	5.4	3.3
Finland	..	..
France	1.5	0.8
French Polynesia	..	..
Gabon	3.3	2.5
Gambia, The	14.6	9
Georgia	10.1	8.7
Germany	..	..
Ghana	12.9	13.2
Greece	..	..
Greenland	..	..
Grenada	3.1	1.3
Guam	..	..
Guatemala	5.5	5
Guinea	17.5	3.1
Guinea-Bissau	8.4	6.5
Guyana	2.3	0.9
Haiti	0.7	7.8
Honduras	9.8	8.4
Hungary	4.9	0.1
Iceland	..	..
India	..	..
Indonesia	7	6.7
Iran, Islamic Rep.	11.9	12.8
Iraq	6.1	4.8
Ireland	..	..
Isle of Man	..	..
Israel	1.6	0.7
Italy	..	..
Jamaica	6.4	3.2
Japan	0.5	0.3
Jordan	3.5	4.9
Kazakhstan	..	..
Kenya	4.6	8.3
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	3.9	1.9
Kosovo	3.7	1.3
Kuwait	2.3	1.9
Kyrgyz Republic	2	1.5
Lao PDR	3	..
Latvia	..	..
Lebanon	6.2	9.7
Lesotho	3.7	1.6
Liberia	3.5	5
Libya	2.5	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
Madagascar	10.3	13
Malawi	..	..
Malaysia	2.5	3
Maldives	4	3.5
Mali	8.4	6.5
Malta	..	..
Marshall Islands	..	..
Mauritania	8	5.7
Mauritius	8.4	3.7
Mexico	1.2	3.5
Micronesia, Fed. Sts.	0.9	0.4
Moldova	7.7	4.6
Monaco	..	..
Mongolia	11.9	11
Montenegro	3.7	..
Morocco	3.7	3
Mozambique	9.7	9.1
Myanmar	12	8
Namibia	5	5.7
Nepal	..	..
Netherlands	2.3	..
New Caledonia	..	..
New Zealand	4.6	3
Nicaragua	3	3.1
Niger	8.4	6.5
Nigeria	6.5	8.9
North Macedonia	7.5	1.9
Northern Mariana Islands	..	..
Norway	..	..
Oman	3.8	3.4
Pakistan	8.1	9.1
Palau	..	..
Panama	3	2.2
Papua New Guinea	1.4	0.9
Paraguay	1.2	3.9
Peru	2.1	4.8
Philippines	3.2	4.1
Poland	..	..
Portugal	..	..
Puerto Rico	..	..
Qatar	2.9	3.6
Romania	7.3	1.8
Russian Federation	6	5.4
Rwanda	6.8	7.6
Samoa	2.7	2.7
San Marino	0.7	1.4
Sao Tome and Principe	11.1	3.8
Saudi Arabia	..	..
Senegal	8.4	6.5
Serbia	13.1	..
Seychelles	2.9	3.6
Sierra Leone	9.5	4.1
Singapore	0.2	0.2
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	3.3	0.3
Somalia	..	..
South Africa	6.5	7
South Sudan	2	0.1
Spain	..	..
Sri Lanka	6.9	8.7
St. Kitts and Nevis	4.6	2
St. Lucia	3.3	1.5
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2.9	1.8
Sudan	..	..
Suriname	6.2	9
Sweden	..	..
Switzerland	0.1	-0.4
Syrian Arab Republic	..	..
Tajikistan	8.6	3.8
Tanzania	6.6	7.3
Thailand	1.2	1.4
Timor-Leste	0.8	0.6
Togo	8.4	6.5
Tonga	4	2.6
Trinidad and Tobago	1.5	1.5
Tunisia	..	..
Turkey	15.3	25.6
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	7.7	9.4
Ukraine	10.6	12.9
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	4.2	5.1
Uzbekistan	15.4	16.2
Vanuatu	1.6	0.3
Venezuela, RB	14.8	14.7
Vietnam	11.2	5
Virgin Islands (U.S.)	..	..
West Bank and Gaza	0.3	1.4
Yemen, Rep.	18.7	..
Zambia	7.4	8.3
Zimbabwe	..	3
