Country	Year	Motor vehicles (per 1,000 people)	Total
San Marino	2013	1	
Monaco	2013	899	
New Zealand	2018	860	4,240,000
United States	2018	838	273,602,100
Iceland	2016	824	278,924
Liechtenstein	2016	773	
Finland	2019	752	4,151,275
Australia	2018	730	19,200,000
Brunei	2015	721	300,897
Switzerland	2018	716	6,113,791
Canada	2018	685	25,060,399 
Guam	2014	677	
Luxembourg	2017	670	403,282
Italy	2019	655	39,545,232
Japan	2019	649	81,789,318
Spain	2017	648	23,500,401
Malta	2019	766	394,955
Poland	2017	593	22,503,579
Germany	2017	561	46,474,594
Austria	2017	555	4,898,578
Estonia	2017	550	725,944
Slovenia	2017	541	1,117,935
Czech Republic	2017	539	5,538,222
Norway	2017	514	2,719,396
Cyprus	2017	509	526,617
Belgium	2017	508	5,785,447
Portugal	2017	492	5,059,472
Netherlands	2017	487	8,373,244
Greece	2017	487	5,235,928
Libya	2017	483	
Sweden	2017	479	4,844,823
France	2017	478	32,005,986
Kuwait	2015	477	1,876,188
South Korea	2019	475	23,444,165
United Kingdom	2017	471	31,200,182
Lithuania	2017	463	1,356,987
Romania	2019	458	8,900,000
Ireland	2017	444	2,142,390
Denmark	2017	438	2,530,047
Malaysia	2015	433	13,308,716
Bahrain	2015	422	578,471
Qatar	2015	411	1,020,000
Slovakia	2017	408	2,223,117
Israel	2019	394	3,600,600
Bulgaria	2017	393	2,770,615
Croatia	2017	389	1,596,087
Barbados	2015	387	110
Russia	2019	381	55,838,224
Belarus	2015	369	3,501,981
Syria	2015	368	6,900,000
Brazil	2020	364	77,191,524
Latvia	2019	381	727,164
Hungary	2017	355	3,471,997
Suriname	2015	349	193
Serbia	2019	336	2,340,020
Taiwan	2016	333	7,842,423
Montenegro	2016	326	202,322
Argentina	2015	316	13,726,226
Mexico	2015	297	37,353,597
Trinidad and Tobago	2015	292	397
Georgia	2015	281	1,043,900
Uruguay	2015	280	960
Bosnia and Herzegovina	2015	258	910,969
Kazakhstan	2015	251	4,397,354
United Arab Emirates	2015	234	2,140,000
Oman	2015	233	980
Chile	2015	230	4,444,941
Antigua and Barbuda	2009	230	
Thailand	2015	226	15,490,503
Costa Rica	2015	224	1,076,041
Saint Kitts and Nevis	2012	223	
Kyrgyzstan	2015	223	1,330,000
Ukraine	2018	219	9,290,000
Saudi Arabia	2015	209	6,600,000
Saint Vincent and the Grenadines	2008	204	
Moldova	2015	201	715,48
North Macedonia	2017	194	403,316
Mauritius	2015	192	236,853
Fiji	2010	188	
China	2020	188	270,000,000
Iran	2015	178	14,130,000
Botswana	2015	177	391,686
Tonga	2012	174	
South Africa	2015	174	9,600,412
Macau	2020	172	116,93
Panama	2015	171	677,356
Singapore	2018	170	957,006
Armenia	2018	167	489,346
Albania	2015	167	481,114
Saint Lucia	2010	165	
Dominica	2012	163	
Nauru	2004	159	
Dominican Republic	2015	153	1,610,551
Kosovo	2013	150	
Turkey	2017	149	12,035,978
Kiribati	2008	146	
Venezuela	2015	145	4,510,000
Ecuador	2015>	141	2,267,344
Algeria	2015	140	5,570,000
Belize	2015	139	50
Azerbaijan	2018	124	1,135,936
Tunisia	2015	129	1,450,000
Jordan	2015	123	1,130,000
Grenada	2012	122	
Lebanon	2018	117	683
Colombia	2018	116	5,800,000
Guatemala	2015	115	1,862,535
Egypt	2018	109	10,695,694
Turkmenistan	2010	107	
Namibia	2008	106	
Iraq		105	3,900,000
Morocco		103	3,570,000
Cape Verde	2007	101	
Paraguay		98	652,886
Guyana	2008	95	
Hong Kong	2015	92	674,253
Swaziland	2007	89	
Indonesia	2015	87	22,512,918
Bahamas	2007	81	
Nicaragua	2015	79	480
Peru	2015	78	2,444,478
Samoa	2007	77	
Bolivia	2015	72	770
Mongolia	2010	71	
Sri Lanka		70	1,469,821
Kenya	2018	70	3,280,934
Jamaica	2015	66	190
Nigeria	2017	64	11,458,370
Zimbabwe	2015	60	940
Bhutan	2009	57	
Vanuatu	2012	54	
Afghanistan	2015	47	1,572,663
Senegal	2015	44	660
Palestine	2010	42	
Cuba	2015	42	480
Cote d'Ivoire	2015	41	940
El Salvador	2015	41	260
Tajikistan	2007	38	
Philippines		38	3,822,544
Uzbekistan	2004	37	
Micronesia, Federated States of	2007	37	
Yemen	2015	37	1,000,000
Comoros	2007	33	
Guinea-Bissau	2008	33	
Angola	2015	32	880
Ghana	2015	32	890
Maldives	2010	28	
Djibouti	2012	28	
Madagascar	2015	27	660
Congo, Republic of the	2007	27	
Sudan	2007	27	
Togo	2015	27	198
Congo, Democratic Republic of the	2015	25	1,900,000
Benin	2015	24	252
Vietnam	2015	23	2,170,000
Zambia	2015>	23	370
India	2016	28	
Seychelles	2010	22	
Cambodia	2005	21	
Laos	2007	20	
Myanmar	2017	20	1,065,897
Honduras	2017	18	160
Pakistan	2018	17	3,557,470 
Burkina Faso	2015	16	297
Cameroon	2015	15	347
Gabon	2004	14	
Mozambique	2015	14	400
Liberia	2015	14	63
Equatorial Guinea	2004	13	
Papua New Guinea	2012	13	
Uganda	2015	12	490
Mali	2015	12	203
Eritrea	2007	11	
North Korea	2006	11	
Mauritania	2015	10	41
Ethiopia	2017	9	831
Malawi	2015	8	139
Haiti	2015	7	80
Tanzania	2015	7	380
Gambia	2004	7	
Niger	2009	7	
Burundi	2015	6	63
Sierra Leone	2008	6	
Chad	2006	6	
Guinea	2012	5	
Nepal	2007	5	
Rwanda	2012	5	
Central African Republic	2012	4	
Lesotho	2004	4	
Bangladesh	2015	4	620
Somalia	2012	3	
Solomon Islands	2004	3	
São Tomé and Príncipe	2007	2	
