Country	Preprimary	Primary	Secondary	Tertiary
Afghanistan	..	104	55.4	9.7
Albania	80.5	107	95.4	55
Algeria	..	109.9	..	51.4
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	39.6	..	50.7	9.3
Antigua and Barbuda	70.3	105	111.2	..
Argentina	76.1	109.7	108.7	90
Armenia	38	92.7	83.2	54.6
Aruba	..	..	..	15.6
Australia	164.6	100.3	150.3	113.1
Austria	104.4	103.1	100.5	85.1
Azerbaijan	39.7	99.7	94.5	27.7
Bahamas, The	34.5	81.4	69.5	..
Bahrain	53.7	99.4	98.6	50.5
Bangladesh	40.8	116.5	72.7	20.6
Barbados	86.8	99.4	103.7	..
Belarus	98.9	100.5	102.4	87.4
Belgium	115.1	103.9	158.5	79.7
Belize	47.4	111.7	85.4	24.7
Benin	25.5	122	59	12.3
Bermuda	..	..	..	19
Bhutan	34.4	100.1	90.1	15.6
Bolivia	74.5	98.2	89.7	..
Bosnia and Herzegovina	..	..	..	..
Botswana	..	..	..	24.9
Brazil	96.3	115.4	100.8	51.3
Brunei Darussalam	64.8	103.2	93.5	31.4
Bulgaria	77	89.3	98.2	71
Burkina Faso	4.4	96.1	40.7	6.5
Burundi	15.4	121.4	48.5	6.1
Cabo Verde	73.2	104	88.2	23.6
Cambodia	23.8	107.4	..	13.7
Cameroon	34.5	103.4	60.1	12.8
Canada	..	100.9	113.8	68.9
Cayman Islands	..	..	..	..
Central African Republic	2.9	102	17.1	..
Chad	1	86.8	22.6	..
Channel Islands	..	..	..	..
Chile	81.8	101.4	101.8	88.5
China	88.1	100.2	..	50.6
Hong Kong SAR, China	106.4	108.6	107.5	76.9
Macao SAR, China	95.6	100.4	101	90.7
Colombia	..	114.5	97.5	55.3
Comoros	21.8	99.5	59.5	..
Congo, Dem. Rep.	..	..	..	6.6
Congo, Rep.	..	..	..	12.7
Costa Rica	97.9	113.3	132.8	55.2
Cote d'Ivoire	8.2	99.8	51	9.3
Croatia	70	96.5	99.4	67.9
Cuba	98.2	101.9	101.1	41.4
Curacao	..	..	..	..
Cyprus	83.7	99.3	100.3	75.9
Czech Republic	106.4	100.7	103.5	64.1
Denmark	95.9	101.3	129.1	80.6
Djibouti	7.8	70.3	51.5	..
Dominica	95.7	114.7	..	..
Dominican Republic	51.4	105.7	79.9	59.9
Ecuador	66.1	103.3	101.4	..
Egypt, Arab Rep.	28.7	106.3	87.9	35.2
El Salvador	66.7	94.8	71.7	29.4
Equatorial Guinea	..	..	..	..
Eritrea	23.3	68.4	47.7	3.4
Estonia	92.4	97.2	117.5	69.6
Eswatini	..	115.2	82.4	..
Ethiopia	..	..	..	..
Faroe Islands	..	..	..	..
Fiji	..	106.4	..	..
Finland	83.6	100.2	154	88.2
France	106	102.5	103.8	65.6
French Polynesia	..	..	..	..
Gabon	..	..	..	..
Gambia, The	41.7	98	..	..
Georgia	..	98.6	106	60.3
Germany	109.1	104	98.4	70.2
Ghana	114.5	103.6	71.3	15.7
Greece	74.4	99.6	104.5	136.6
Greenland	..	..	..	..
Grenada	100.5	106.9	120.1	104.6
Guam	..	..	..	..
Guatemala	50.7	101.9	52.7	..
Guinea	..	91.5	..	..
Guinea-Bissau	..	..	..	..
Guyana	..	..	..	..
Haiti	..	..	..	..
Honduras	41.1	91.5	52.2	26.2
Hungary	82.3	100.8	103.5	48.5
Iceland	94.1	100.4	117.5	71.8
India	13.7	113	75.2	28.1
Indonesia	62.3	106.4	88.9	36.3
Iran, Islamic Rep.	53.9	110.7	86.3	68.1
Iraq	..	..	..	..
Ireland	163.4	100.9	125.3	77.8
Isle of Man	..	..	..	..
Israel	110.8	104.9	105.1	63.4
Italy	94	101.9	101.3	61.9
Jamaica	73.3	91	82.3	..
Japan	..	..	..	..
Jordan	27.1	81.5	63.1	34.4
Kazakhstan	62.5	105.8	114.2	54
Kenya	75.8	103.2	..	11.5
Kiribati	..	101.3	..	..
Korea, Dem. Peopleâ€™s Rep.	..	112.8	..	27
Korea, Rep.	95	98.1	100.3	94.3
Kosovo	..	..	..	..
Kuwait	62.5	92.4	..	54.4
Kyrgyz Republic	39.8	107.6	95.1	41.3
Lao PDR	46.7	102.4	67.4	15
Latvia	95.6	99.4	110.7	88.1
Lebanon	..	..	..	..
Lesotho	38.9	120.9	62	10.2
Liberia	125.2	85.1	..	..
Libya	..	..	..	..
Liechtenstein	103.1	104.7	117.1	35.6
Lithuania	88.2	103.9	108.4	72.4
Luxembourg	91.9	102.3	103.7	19.2
Madagascar	39.6	142.5	36.5	5.4
Malawi	..	142.5	40.3	..
Malaysia	99.2	105.3	82	45.1
Maldives	91.5	97.1	..	31.2
Mali	7	75.6	41	4.5
Malta	107.7	105	104.8	54.3
Marshall Islands	38.2	84.7	64.4	..
Mauritania	..	99.9	36.8	5
Mauritius	98.1	101.1	95.1	40.6
Mexico	73.7	105.8	104.4	40.2
Micronesia, Fed. Sts.	..	..	..	..
Moldova	86.7	90.6	86.9	39.8
Monaco	..	..	..	..
Mongolia	86.7	104	..	65.6
Montenegro	69.3	100	89.9	56.1
Morocco	50.9	113.9	80.2	35.9
Mozambique	..	112.6	35.4	7.3
Myanmar	8.5	112.3	68.4	18.8
Namibia	34.2	124.2	..	22.9
Nepal	87.4	142.1	80.2	12.4
Netherlands	94.3	104.2	135.6	85
New Caledonia	..	..	..	..
New Zealand	91.5	100	114.6	82
Nicaragua	..	..	..	..
Niger	8	74.7	24.3	4.4
Nigeria	..	84.7	42	..
North Macedonia	41	97.1	81.4	42.5
Northern Mariana Islands	..	..	..	..
Norway	95.4	100.3	116.9	82
Oman	52.2	103.4	106.7	38
Pakistan	83.1	94.3	42.7	9
Palau	..	..	..	..
Panama	62.2	94.4	76.1	47.8
Papua New Guinea	43.2	108.5	47.5	..
Paraguay	43.8	..	..	..
Peru	103.5	106.9	106.4	70.7
Philippines	80.7	107.5	86.2	35.5
Poland	81.1	100	109.9	67.8
Portugal	93.9	106.2	119.9	63.9
Puerto Rico	..	83	81.9	97.5
Qatar	60.3	103.8	..	17.9
Romania	84	85.2	91.3	49.4
Russian Federation	86.8	102.6	103.4	81.9
Rwanda	22.5	133	40.9	6.7
Samoa	48.8	110.5	93.3	..
San Marino	96.4	108.1	67.9	42.5
Sao Tome and Principe	50.3	106.8	89.3	..
Saudi Arabia	21.2	99.8	110.1	68
Senegal	16.5	81	43.7	12.8
Serbia	62.3	100.3	95.1	67.2
Seychelles	95.4	100.4	81.4	17.1
Sierra Leone	13.9	112.8	41.8	..
Singapore	..	100.6	107.6	84.8
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	95.2	98.7	91.1	46.6
Slovenia	91.7	100.4	115.6	78.6
Solomon Islands	84.1	106.2	..	..
Somalia	..	..	..	..
South Africa	24.6	100.9	104.7	22.4
South Sudan	..	..	..	..
Spain	92.5	102.7	126	88.9
