Country	Rail lines	Passengers carried	Goods hauled
Afghanistan	..	..	..
Albania	..	..	..
Algeria	4016	1550	1009
American Samoa	..	..	..
Andorra	..	..	..
Angola	..	..	..
Antigua and Barbuda	..	..	..
Argentina	17609	..	..
Armenia	686	25	689
Aruba	..	..	..
Australia	..	..	..
Austria	4953	12019	16052
Azerbaijan	2132	467	4633
Bahamas, The	..	..	..
Bahrain	..	..	..
Bangladesh	2877	10040	1053
Barbados	..	..	..
Belarus	5459	6295	48538
Belgium	3605	10366	..
Belize	..	..	..
Benin	..	..	..
Bermuda	..	..	..
Bhutan	..	..	..
Bolivia	..	..	..
Bosnia and Herzegovina	1018	29	1114
Botswana	886	..	..
Brazil	..	15807	..
Brunei Darussalam	..	..	..
Bulgaria	4030	1437	2860
Burkina Faso	518	..	..
Burundi	..	..	..
Cambodia	..	..	..
Cameroon	1004	262124	842
Canada	48150	1535	540141
Cabo Verde	..	..	..
Cayman Islands	..	..	..
Central African Republic	..	..	..
Chad	..	..	..
Channel Islands	..	..	..
Chile	..	..	..
China	67278	685213	2146466
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	..	..	..
Comoros	..	..	..
Congo, Dem. Rep.	3641	23	194
Congo, Rep.	..	..	..
Costa Rica	..	..	..
Cote d'Ivoire	639	..	..
Croatia	2605	745	2012
Cuba	..	..	..
Curacao	..	..	..
Cyprus	..	..	..
Czech Republic	9408	7778	11819
Denmark	..	5829	..
Djibouti	..	..	..
Dominica	..	..	..
Dominican Republic	..	..	..
Ecuador	..	..	..
Egypt, Arab Rep.	5153	..	..
El Salvador	..	..	..
Equatorial Guinea	..	..	..
Eritrea	..	..	..
Estonia	1033	..	..
Ethiopia	754	..	..
Faroe Islands	..	..	..
Fiji	..	..	..
Finland	5926	4271	10319
France	29248	93277	..
French Polynesia	..	..	..
Gabon	810	174	3276
Gambia, The	..	..	..
Georgia	1285	597	2963
Germany	33488	77500	70614
Ghana	..	..	..
Greece	2240	..	..
Greenland	..	..	..
Grenada	..	..	..
Guam	..	..	..
Guatemala	..	..	..
Guinea	..	..	..
Guinea-Bissau	..	..	..
Guyana	..	..	..
Haiti	..	..	..
Honduras	..	..	..
Hungary	7752	5781	447
Iceland	..	..	..
India	67368	1149835	620175
Indonesia	8357	25654	..
Iran, Islamic Rep.	9021	13270	30299
Iraq	..	..	..
Ireland	1888	2122	100
Isle of Man	..	..	..
Israel	1495	2765	1381
Italy	16788	44306	9969
Jamaica	..	..	..
Japan	16976	197254	21265
Jordan	293	..	..
Kazakhstan	16040	19241	206258
Kenya	..	..	..
Kiribati	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..
Korea, Rep.	4192	21935	8229
Kosovo	..	..	..
Kuwait	..	..	..
Kyrgyz Republic	424	43	935
Lao PDR	..	..	..
Latvia	1860	42	9971
Lebanon	..	..	..
Lesotho	..	..	..
Liberia	..	..	..
Libya	..	..	..
Liechtenstein	..	..	..
Lithuania	1911	468	15414
Luxembourg	275	438	..
North Macedonia	683	59	277
Madagascar	..	..	..
Malawi	..	..	..
Malaysia	..	2029	1234
Maldives	..	..	..
Mali	..	..	..
Malta	..	..	..
Marshall Islands	..	..	..
Mauritania	..	..	..
Mauritius	..	..	..
Mexico	14280	..	73879
Micronesia, Fed. Sts.	..	..	..
Moldova	1151	77	971
Monaco	..	..	..
Mongolia	1810	973	13493
Montenegro	249	60	169
Morocco	2109	4923	3896
Mozambique	..	..	..
Myanmar	..	..	..
Namibia	..	..	..
Nepal	..	..	..
Netherlands	..	18277	..
New Caledonia	..	..	..
New Zealand	..	..	..
Nicaragua	..	..	..
Niger	..	..	..
Nigeria	3528	..	..
Northern Mariana Islands	..	..	..
Norway	4134	3096	..
Oman	..	..	..
Pakistan	7791	22476	5031
Palau	..	..	..
Panama	..	..	..
Papua New Guinea	..	..	..
Paraguay	..	..	..
Peru	..	..	..
Philippines	509	384	..
Poland	18513	9466	28720
Portugal	2546	4033	..
Puerto Rico	..	..	..
Qatar	..	..	..
Romania	10765	5366	9223
Russian Federation	85545	122920	2491876
Rwanda	..	..	..
Samoa	..	..	..
San Marino	..	..	..
Sao Tome and Principe	..	..	..
Saudi Arabia	2620	50	..
Senegal	..	..	..
Serbia	3736	377	3288
Seychelles	..	..	..
Sierra Leone	..	..	..
Singapore	..	..	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	3626	3760	7008
Slovenia	1209	650	4447
Solomon Islands	..	..	..
Somalia	..	..	..
South Africa	20953	..	..
South Sudan	..	..	..
Spain	15559	26990	6649
Sri Lanka	1562	7407	127
St. Kitts and Nevis	..	..	..
St. Lucia	..	..	..
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	..	..	..
Sudan	..	..	..
Suriname	..	..	..
Eswatini	..	..	..
Sweden	9684	6339	..
Switzerland	4036	19193	8492
Syrian Arab Republic	..	..	..
Tajikistan	620	28	165
Tanzania	2701	..	..
Thailand	..	..	..
Timor-Leste	..	..	..
Togo	..	..	..
Tonga	..	..	..
Trinidad and Tobago	..	..	..
Tunisia	2165	1164	664
Turkey	10207	4566	12058
Turkmenistan	7680	2340	13327
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	..	..	..
Ukraine	21626	28001	191914
United Arab Emirates	..	..	..
United Kingdom	16257	2900	..
United States	150966	10660	2445132
Uruguay	1498	8	..
Uzbekistan	4642	4294	22940
Vanuatu	..	..	..
Venezuela, RB	..	..	..
Vietnam	2367	3657	3574
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	..	..	..
Yemen, Rep.	..	..	..
Zambia	1248	..	297
Zimbabwe	..	..	..
World	..	..	..
East Asia & Pacific	..	..	..
Europe & Central Asia	..	4271	7008
Latin America & Caribbean	..	..	..
Middle East & North Africa	..	..	..
North America	..	6097	2445132
South Asia	..	21201	4774
Sub-Saharan Africa	..	..	..
Low income	..	..	..
Lower middle income	..	..	..
Upper middle income	..	..	..
High income	..	5829	..
