Country	Reference Year	Bottom 40%	Total population
Afghanistan	..	..	..
Albania	2017	2.5	0.8
Algeria	..	..	..
American Samoa	..	..	..
Andorra	..	..	..
Angola	..	..	..
Antigua and Barbuda	..	..	..
Argentina	2018	-1.6	-1.6
Armenia	2018	1.3	2.4
Aruba	..	..	..
Australia	..	..	..
Austria	2017	1.4	1.2
Azerbaijan	..	..	..
Bahamas, The	..	..	..
Bahrain	..	..	..
Bangladesh	2016	1.4	1.5
Barbados	..	..	..
Belarus	2018	0.7	0
Belgium	2017	0.4	0.4
Belize	..	..	..
Benin	2015	-5.2	0.1
Bermuda	..	..	..
Bhutan	2017	1.6	1.7
Bolivia	2018	1.8	-1.7
Bosnia and Herzegovina	..	..	..
Botswana	2015	0.4	-3.3
Brazil	2018	-0.4	0.7
Brunei Darussalam	..	..	..
Bulgaria	..	..	..
Burkina Faso	..	..	..
Burundi	..	..	..
Cabo Verde	..	..	..
Cambodia	..	..	..
Cameroon	..	..	..
Canada	..	..	..
Cayman Islands	..	..	..
Central African Republic	..	..	..
Chad	..	..	..
Channel Islands	..	..	..
Chile	2017	4.9	3.8
China	2016	8.4	7.1
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	2018	2.3	0.4
Comoros	..	..	..
Congo, Dem. Rep.	..	..	..
Congo, Rep.	..	..	..
Costa Rica	2018	1.4	0.6
Cote d'Ivoire	..	..	..
Croatia	2017	5.5	4.3
Cuba	..	..	..
Curacao	..	..	..
Cyprus	2017	0.3	-0.8
Czech Republic	2017	3.5	2.8
Denmark	2017	1.3	1.7
Djibouti	..	..	..
Dominica	..	..	..
Dominican Republic	2016	5.2	4.3
Ecuador	2018	1.3	0.5
Egypt, Arab Rep.	2017	-2.5	-1.1
El Salvador	2018	4	1.8
Equatorial Guinea	..	..	..
Eritrea	..	..	..
Estonia	2017	8	7.2
Ethiopia	2015	0.4	1.6
Faroe Islands	..	..	..
Fiji	..	..	..
Finland	2017	0.6	0.7
France	2017	0.6	0.2
French Polynesia	..	..	..
Gabon	..	..	..
Gambia, The	..	..	..
Georgia	2018	2.7	1.4
Germany	2016	-0.2	0.8
Ghana	2016	-0.2	1.3
Gibraltar	..	..	..
Greece	2017	1.8	0.1
Greenland	..	..	..
Grenada	..	..	..
Guam	..	..	..
Guatemala	..	..	..
Guinea	..	..	..
Guinea-Bissau	..	..	..
Guyana	..	..	..
Haiti	..	..	..
Honduras	2018	1.3	1.7
Hungary	2017	4.8	4.6
Iceland	2015	3.2	3.3
India	..	..	..
Indonesia	2018	5.1	4.9
Iran, Islamic Rep.	2017	-0.1	1.9
Iraq	..	..	..
Ireland	2016	3.4	3.1
Isle of Man	..	..	..
Israel	2016	4.2	2.6
