Country	Time required
Afghanistan	2
Albania	2
Algeria	1.3
American Samoa	..
Andorra	..
Angola	..
Antigua and Barbuda	3
Argentina	2.4
Armenia	1.9
Aruba	..
Australia	1
Austria	1.1
Azerbaijan	1.5
Bahamas, The	3
Bahrain	2.5
Bangladesh	4
Barbados	1.8
Belarus	1.5
Belgium	0.9
Belize	2
Benin	4
Bermuda	..
Bhutan	..
Bolivia	1.8
Bosnia and Herzegovina	3.3
Botswana	1.7
Brazil	4
Brunei Darussalam	2.5
Bulgaria	3.3
Burkina Faso	4
Burundi	5
Cabo Verde	..
Cambodia	6
Cameroon	2.8
Canada	0.8
Cayman Islands	..
Central African Republic	4.8
Chad	4
Channel Islands	..
Chile	2
China	1.7
Hong Kong SAR, China	0.8
Macao SAR, China	..
Colombia	1.7
Comoros	..
Congo, Dem. Rep.	..
Congo, Rep.	3.3
Costa Rica	3
Cote d'Ivoire	2.2
Croatia	3.1
Cuba	..
Curacao	..
Cyprus	1.5
Czech Republic	2.1
Denmark	1
Djibouti	1.5
Dominica	4
Dominican Republic	3.5
Ecuador	5.3
Egypt, Arab Rep.	2.5
El Salvador	3.5
Equatorial Guinea	..
Eritrea	..
Estonia	3
Ethiopia	3
Faroe Islands	..
Fiji	1.8
Finland	0.9
France	1.9
French Polynesia	..
Gabon	5
Gambia, The	2
Georgia	2
Germany	1.2
Ghana	1.9
Greece	3.5
Greenland	..
Grenada	..
Guam	..
Guatemala	3
Guinea	3.8
Guinea-Bissau	..
Guyana	3
Haiti	..
Honduras	3.8
Hungary	2
Iceland	1
India	1.6
Indonesia	1.1
Iran, Islamic Rep.	1.5
Iraq	..
Ireland	0.4
Isle of Man	..
Israel	2
Italy	1.8
Jamaica	1.1
Japan	0.6
Jordan	3
Kazakhstan	1.5
Kenya	4.5
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	1.5
Kosovo	2
Kuwait	4.2
Kyrgyz Republic	1.5
Lao PDR	..
Latvia	1.5
Lebanon	3
Lesotho	2.6
Liberia	3
Libya	..
Liechtenstein	1.5
Lithuania	2.3
Luxembourg	2
North Macedonia	1.5
Madagascar	3
Malawi	2.6
Malaysia	1
Maldives	1.5
Mali	3.6
Malta	3
Marshall Islands	2
Mauritania	..
Mauritius	1.7
Mexico	1.8
Micronesia, Fed. Sts.	5.3
Moldova	2.8
Monaco	..
Mongolia	4
Montenegro	1.4
Morocco	3.5
Mozambique	1.5
Myanmar	5
Namibia	2.5
Nepal	2
Netherlands	1.1
New Caledonia	..
New Zealand	1.3
Nicaragua	2.2
Niger	5
Nigeria	2
Northern Mariana Islands	..
Norway	0.9
Oman	3
Pakistan	2.6
Palau	2
Panama	2.5
Papua New Guinea	3
Paraguay	3.9
Peru	3.1
Philippines	2.7
Poland	3
Portugal	3
Puerto Rico	2.5
Qatar	2.8
Romania	3.3
Russian Federation	2
Rwanda	2.5
Samoa	2
San Marino	2.3
Sao Tome and Principe	..
Saudi Arabia	..
Senegal	3
Serbia	2
Seychelles	2
Sierra Leone	2.3
Singapore	0.8
Sint Maarten (Dutch part)	..
Slovak Republic	4
Slovenia	0.8
Solomon Islands	1
Somalia	..
South Africa	2
South Sudan	..
Spain	1.5
Sri Lanka	1.7
St. Kitts and Nevis	..
St. Lucia	2
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	2
Suriname	5
Eswatini	2
Sweden	2
Switzerland	3
Syrian Arab Republic	4.1
Tajikistan	1.7
Tanzania	3
Thailand	1.5
Timor-Leste	..
Togo	3
Tonga	2.7
Trinidad and Tobago	2.5
Tunisia	1.3
Turkey	5
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	2.2
Ukraine	2.9
United Arab Emirates	3.2
United Kingdom	1
United States	1
Uruguay	1.8
Uzbekistan	2
Vanuatu	2.6
Venezuela, RB	4
Vietnam	5
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	3
Zambia	1
Zimbabwe	3.3
World	2.5
East Asia & Pacific	2.3
Europe & Central Asia	2
Latin America & Caribbean	2.9
Middle East & North Africa	2.7
North America	0.9
South Asia	2.2
Sub-Saharan Africa	2.9
Low income	3.1
Lower middle income	2.8
Upper middle income	2.5
High income	2
