Country	Prime lending rate minus treasury bill rate
Afghanistan	..
Albania	4.6
Algeria	5.1
American Samoa	..
Andorra	..
Angola	6.2
Antigua and Barbuda	7
Argentina	..
Armenia	6.1
Aruba	..
Australia	..
Austria	..
Azerbaijan	2.2
Bahamas, The	2.6
Bahrain	..
Bangladesh	3.8
Barbados	4.9
Belarus	..
Belgium	..
Belize	7.8
Benin	..
Bermuda	..
Bhutan	..
Bolivia	7.8
Bosnia and Herzegovina	..
Botswana	..
Brazil	31.3
Brunei Darussalam	..
Bulgaria	..
Burkina Faso	..
Burundi	..
Cambodia	..
Cameroon	..
Canada	2.2
Cabo Verde	8
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	..
Chile	..
China	..
Hong Kong SAR, China	3.7
Macao SAR, China	..
Colombia	..
Comoros	..
Congo, Dem. Rep.	..
Congo, Rep.	..
Costa Rica	..
Cote d'Ivoire	..
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	3.1
Denmark	..
Djibouti	..
Dominica	6
Dominican Republic	..
Ecuador	..
Egypt, Arab Rep.	-0.7
El Salvador	..
Equatorial Guinea	..
Eritrea	..
Estonia	..
Ethiopia	..
Faroe Islands	..
Fiji	4.3
Finland	..
France	..
French Polynesia	..
Gabon	..
Gambia, The	19.1
Georgia	3.6
Germany	..
Ghana	..
Greece	..
Greenland	..
Grenada	4.2
Guam	..
Guatemala	..
Guinea	..
Guinea-Bissau	..
Guyana	8.9
Haiti	..
Honduras	..
Hungary	1.8
Iceland	2.6
India	..
Indonesia	..
Iran, Islamic Rep.	..
Iraq	..
Ireland	..
Isle of Man	..
Israel	3.3
Italy	2.7
Jamaica	11.1
Japan	1.2
Jordan	..
Kazakhstan	..
Kenya	5.3
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	6.2
Kuwait	..
Kyrgyz Republic	13.9
Lao PDR	..
Latvia	..
Lebanon	6.1
Lesotho	4.9
Liberia	..
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	..
Madagascar	42.4
Malawi	18.7
Malaysia	..
Maldives	8
Mali	..
Malta	..
Marshall Islands	..
Mauritania	12.3
Mauritius	5.4
Mexico	0.6
Micronesia, Fed. Sts.	..
Moldova	2
Monaco	..
Mongolia	6.2
Montenegro	..
Morocco	..
Mozambique	6.2
Myanmar	..
Namibia	2.6
Nepal	..
Netherlands	..
New Caledonia	..
New Zealand	3
Nicaragua	..
Niger	..
Nigeria	5.7
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	-1.1
Palau	..
Panama	..
Papua New Guinea	2.5
Paraguay	..
Peru	..
Philippines	2.8
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	3
Russian Federation	..
Rwanda	11.3
Samoa	..
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	..
Senegal	..
Serbia	..
Seychelles	7.1
Sierra Leone	9.5
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	10.3
Somalia	..
South Africa	3
South Sudan	-4.8
Spain	..
Sri Lanka	2.2
St. Kitts and Nevis	..
St. Lucia	6.1
St. Martin (French part)	..
St. Vincent and the Grenadines	5.9
Sudan	..
Suriname	..
Eswatini	2.4
Sweden	..
Switzerland	..
Syrian Arab Republic	..
Tajikistan	28.7
Tanzania	8.8
Thailand	2.5
Timor-Leste	..
Togo	..
Tonga	..
Trinidad and Tobago	7.4
Tunisia	..
Turkey	..
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	10
Ukraine	..
United Arab Emirates	..
United Kingdom	..
United States	3.2
Uruguay	2.3
Uzbekistan	10.4
Vanuatu	..
Venezuela, RB	..
Vietnam	..
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	..
Zambia	-10.8
Zimbabwe	..
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	..
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	..
High income	..
