Country	Manufactoring %
Afghanistan	..
Albania	46
Algeria	..
American Samoa	..
Andorra	..
Angola	..
Antigua and Barbuda	..
Argentina	37
Armenia	..
Aruba	..
Australia	51
Austria	54
Azerbaijan	37
Bahamas, The	17
Bahrain	72
Bangladesh	21
Barbados	..
Belarus	..
Belgium	44
Belize	..
Benin	..
Bermuda	73
Bhutan	..
Bolivia	54
Bosnia and Herzegovina	..
Botswana	75
Brazil	45
Brunei Darussalam	..
Bulgaria	41
Burkina Faso	..
Burundi	..
Cambodia	7
Cameroon	43
Canada	45
Cabo Verde	..
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	..
Chile	..
China	48
Hong Kong SAR, China	58
Macao SAR, China	18
Colombia	39
Comoros	..
Congo, Dem. Rep.	14
Congo, Rep.	14
Costa Rica	33
Cote d'Ivoire	..
Croatia	60
Cuba	..
Curacao	..
Cyprus	46
Czech Republic	51
Denmark	48
Djibouti	..
Dominica	..
Dominican Republic	..
Ecuador	64
Egypt, Arab Rep.	35
El Salvador	25
Equatorial Guinea	..
Eritrea	21
Estonia	53
Eswatini	..
Ethiopia	22
Faroe Islands	..
Fiji	19
Finland	54
France	45
French Polynesia	..
Gabon	..
Gambia, The	..
Georgia	43
Germany	47
Ghana	95
Greece	41
Greenland	..
Grenada	..
Guam	..
Guatemala	..
Guinea	..
Guinea-Bissau	..
Guyana	..
Haiti	..
Honduras	..
Hungary	43
Iceland	49
India	38
Indonesia	35
Iran, Islamic Rep.	45
Iraq	..
Ireland	29
Isle of Man	..
Israel	41
Italy	48
Jamaica	..
Japan	41
Jordan	43
Kazakhstan	..
Kenya	55
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	33
Kosovo	..
Kuwait	82
Kyrgyz Republic	60
Lao PDR	28
Latvia	51
Lebanon	55
Lesotho	..
Liberia	..
Libya	..
Liechtenstein	..
Lithuania	40
Luxembourg	68
Madagascar	62
Malawi	15
Malaysia	42
Maldives	..
Mali	..
Malta	36
Marshall Islands	..
Mauritania	..
Mauritius	26
Mexico	31
Micronesia, Fed. Sts.	..
Moldova	21
Monaco	..
Mongolia	9
Montenegro	..
Morocco	32
Mozambique	..
Myanmar	..
Namibia	..
Nepal	24
Netherlands	46
New Caledonia	..
New Zealand	54
Nicaragua	..
Niger	34
Nigeria	..
North Macedonia	38
Northern Mariana Islands	..
Norway	47
Oman	76
Pakistan	25
Palau	..
Panama	32
Papua New Guinea	35
Paraguay	18
Peru	37
Philippines	32
Poland	66
Portugal	48
Puerto Rico	20
Qatar	67
Romania	38
Russian Federation	50
Rwanda	17
Samoa	..
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	44
Senegal	38
Serbia	41
Seychelles	..
Sierra Leone	..
Singapore	25
Sint Maarten (Dutch part)	..
Slovak Republic	59
Slovenia	54
Solomon Islands	..
Somalia	..
South Africa	59
South Sudan	..
Spain	51
Sri Lanka	22
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	21
Suriname	..
Sweden	48
Switzerland	54
Syrian Arab Republic	54
Tajikistan	..
Tanzania	46
Thailand	38
Timor-Leste	..
Togo	..
Tonga	..
Trinidad and Tobago	51
Tunisia	33
Turkey	42
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	21
Ukraine	..
United Arab Emirates	..
United Kingdom	47
United States	42
Uruguay	41
Uzbekistan	..
Vanuatu	..
Venezuela, RB	41
Vietnam	31
Virgin Islands (U.S.)	..
West Bank and Gaza	41
Yemen, Rep.	48
Zambia	..
Zimbabwe	..
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	..
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	..
High income	..
