Country	Depositors with commercial banks	Borrowers from commercial banks	Commercial bank branches	Automated teller machines
Afghanistan	173	3	2.2	1.6
Albania	1034	138	19.4	30.43
Algeria	..	45	5.2	9.12
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	..	20	9.5	18.85
Antigua and Barbuda	..	..	24.5	67.96
Argentina	1210	407	13.5	58.93
Armenia	..	..	23.4	63.66
Aruba	..	..	17.2	126.22
Australia	..	..	28.2	146.03
Austria	..	..	11.9	168.89
Azerbaijan	..	..	..	32.81
Bahamas, The	..	..	27.4	124.58
Bahrain	..	..	..	..
Bangladesh	794	83	9	8.87
Barbados	..	..	17.2	26.68
Belarus	..	..	0.8	53.97
Belgium	..	697	34.8	87.45
Belize	657	154	19.3	44.95
Benin	205	..	3.3	4.74
Bermuda	..	..	..	..
Bhutan	..	..	17	36.58
Bolivia	..	71	40.7	40.49
Bosnia and Herzegovina	..	317	30.3	55.44
Botswana	718	185	8.9	42.6
Brazil	665	549	19	104.79
Brunei Darussalam	1498	344	17.2	74.13
Bulgaria	..	..	52.7	92.89
Burkina Faso	174	..	2.8	3.96
Burundi	..	..	3.2	1.4
Cambodia	..	..	7.8	19.45
Cameroon	132	32	2.2	4.8
Canada	..	..	20	220.6
Cabo Verde	2153	184	33	50.03
Cayman Islands	..	..	..	..
Central African Republic	52	15	0.7	1.32
Chad	30	10	1	1.54
Channel Islands	..	..	..	..
Chile	..	558	14	49.91
China	29	469	8.8	96.82
Hong Kong SAR, China	..	..	21.2	51.8
Macao SAR, China	..	..	39.5	324.61
Colombia	1549	243	14.9	42.34
Comoros	127	15	3.2	4.97
Congo, Dem. Rep.	..	..	..	..
Congo, Rep.	..	..	..	..
Costa Rica	1339	266	19.7	74.41
Cote d'Ivoire	233	..	5.1	6.94
Croatia	1445	575	30.1	147.65
Cuba	..	..	..	..
Curacao	..	..	..	..
Cyprus	..	..	42.2	42.13
Czech Republic	..	..	21.3	57.09
Denmark	..	..	20.8	47.9
Djibouti	148	41	7.3	12.13
Dominica	..	..	15.5	36.19
Dominican Republic	885	194	12.7	37.39
Ecuador	815	206	10.1	34.6
Egypt, Arab Rep.	511	116	5	18.59
El Salvador	789	..	14.9	38.12
Equatorial Guinea	302	33	6.4	10.43
Eritrea	..	..	..	..
Estonia	2148	524	9.7	68.14
Ethiopia	..	..	..	..
Faroe Islands	..	..	..	..
Fiji	..	..	11.7	53.39
Finland	..	..	3.1	34.84
France	..	..	34.9	98.3
French Polynesia	..	..	..	..
Gabon	..	..	..	..
Gambia, The	..	..	7.8	..
Georgia	1176	643	31.3	77.16
Germany	..	..	11.1	118.22
Ghana	734	41	8.6	11.65
Greece	..	..	20.9	62.34
Greenland	..	..	..	..
Grenada	..	..	24.4	45.07
Guam	..	..	..	..
Guatemala	..	..	26.2	34.91
Guinea	83	12	2.7	2.42
Guinea-Bissau	116	..	3	4.64
Guyana	..	..	8.3	20.85
Haiti	272	2	2.7	02.09
Honduras	..	113	18.7	24.04
Hungary	1092	467	14.2	60.52
Iceland	..	..	31.5	86.31
India	..	..	14.6	21.74
Indonesia	..	172	16.2	54.72
Iran, Islamic Rep.	..	..	30.8	87.69
Iraq	..	..	4.5	3.95
Ireland	..	..	20.5	79.14
Isle of Man	..	..	..	..
Israel	1105	..	17.3	128.07
Italy	721	530	40.9	91.14
Jamaica	..	..	7.1	33.82
Japan	..	..	34.1	127.59
Jordan	..	..	14.8	29.86
Kazakhstan	..	..	2.5	84.12
Kenya	..	233	5	9.2
Kiribati	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..	..
Korea, Rep.	..	..	15.4	272.82
Kosovo	884	216	16.2	35.32
Kuwait	1279	223	14.7	72.96
Kyrgyz Republic	591	110	8.1	36.92
Lao PDR	599	28	3.2	25.71
Latvia	1338	397	14.7	61.05
Lebanon	534	215	21.3	37.67
Lesotho	430	44	3.9	14.95
Liberia	..	24	3.2	2.73
Libya	..	..	11.3	3.57
Liechtenstein	..	..	..	..
Lithuania	..	..	11.5	47.19
Luxembourg	..	..	68	117.4
North Macedonia	1025	345	24.2	59.85
Madagascar	86	63	2.4	2.94
Malawi	..	..	..	..
Malaysia	744	324	10.2	46.63
Maldives	1012	151	13.7	33.14
Mali	164	..	5	4.71
Malta	1796	..	29.7	52.71
Marshall Islands	..	..	14.1	06.03
Mauritania	167	79	10.9	10.4
Mauritius	1878	260	17.1	43.2
Mexico	..	..	14.4	58.58
Micronesia, Fed. Sts.	..	..	13.2	13.2
Moldova	955	75	27	38.1
Monaco	..	..	..	..
Mongolia	..	..	68.7	106.14
Montenegro	..	245	43.5	86.8
Morocco	..	..	24.9	27.77
Mozambique	..	72	4.2	10.79
Myanmar	240	4	5.1	5.63
Namibia	1063	300	11.3	71.95
Nepal	..	..	15.4	14.23
Netherlands	..	..	11	41.15
New Caledonia	..	..	..	..
New Zealand	..	..	26.8	64.66
Nicaragua	310	..	9.2	21.66
Niger	59	..	1.5	1.66
Nigeria	1013	19	4.3	16.92
Northern Mariana Islands	..	..	..	..
Norway	..	..	5.5	34.55
Oman	..	..	14.5	34.83
Pakistan	361	17	10.2	10.36
Palau	1119	313	..	45.85
Panama	..	..	21.7	70.01
Papua New Guinea	..	..	1.5	8.16
Paraguay	532	269	10.1	29.07
Peru	927	151	7.4	114.66
Philippines	580	..	9.1	29.11
Poland	1109	458	29.7	70.78
Portugal	..	490	36	165.69
Puerto Rico	..	..	..	..
Qatar	756	235	7.2	55.77
Romania	..	225	25.5	64.49
Russian Federation	..	..	26.2	160.92
Rwanda	265	27	5.8	5.17
Samoa	1079	144	23.2	52.07
San Marino	1695	561	181.2	191.64
Sao Tome and Principe	792	128	20.6	26.35
Saudi Arabia	1073	178	8.3	73.79
Senegal	192	..	5.6	5.5
Serbia	..	547	27.7	48.75
Seychelles	1819	259	50.6	82.55
Sierra Leone	..	..	..	..
Singapore	2334	1119	8.4	66.46
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	..	..	25.6	61.87
Slovenia	..	..	28	90.03
Solomon Islands	518	27	4.3	12.04
Somalia	..	..	..	..
South Africa	..	..	10.1	66.66
South Sudan	81	1	1.4	0.48
Spain	..	316	55.1	108.58
Sri Lanka	..	..	..	..
St. Kitts and Nevis	..	..	33	94.28
St. Lucia	..	..	15.5	42.48
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	..	..	14.2	35.59
Sudan	..	..	3.4	6.41
Suriname	1292	195	11.5	47.51
Eswatini	464	227	6.8	40.09
Sweden	..	..	14.9	32.01
Switzerland	..	..	39.5	99.19
Syrian Arab Republic	..	..	..	..
Tajikistan	..	..	..	..
Tanzania	..	..	..	..
Thailand	1280	363	11.7	115.12
Timor-Leste	563	42	7	12.85
Togo	231	..	5.2	6.13
Tonga	761	163	33	40.48
Trinidad and Tobago	..	..	11.8	43.1
Tunisia	1067	228	22	30.67
Turkey	1462	778	16.8	78.21
Turkmenistan	..	..	..	..
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	..	..	..
Uganda	295	70	2.6	4.18
Ukraine	1509	..	0.4	97.36
United Arab Emirates	1074	536	10.6	63.94
United Kingdom	..	..	..	115.67
United States	..	..	30.9	..
Uruguay	1048	547	10.1	120.51
Uzbekistan	853	113	36.1	27.78
Vanuatu	567	93	19.7	45.75
Venezuela, RB	..	..	..	..
Vietnam	..	..	3.9	25.28
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	590	151	13.2	34.64
Yemen, Rep.	..	..	..	..
Zambia	295	22	3.9	11.46
Zimbabwe	568	139	5.3	6.46
World	..	..	11.5	40.09
East Asia & Pacific	..	..	9.1	51.8
