Country	GDP (2010)	GDP (2019)
Afghanistan	21	22
Albania	25	20
Algeria	50	37
American Samoa	..	..
Andorra	..	..
Angola	52	48
Antigua and Barbuda	16	21
Argentina	25	23
Armenia	28	24
Aruba	16	..
Australia	25	25
Austria	26	26
Azerbaijan	60	49
Bahamas, The	11	13
Bahrain	45	42
Bangladesh	25	30
Barbados	..	..
Belarus	35	31
Belgium	21	19
Belize	19	12
Benin	18	16
Bermuda	8	..
Bhutan	44	38
Bolivia	30	25
Bosnia and Herzegovina	22	24
Botswana	32	28
Brazil	23	18
Brunei Darussalam	69	63
Bulgaria	23	22
Burkina Faso	26	22
Burundi	15	11
Cabo Verde	18	20
Cambodia	22	34
Cameroon	27	25
Canada	27	..
Cayman Islands	7	7
Central African Republic	25	21
Chad	12	14
Channel Islands	..	..
Chile	36	29
China	46	39
Hong Kong SAR, China	7	6
Macao SAR, China	5	4
Colombia	31	26
Comoros	12	9
Congo, Dem. Rep.	39	41
Congo, Rep.	75	58
Costa Rica	23	18
Cote d'Ivoire	22	23
Croatia	22	20
Cuba	23	25
Curacao	15	17
Cyprus	14	13
Czech Republic	33	32
Denmark	20	21
Djibouti	..	17
Dominica	12	16
Dominican Republic	28	27
Ecuador	35	32
Egypt, Arab Rep.	36	36
El Salvador	25	26
Equatorial Guinea	75	50
Eritrea	22	..
Estonia	24	23
Eswatini	38	34
Ethiopia	9	25
Faroe Islands	14	17
Fiji	17	16
Finland	26	24
France	18	17
French Polynesia	..	..
Gabon	55	48
Gambia, The	10	16
Georgia	17	20
Germany	27	27
Ghana	18	32
Greece	14	15
Greenland	18	18
Grenada	15	13
Guam	..	..
Guatemala	27	22
Guinea	32	21
Guinea-Bissau	13	13
Guyana	31	35
Haiti	44	71
Honduras	26	27
Hungary	25	26
Iceland	22	19
India	31	25
Indonesia	43	39
Iran, Islamic Rep.	44	35
Iraq	56	56
Ireland	23	35
Isle of Man	10	8
Israel	21	19
Italy	22	21
Jamaica	18	20
Japan	28	29
Jordan	29	28
Kazakhstan	41	33
Kenya	19	16
Kiribati	12	12
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	34	33
Kosovo	24	27
Kuwait	66	60
Kyrgyz Republic	26	28
Lao PDR	30	31
Latvia	21	19
Lebanon	14	13
Lesotho	31	30
Liberia	5	12
Libya	78	..
Liechtenstein	..	45
Lithuania	26	25
Luxembourg	11	11
Madagascar	11	17
Malawi	15	13
Malaysia	40	37
Maldives	9	13
Mali	23	21
Malta	18	12
Marshall Islands	14	13
Mauritania	38	25
Mauritius	22	17
Mexico	32	30
Micronesia, Fed. Sts.	7	5
Moldova	20	23
Monaco	13	13
Mongolia	33	39
Montenegro	17	16
Morocco	26	26
Mozambique	16	24
Myanmar	26	38
Namibia	28	27
Nepal	14	13
Netherlands	20	18
New Caledonia	..	..
New Zealand	21	20
Nicaragua	22	25
Niger	21	18
Nigeria	25	27
North Macedonia	21	24
Northern Mariana Islands	..	..
Norway	35	29
Oman	66	47
Pakistan	20	18
Palau	10	8
Panama	19	30
Papua New Guinea	33	36
Paraguay	35	32
Peru	36	31
Philippines	32	30
Poland	29	29
Portugal	20	19
Puerto Rico	51	50
Qatar	73	58
Romania	38	28
Russian Federation	30	32
Rwanda	16	18
Samoa	18	15
San Marino	..	..
Sao Tome and Principe	17	15
Saudi Arabia	58	47
Senegal	22	24
Serbia	25	26
Seychelles	14	11
Sierra Leone	8	6
Singapore	27	24
Sint Maarten (Dutch part)	13	10
Slovak Republic	31	29
Slovenia	27	28
Solomon Islands	..	..
Somalia	..	..
South Africa	27	26
South Sudan	61	..
Spain	23	20
Sri Lanka	27	27
St. Kitts and Nevis	23	26
St. Lucia	12	10
St. Martin (French part)	..	..
St. Vincent and the Grenadines	16	14
Sudan	23	31
Suriname	35	33
Sweden	24	22
Switzerland	26	26
Syrian Arab Republic	..	..
Tajikistan	25	27
Tanzania	24	25
Thailand	40	33
Timor-Leste	9	16
Togo	15	16
Tonga	18	..
Trinidad and Tobago	54	42
Tunisia	29	23
Turkey	25	28
Turkmenistan	59	..
Turks and Caicos Islands	12	10
Tuvalu	6	..
Uganda	25	27
Ukraine	26	23
United Arab Emirates	53	46
United Kingdom	19	17
United States	19	18
Uruguay	25	24
Uzbekistan	23	33
Vanuatu	12	..
Venezuela, RB	48	..
Vietnam	32	34
Virgin Islands (U.S.)	..	..
West Bank and Gaza	20	..
Yemen, Rep.	44	30
Zambia	32	42
Zimbabwe	21	21
World	27	28
East Asia & Pacific	36	34
Europe & Central Asia	24	23
Latin America & Caribbean	29	23
Middle East & North Africa	46	42
North America	20	18
South Asia	29	25
Sub-Saharan Africa	28	27
Low income	25	27
Lower middle income	30	27
Upper middle income	37	33
High income	24	23
