Country	Primary_1999	Primary_2018	Secondary_1999	Secondary_2018
Afghanistan	..	..	..	50.1
Albania	96.8	94.5	66.7	86.6
Algeria	88.6	97.6	52.9	..
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	45.3	..	..	..
Antigua and Barbuda	..	95.7	70.7	88.8
Argentina	99.2	99.2	76.3	90.8
Armenia	..	90.7	..	..
Aruba	97.8	..	77.8	..
Australia	94.4	96.4	..	92.3
Austria	90.2	88.6	88.5	87
Azerbaijan	92.1	92.4	..	88.5
Bahamas, The	90.5	74.2	70.7	62.5
Bahrain	96.9	96.7	84.8	90.2
Bangladesh	..	..	45.1	66.5
Barbados	97.1	96.7	94.9	93.6
Belarus	95.6	94.9	..	95.6
Belgium	98.9	98.8	93.6	94.9
Belize	97.7	95.9	55.3	71.1
Benin	62.5	97.2	17.4	..
Bermuda	..	..	..	..
Bhutan	54.6	88	19.6	70.2
Bolivia	94.8	92.9	62.4	76.6
Bosnia and Herzegovina	..	..	..	..
Botswana	85.1	..	56.6	..
Brazil	96.9	96.3	..	81.7
Brunei Darussalam	..	93.1	..	82.6
Bulgaria	95.6	86.4	85.2	89.1
Burkina Faso	35.5	78.6	8.6	31
Burundi	41.3	92.8	..	27.5
Cabo Verde	99.1	93.4	..	70.4
Cambodia	86.7	90.3	14.9	..
Cameroon	..	92.9	..	46
Canada	99.9	99.9	..	99.8
Cayman Islands	..	..	..	..
Central African Republic	..	..	..	12.7
Chad	49.7	73.2	7	18.9
Channel Islands	..	..	..	..
Chile	..	94.7	..	88.7
China	89.3	..	..	..
Hong Kong SAR, China	..	95.5	72.8	96.1
Macao SAR, China	87.3	96.4	65.3	86.4
Colombia	93.7	92.9	..	77.5
Comoros	60.8	80.8	..	50.4
Congo, Dem. Rep.	36.8	..	..	..
Congo, Rep.	..	..	..	..
Costa Rica	..	97.3	..	82.4
Cote d'Ivoire	56.6	90.3	..	40.2
Croatia	86	88	82	92.4
Cuba	97.8	97.7	75.8	84.2
Curacao	..	..	..	..
Cyprus	95.4	97.5	87.8	95.3
Czech Republic	89.1	89.4	88.5	90.5
Denmark	97.9	98.5	88.6	90.9
Djibouti	26.7	61.8	14.2	..
Dominica	94.8	95.4	82.1	87.7
Dominican Republic	83.6	92.7	39.7	70.6
Ecuador	95	90.9	47.2	84.7
Egypt, Arab Rep.	87	97	..	82.8
El Salvador	89.2	81	47.9	61.8
Equatorial Guinea	65.2	..	17.7	..
Eritrea	45.2	51.5	24.9	41.6
Estonia	95	93.7	84	94.4
Eswatini	..	82.5	32.9	..
Ethiopia	35.7	..	11	..
Faroe Islands	..	..	..	..
Fiji	94.3	96.8	75.6	..
Finland	99.8	98.6	94.5	96.1
France	96	98.9	90.1	94.7
French Polynesia	..	..	..	..
Gabon	90.9	..	..	..
Gambia, The	67.1	76.8	..	..
Georgia	99.9	96.4	82.2	95.9
Germany	86.9	90.1	..	85.3
Ghana	59.1	84.5	31.7	58.3
Greece	94.6	98.2	79.9	93.3
Greenland	..	..	..	..
Grenada	98.1	95.9	..	87.7
Guam	..	..	..	..
Guatemala	79.6	86.9	22.1	43.8
Guinea	42.8	76	12	..
Guinea-Bissau	49	..	8.6	..
Guyana	..	..	71.7	..
Haiti	58.1	..	..	..
Honduras	85.7	80.1	..	43.8
Hungary	87.1	90.8	83.5	89.3
Iceland	98.8	99.8	83.7	91.3
India	79.5	..	..	..
Indonesia	91.9	93.5	49.6	78.7
Iran, Islamic Rep.	85.4	99.7	..	81.4
Iraq	90	..	30.6	..
Ireland	94.7	95.8	90	98.7
Isle of Man	..	..	..	..
Israel	97.5	97	97.1	98.6
Italy	98.8	95.7	85.2	94.7
Jamaica	90.1	81	81.2	74
Japan	..	..	..	..
Jordan	87.1	80.9	74.4	62.6
Kazakhstan	87	87.6	88.7	99.8
Kenya	61	..	32.9	..
Kiribati	99.1	94.7	..	..
