Country	% 1990	% 2014
Afghanistan	..	..
Albania	12.5	60
Algeria	30.9	35.3
American Samoa	..	..
Andorra	..	..
Angola	26	44
Antigua and Barbuda	..	..
Argentina	28.6	24.2
Armenia	14.9	27.8
Aruba	..	..
Australia	23.9	24.7
Austria	24.2	36.6
Azerbaijan	11.6	24.5
Bahamas, The	..	..
Bahrain	9.4	11.5
Bangladesh	14.6	14.2
Barbados	..	..
Belarus	11.5	20.5
Belgium	19.1	28.6
Belize	..	..
Benin	65.4	67.6
Bermuda	..	..
Bhutan	..	..
Bolivia	43.3	40.7
Bosnia and Herzegovina	9.1	13.7
Botswana	23.1	32.1
Brazil	44.6	44.8
Brunei Darussalam	16.9	20.1
Bulgaria	8.6	19.5
Burkina Faso	..	..
Burundi	..	..
Cabo Verde	..	..
Cambodia	..	63.6
Cameroon	66.3	53.8
Canada	29.7	31.8
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	30.9	31.1
China	5.2	8.6
Colombia	35.6	41.2
Comoros	..	..
Congo, Dem. Rep.	19.1	96.8
Congo, Rep.	79.7	76.5
Costa Rica	61.2	68.6
Cote d'Ivoire	44.1	31.1
Croatia	17.5	36.6
Cuba	14.9	4.3
Curacao	33.8	22.9
Cyprus	29.8	30.4
Czech Republic	4.6	17
Denmark	20.2	32.9
Djibouti	..	..
Dominica	..	..
Dominican Republic	31.2	26.3
Ecuador	58.7	41.7
Egypt, Arab Rep.	20.8	22.5
El Salvador	60.2	48.1
Equatorial Guinea	..	..
Eritrea	25	30.4
Estonia	6.6	12.7
Eswatini	..	..
Ethiopia	42.9	46.9
Faroe Islands	..	..
Fiji	..	..
Finland	21.8	23.9
France	32.8	42.4
French Polynesia	..	..
Gabon	35.2	23.8
Gambia, The	..	..
Georgia	11.1	42.2
Germany	16.9	21.4
Ghana	63.8	55.4
Gibraltar	57.1	72.2
Greece	21.5	24.8
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	53.3	40
Guinea	..	..
Guinea-Bissau	..	..
