Country	Most recent year	Tariff
Afghanistan	..	6.2
Albania	2017	0.6
Algeria	..	9.3
American Samoa	..	..
Andorra	..	..
Angola	2016	7.1
Antigua and Barbuda	2017	12.5
Argentina	2017	9.1
Armenia	2017	2.6
Aruba	..	11.3
Australia	2017	1
Austria	2017	1.9
Azerbaijan	..	5.2
Bahamas, The	..	25.7
Bahrain	2017	3.6
Bangladesh	2016	12.4
Barbados	2013	12.5
Belarus	..	1.9
Belgium	2017	1.9
Belize	2017	11.5
Benin	2017	13.8
Bermuda	..	19.9
Bhutan	..	3.4
Bolivia	2017	6.1
Bosnia and Herzegovina	..	2
Botswana	2017	1.2
Brazil	2017	10
Brunei Darussalam	2017	0
Bulgaria	2017	1.9
Burkina Faso	2017	8
Burundi	2016	5.5
Cabo Verde	2015	10.4
Cambodia	2016	9.7
Cameroon	2014	14.2
Canada	2017	1
Cayman Islands	..	14.5
Central African Republic	2017	16.7
Chad	2016	16.1
Channel Islands	..	..
Chile	2017	0.5
China	2017	4.5
Hong Kong SAR, China	2017	0
Macao SAR, China	2017	0
Colombia	2017	4.5
Comoros	..	13.2
Congo, Dem. Rep.	2014	9.9
Congo, Rep.	2015	9.9
Costa Rica	2016	1.5
Cote d'Ivoire	2017	9.1
Croatia	2017	1.9
Cuba	2017	8.9
Curacao	..	..
Czech Republic	2017	1.9
Denmark	2017	1.9
Djibouti	2014	19.6
Dominica	2017	9.3
Dominican Republic	2017	4.5
Ecuador	2017	9
Egypt, Arab Rep.	2017	6.7
El Salvador	2017	2.2
Equatorial Guinea	..	14.5
Eritrea	..	7.2
Estonia	2017	1.9
Ethiopia	..	13.2
Faroe Islands	..	..
Fiji	2017	12.7
Finland	2017	1.9
France	2017	1.9
French Polynesia	..	6.1
Gabon	2016	16.8
Gambia, The	2013	13.5
Georgia	2016	0.4
Germany	2017	1.9
Ghana	2017	9.8
Greece	2017	1.9
Greenland	..	..
Grenada	2016	11.3
Guam	..	..
Guatemala	2015	1.5
Guinea	2017	9.9
Guinea-Bissau	2017	12.8
Guyana	2017	7.3
Haiti	2016	6.1
Honduras	2015	2.8
Hungary	2017	1.9
Iceland	2017	0
India	2017	6.1
Indonesia	2017	2
Iran, Islamic Rep.	..	16.3
Iraq	..	..
Ireland	2017	1.9
Isle of Man	..	..
Israel	2017	1
Italy	2017	1.9
Jamaica	2016	10.5
Japan	2017	1.2
Jordan	2017	3.6
Kazakhstan	2017	2.5
Kenya	2016	11.8
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2017	2.4
Kosovo	..	..
Kuwait	2017	3.3
Kyrgyz Republic	2017	3.5
Lao PDR	2017	1
Latvia	2017	1.9
Lebanon	..	3.3
Lesotho	2017	2
Liberia	..	12.7
Libya	..	0
Liechtenstein	2017	..
Lithuania	2017	1.9
Luxembourg	2017	1.9
North Macedonia	2017	1.3
Madagascar	2017	7.7
Malawi	2016	5
Malaysia	2016	4.3
Maldives	2017	14.6
Mali	2017	9.1
Malta	2017	1.9
Marshall Islands	..	..
Mauritania	2015	8.6
Mauritius	2017	0.9
Mexico	2017	1.4
Micronesia, Fed. Sts.	..	..
Moldova	2016	3.7
Monaco	..	..
Mongolia	2017	4.8
Montenegro	2017	2.5
Morocco	2017	2.3
Mozambique	2016	3.5
Myanmar	2015	1.9
Namibia	2017	0.8
Nepal	2016	12.4
Netherlands	2017	1.9
New Caledonia	..	..
New Zealand	2017	1.6
Nicaragua	2017	2.1
Niger	2017	9.4
Nigeria	2016	8.7
Northern Mariana Islands	..	..
Norway	2017	0.4
Oman	2017	1.8
Pakistan	2016	11.7
Palau	..	4.2
Panama	2015	5.1
Papua New Guinea	2013	1.9
Paraguay	2017	5.1
Peru	2017	1
Philippines	2017	1.4
Poland	2017	1.9
Portugal	2017	1.9
Puerto Rico	..	..
Qatar	2017	3.5
Romania	2017	1.9
Russian Federation	2017	3.5
Rwanda	2016	7.3
Samoa	2017	8.8
San Marino	..	..
Sao Tome and Principe	..	11.5
Saudi Arabia	2017	3.8
Senegal	2017	11.8
Serbia	..	..
Seychelles	2017	0.3
Sierra Leone	2012	9.5
Singapore	2017	0
Sint Maarten (Dutch part)	..	..
Slovak Republic	2017	1.9
Slovenia	2017	1.9
Solomon Islands	2017	9
Somalia	..	..
South Africa	2017	5.3
South Sudan	..	..
Spain	2017	1.9
Sri Lanka	2017	6
St. Kitts and Nevis	2017	14.2
St. Lucia	2016	10.2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2017	9.7
Sudan	..	13.3
Suriname	2013	8.8
Eswatini	2017	0.9
Sweden	2017	1.9
Switzerland	2017	0.1
Syrian Arab Republic	..	18.4
Tajikistan	2017	6.8
Tanzania	2016	7.5
Thailand	2015	2.9
Timor-Leste	..	2.5
Togo	2017	12.4
Tonga	2017	8.6
Trinidad and Tobago	2013	9.3
Tunisia	2016	9.5
Turkey	2017	1.4
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	1.4
Uganda	2016	6
Ukraine	2017	2.4
United Arab Emirates	2017	3.5
United Kingdom	2017	1.9
United States	2017	1.6
Uruguay	2017	7.4
Uzbekistan	..	8.4
Vanuatu	2017	5.9
Venezuela, RB	2017	10.4
Vietnam	2017	2.5
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	2017	6
Zambia	2016	7.4
Zimbabwe	2016	4.5
World	2017	..
East Asia & Pacific	2017	..
Europe & Central Asia	2017	..
Latin America & Caribbean	2017	..
Middle East & North Africa	2017	..
North America	..	..
South Asia	2017	..
Sub-Saharan Africa	2017	..
Low income	2017	..
Lower middle income	..	..
Upper middle income	2017	..
High income	2017	..
