Country	Reference Year	%	ID
Afghanistan	2016	54.5	Q889
Albania	2012	14.3	Q222
Algeria	2011	5.5	Q262
Angola	2008	36.6	Q916
Argentina	2018	32	Q414
Armenia	2018	23.5	Q399
Azerbaijan	2012	6	Q227
Bangladesh	2016	24.3	Q902
Belarus	2018	5.6	Q184
Benin	2015	40.1	Q962
Bhutan	2017	8.2	Q917
Bolivia	2018	34.6	Q750
Bosnia and Herzegovina	2015	16.9	Q225
Botswana	2009	19.3	Q963
Bulgaria	2017	22	Q219
Burkina Faso	2014	40.1	Q965
Burundi	2013	64.9	Q967
Cabo Verde	2015	35	Q1011
Cambodia	2012	17.7	Q424
Cameroon	2014	37.5	Q1009
Central African Republic	2008	62	Q929
Chad	2011	46.7	Q657
Chile	2017	8.6	Q298
China	2018	1.7	Q148
Colombia	2018	27	Q739
Comoros	2013	42.4	Q970
Congo, Dem. Rep.	2012	63.9	Q974
Congo, Rep.	2011	40.9	Q971
Costa Rica	2019	21	Q800
Cote d'Ivoire	2015	46.3	Q1008
Croatia	2017	19.4	Q224
Czech Republic	2013	9.7	Q213
Djibouti	2017	21.1	Q977
Dominican Republic	2018	22.8	Q786
Ecuador	2019	25	Q736
Egypt, Arab Rep.	2017	32.5	Q79
El Salvador	2017	29.2	Q792
Equatorial Guinea	2006	76.8	Q983
Eritrea	1993	69	Q986
Estonia	2013	21.8	Q191
Eswatini	2017	58.9	Q1050
Ethiopia	2015	23.5	Q115
Fiji	2013	34	Q712
Gabon	2017	33.4	Q1000
Gambia, The	2015	48.6	Q1005
Georgia	2018	20.1	Q230
Ghana	2016	23.4	Q117
Guatemala	2014	59.3	Q774
Guinea	2012	55.2	Q1006
Guinea-Bissau	2010	69.3	Q1007
Haiti	2012	58.5	Q790
Honduras	2018	48.3	Q783
Hungary	2014	14.9	Q28
India	2011	21.9	Q668
Indonesia	2018	9.8	Q252
Iraq	2012	18.9	Q796
Jamaica	2012	19.9	Q766
Jordan	2010	14.4	Q810
Kazakhstan	2017	2.5	Q232
Kenya	2015	36.1	Q114
Kiribati	2006	21.8	Q710
Kosovo	2015	17.6	Q1246
Kyrgyz Republic	2018	22.4	Q813
Lao PDR	2012	23.4	Q819
Latvia	2014	22.5	Q211
Lebanon	2012	27.4	Q822
Lesotho	2017	49.7	Q1013
Liberia	2016	50.9	Q1014
Lithuania	2014	22.2	Q37
North Macedonia	2018	21.9	Q221
Madagascar	2012	70.7	Q1019
Malawi	2016	51.5	Q1020
Malaysia	2015	0.4	Q833
Maldives	2016	8.2	Q826
Mali	2009	41.1	Q912
Mauritania	2014	31	Q1025
Mauritius	2017	10.3	Q1027
Mexico	2018	41.9	Q96
Micronesia, Fed. Sts.	2013	41.2	Q702
Moldova	2015	9.6	Q217
Mongolia	2018	28.4	Q711
Montenegro	2016	23.6	Q236
Morocco	2013	4.8	Q1028
Mozambique	2014	46.1	Q1029
Myanmar	2017	24.8	Q836
Namibia	2015	17.4	Q1030
Nepal	2010	25.2	Q837
Nicaragua	2016	24.9	Q811
Niger	2014	44.5	Q1032
Nigeria	2009	46	Q1033
Pakistan	2015	24.3	Q843
Palau	2006	24.9	Q695
Panama	2016	22.1	Q804
Papua New Guinea	2009	39.9	Q691
Paraguay	2018	24.2	Q733
Peru	2018	20.5	Q419
Philippines	2015	21.6	Q928
Poland	2018	15.4	Q36
Romania	2017	23.6	Q218
Russian Federation	2018	12.9	Q159
Rwanda	2016	38.2	Q1037
Samoa	2013	20.3	Q683
Sao Tome and Principe	2010	66.2	Q1039
Senegal	2011	46.7	Q1041
Serbia	2017	24.3	Q403
Seychelles	2013	39.3	Q1042
Sierra Leone	2011	52.9	Q1044
Slovak Republic	2013	12.6	Q214
Slovenia	2014	14.3	Q215
Solomon Islands	2013	12.7	Q685
South Africa	2014	55.5	Q258
South Sudan	2016	82.3	Q958
Sri Lanka	2016	4.1	Q854
St. Lucia	2016	25	Q760
Sudan	2009	46.5	Q1049
Syrian Arab Republic	2007	35.2	Q858
Tajikistan	2018	27.4	Q863
Tanzania	2018	26.4	Q924
Thailand	2018	9.9	Q869
Timor-Leste	2014	41.8	Q574
Togo	2015	55.1	Q945
Tonga	2009	22.5	Q678
Tunisia	2015	15.2	Q948
Turkey	2017	13.9	Q43
Tuvalu	2010	26.3	Q672
Uganda	2016	21.4	Q1036
Ukraine	2018	1.3	Q212
Uruguay	2018	8.1	Q77
Uzbekistan	2013	14.1	Q265
Vanuatu	2010	12.7	Q686
Venezuela, RB	2015	33.1	Q717
Vietnam	2018	6.7	Q881
West Bank and Gaza	2016	29.2	Q407199
Yemen, Rep.	2014	48.6	Q805
Zambia	2015	54.4	Q953
Zimbabwe	2017	70	Q954
