Country	Goveernment % (2010)	Goveernment % (2018)	ID
Afghanistan	50.9	36.7	Q889
Albania	23	23.3	Q222
Angola	25.6	16.7	Q916
Armenia	23	22.1	Q399
Australia	26.8	26.1	Q408
Austria	46.4	43.7	Q40
Azerbaijan	20.9	21.4	Q227
Bahamas, The	13.8	17.9	Q778
Bangladesh	9.3	9.4	Q902
Barbados	34.4	33.8	Q244
Belarus	30.2	28.2	Q184
Belgium	43.6	39.8	Q31
Belize	25	27.6	Q242
Bhutan	22.2	20.4	Q917
Bosnia and Herzegovina	39.2	35	Q225
Botswana	33.1	23.6	Q963
Brazil	30.8	36	Q155
Bulgaria	31.9	32.7	Q219
Burkina Faso	10.6	17	Q965
Cabo Verde	25.6	28.4	Q1011
Cambodia	10.6	15	Q424
Cameroon	13.2	11.7	Q1009
Canada	19.1	17.6	Q16
Central African Republic	16.3	10.1	Q929
Chile	20.1	22.4	Q298
Macao SAR, China	14.8	15.1	Q14773
Colombia	25.4	27.5	Q739
Congo, Rep.	11.8	21.4	Q971
Costa Rica	25.9	29.8	Q800
Cote d'Ivoire	14.9	14.9	Q1008
Croatia	41.3	38.9	Q224
Cyprus	39.1	39.8	Q229
Czech Republic	35.2	32.6	Q213
Denmark	42.3	37.2	Q35
Dominican Republic	14.2	15.7	Q786
Egypt, Arab Rep.	28.9	30.2	Q79
El Salvador	24.1	24.6	Q792
Equatorial Guinea	5.6	10.2	Q983
Estonia	37.6	35.4	Q191
Ethiopia	12.5	10.8	Q115
Fiji	23.7	28.3	Q712
Finland	38.4	37.3	Q33
France	49.3	47	Q142
Gabon	16.3	13.7	Q1000
Georgia	25.1	21.4	Q230
Germany	31.4	28.1	Q183
Ghana	20.2	18.1	Q117
Greece	50.5	46.6	Q41
Guatemala	12.7	12.5	Q774
Honduras	22.7	22	Q783
Hungary	43.9	40.4	Q28
Iceland	36.8	29.5	Q189
India	16.5	14.9	Q668
Indonesia	14	14.8	Q252
Ireland	62.2	23.3	Q27
Israel	38	37	Q801
Italy	42.8	42.5	Q38
Jamaica	28.9	26.6	Q766
Japan	17.4	16.3	Q17
Jordan	26.6	27	Q810
Kazakhstan	16.5	14.7	Q232
Kiribati	63.9	76.7	Q710
Korea, Rep.	17.6	25	Q884
Kuwait	42.2	52	Q817
Latvia	55.5	42.6	Q211
Lebanon	25.8	29.3	Q822
Lesotho	41.9	39	Q1013
Lithuania	39.6	32.3	Q37
Luxembourg	39.9	38.4	Q32
Madagascar	7.7	9.8	Q1019
Malawi	18.5	21.3	Q1020
Malaysia	18.2	15.9	Q833
Mali	12.8	12.3	Q912
Malta	40.6	35.1	Q233
Marshall Islands	52	57.9	Q709
Mauritius	22	23.3	Q1027
Mexico	21.4	20.4	Q96
Micronesia, Fed. Sts.	16.8	21.5	Q702
Moldova	29.1	27.3	Q217
Mongolia	22.9	22.6	Q711
Morocco	27.1	24.7	Q1028
Mozambique	20.2	20.1	Q1029
Myanmar	10.6	13.9	Q836
Namibia	28.5	33.6	Q1030
Nepal	15.6	19.4	Q837
Netherlands	41.6	37.6	Q55
New Zealand	34.2	30.3	Q664
Nicaragua	15	16.8	Q811
North Macedonia	30.1	28	Q221
Norway	34.9	37.7	Q20
Palau	52.1	41.4	Q695
Paraguay	11.8	15.1	Q733
Peru	17.8	19.8	Q419
Philippines	13.8	14.2	Q928
Poland	36.6	33.5	Q36
Portugal	44	39.2	Q45
Romania	35.4	33.1	Q218
Russian Federation	27.4	28.7	Q159
Samoa	29.3	27.8	Q683
San Marino	37.3	44.8	Q238
Saudi Arabia	24.4	30.2	Q851
Seychelles	28.6	32	Q1042
Singapore	12.4	14.8	Q334
Slovak Republic	39.9	39.3	Q214
Slovenia	43.3	37.9	Q215
Solomon Islands	28.5	31.9	Q685
South Africa	31.8	35.9	Q258
Spain	20	19.1	Q29
Sri Lanka	16.8	16.3	Q854
St. Kitts and Nevis	25.8	24.3	Q763
St. Lucia	18	17.6	Q760
St. Vincent and the Grenadines	25.7	26.4	Q757
Sudan	15	10.5	Q1049
Sweden	33	31.7	Q34
Switzerland	16.9	17	Q39
Tanzania	13.2	14.3	Q924
Thailand	17.4	18.4	Q869
Timor-Leste	83.6	56.5	Q574
Togo	14.2	17.9	Q945
Tonga	26.2	31.4	Q678
Trinidad and Tobago	30.7	35	Q754
Turkey	33.6	33.9	Q43
Ukraine	41.1	33.4	Q212
United Arab Emirates	4.1	4	Q878
United Kingdom	43	37	Q145
United States	26.2	22.3	Q30
Uruguay	29.4	35	Q77
Uzbekistan	15.2	17.1	Q265
Vanuatu	22.2	25.9	Q686
West Bank and Gaza	9.4	8.3	Q407199
Zambia	14.7	19.6	Q953
Zimbabwe	16.1	31.4	Q954
